Date,lithium,lithium price,lithium carbonate,lithium hydroxide,lithium battery
2023-04-30,46,2,1,0,14
2023-05-07,56,3,1,0,14
2023-05-14,49,3,1,0,14
2023-05-21,46,2,1,0,14
2023-05-28,49,2,1,0,14
2023-06-04,47,2,1,0,15
2023-06-11,48,2,1,0,14
2023-06-18,48,2,1,0,15
2023-06-25,45,2,1,0,14
2023-07-02,48,2,1,0,14
2023-07-09,45,2,1,0,15
2023-07-16,43,2,1,0,14
2023-07-23,48,2,1,0,14
2023-07-30,45,2,1,0,14
2023-08-06,46,2,1,0,13
2023-08-13,46,2,1,0,13
2023-08-20,44,2,1,0,14
2023-08-27,45,2,1,0,13
2023-09-03,48,2,1,0,14
2023-09-10,54,3,1,0,14
2023-09-17,51,3,1,0,14
2023-09-24,49,2,1,0,14
2023-10-01,49,2,1,0,13
2023-10-08,48,2,1,0,13
2023-10-15,47,2,1,0,13
2023-10-22,48,2,1,0,13
2023-10-29,47,2,1,0,13
2023-11-05,47,2,1,0,14
2023-11-12,49,2,1,0,13
2023-11-19,48,2,1,0,14
2023-11-26,52,2,1,0,15
2023-12-03,56,2,1,0,14
2023-12-10,48,3,1,0,13
2023-12-17,48,2,1,0,13
2023-12-24,44,2,0,0,13
2023-12-31,47,2,0,0,14
2024-01-07,51,3,1,0,14
2024-01-14,50,3,1,0,14
2024-01-21,52,3,1,0,14
2024-01-28,55,2,1,1,15
2024-02-04,54,3,1,0,14
2024-02-11,50,2,1,1,14
2024-02-18,53,2,1,0,14
2024-02-25,53,2,1,0,15
2024-03-03,47,2,1,0,14
2024-03-10,48,2,1,0,14
2024-03-17,51,2,1,0,16
2024-03-24,49,2,1,0,15
2024-03-31,48,2,1,0,14
2024-04-07,47,2,1,0,14
2024-04-14,48,2,1,0,15
2024-04-21,52,2,1,1,15
2024-04-28,47,2,1,0,15
2024-05-05,47,2,1,0,14
2024-05-12,48,2,1,0,15
2024-05-19,47,2,1,0,15
2024-05-26,47,2,1,0,15
2024-06-02,48,2,1,0,15
2024-06-09,48,2,1,0,15
2024-06-16,43,2,1,0,15
2024-06-23,49,2,1,0,16
2024-06-30,44,2,1,0,15
2024-07-07,45,2,1,0,16
2024-07-14,47,2,1,0,16
2024-07-21,47,2,1,0,16
2024-07-28,45,2,1,0,15
2024-08-04,45,2,1,0,15
2024-08-11,46,2,0,0,15
2024-08-18,50,2,1,0,16
2024-08-25,48,2,1,0,15
2024-09-01,47,2,1,0,15
2024-09-08,50,2,1,0,15
2024-09-15,55,2,1,0,18
2024-09-22,53,2,1,0,15
2024-09-29,64,2,1,0,15
2024-10-06,66,2,1,0,16
2024-10-13,53,2,1,0,15
2024-10-20,56,2,1,0,15
2024-10-27,53,2,1,0,15
2024-11-03,50,2,1,0,14
2024-11-10,52,2,1,0,15
2024-11-17,53,2,1,0,15
2024-11-24,50,2,1,0,17
2024-12-01,52,2,1,0,16
2024-12-08,52,2,1,0,15
2024-12-15,50,2,1,0,15
2024-12-22,43,2,0,0,15
2024-12-29,47,2,0,0,16
2025-01-05,54,2,1,0,16
2025-01-12,54,2,1,0,16
2025-01-19,51,2,1,0,16
2025-01-26,50,2,1,0,16
2025-02-02,52,2,1,0,16
2025-02-09,47,2,1,0,15
2025-02-16,50,2,1,0,16
2025-02-23,54,2,1,0,16
2025-03-02,53,2,1,0,16
2025-03-09,51,2,1,0,16
2025-03-16,51,2,1,0,17
2025-03-23,53,2,1,0,17
2025-03-30,50,2,1,0,17
2025-04-06,49,2,1,0,17
2025-04-13,49,2,0,0,18
2025-04-20,52,2,1,0,18
2025-04-27,54,2,1,0,18
2025-05-04,53,2,1,0,17
2025-05-11,53,2,1,0,18
2025-05-18,54,2,1,0,19
2025-05-25,51,3,1,0,19
2025-06-01,51,2,1,0,19
2025-06-08,54,3,1,0,19
2025-06-15,55,3,1,0,20
2025-06-22,53,3,1,0,19
2025-06-29,53,3,1,0,19
2025-07-06,54,3,1,0,20
2025-07-13,55,3,1,0,20
2025-07-20,57,5,1,0,21
2025-07-27,62,6,1,0,22
2025-08-03,82,10,1,0,27
2025-08-10,100,18,2,1,30
2025-08-17,87,16,2,1,28
2025-08-24,87,13,1,0,27
2025-08-31,83,14,1,1,29
2025-09-07,80,12,2,1,27
2025-09-14,78,11,2,0,26
2025-09-21,89,13,2,1,28
2025-09-28,89,14,2,1,27
2025-10-05,85,12,2,1,26
2025-10-12,87,13,2,1,26
2025-10-19,86,11,1,1,28
2025-10-26,76,11,1,1,25
2025-11-02,77,10,1,1,26
2025-11-09,82,12,1,1,26
2025-11-16,80,12,2,1,27
2025-11-23,88,12,2,1,29
2025-11-30,85,13,2,1,31
2025-12-07,73,10,1,1,26
2025-12-14,76,10,1,1,28
2025-12-21,68,7,1,1,24
2025-12-28,68,6,1,1,23
2026-01-04,76,7,1,1,24
2026-01-11,78,8,2,1,25
2026-01-18,76,9,1,0,25
2026-01-25,82,10,2,1,26
2026-02-01,80,9,1,1,26
2026-02-08,90,7,1,0,33
2026-02-15,96,8,1,1,36
2026-02-22,91,9,2,1,31
2026-03-01,85,11,2,1,31
2026-03-08,88,14,2,1,34
