Date,Target_Close,Lithium_Carbonate_Close,Lithium_Hydroxide_Close,Albemarle_Close,Trends_lithium,Trends_lithium_price,Trends_lithium_carbonate,Trends_lithium_hydroxide,Trends_lithium_battery,News_Article_Count,News_TextBlob_Polarity,News_FinBERT_Score,SP500,VIX,US_Dollar_Index,MVIS_Critical_Minerals,Shanghai_Composite,USD_CNY
2023-05-09,9.085,195500.0,40.75,195.17,46,2,1,0,14,5.0,0.02363636363636362,0.28268723487854003,4119.169921875,17.709999084472656,101.63999938964844,537.78,3357.669921875,6.9201
2023-05-10,9.345,208500.0,40.95,194.51,46,2,1,0,14,6.0,0.05833333333333333,0.6744045515855154,4137.64013671875,16.940000534057617,101.4800033569336,544.74,3319.14990234375,6.9321
2023-05-11,9.465,225000.0,41.31,198.52,46,2,1,0,14,10.0,0.051818181818181805,0.03797748684883116,4130.6201171875,16.93000030517578,102.05999755859376,551.22,3309.550048828125,6.948
2023-05-12,9.285,242000.0,42.04,195.79,46,2,1,0,14,1.0,0.0,0.7026454210281372,4124.080078125,17.030000686645508,102.68000030517578,548.71,3272.360107421875,6.9575
2023-05-15,10.098,258000.0,42.04,203.75,56,3,1,0,14,4.0,0.03125,-0.22275318205356598,4136.27978515625,17.1200008392334,102.43000030517578,557.11,3310.739990234375,6.952
2023-05-16,9.899,265000.0,42.04,205.67,56,3,1,0,14,3.0,0.0,0.0,4109.89990234375,17.989999771118164,102.55999755859376,551.44,3290.989990234375,6.9751
2023-05-17,9.717,274000.0,42.04,207.99,56,3,1,0,14,7.0,0.03571428571428571,0.4586715613092695,4158.77001953125,16.8700008392334,102.87999725341795,550.39,3284.22998046875,6.9981
2023-05-18,9.657,290000.0,43.19,210.14,56,3,1,0,14,5.0,0.0325,0.638867461681366,4198.0498046875,16.049999237060547,103.58000183105467,554.81,3297.320068359375,7.0355
2023-05-19,9.565,292000.0,43.61,204.15,56,3,1,0,14,1.0,0.0,0.0,4191.97998046875,16.809999465942383,103.1999969482422,551.53,3283.5400390625,7.006
2023-05-22,9.508,292000.0,43.61,206.5,49,3,1,0,14,11.0,0.045454545454545456,0.5160586346279491,4192.6298828125,17.209999084472656,103.1999969482422,546.62,3296.469970703125,7.0351
2023-05-23,9.298,292000.0,43.32,216.07,49,3,1,0,14,3.0,0.012121212121212097,0.47363277276357013,4145.580078125,18.530000686645508,103.48999786376952,542.46,3246.239990234375,7.049
2023-05-24,9.082,295000.0,43.32,212.23,49,3,1,0,14,8.0,0.15000000000000002,0.465978778898716,4115.240234375,20.030000686645508,103.88999938964844,533.76,3204.75,7.0585
2023-05-25,8.929,295000.0,43.29,204.97,49,3,1,0,14,5.0,0.10833333333333332,0.19014681577682496,4151.27978515625,19.13999938964844,104.20999908447266,526.25,3201.260009765625,7.0775
2023-05-26,8.714,295000.0,43.29,203.99,49,3,1,0,14,1.0,0.0249999999999999,0.0,4205.4501953125,17.950000762939453,104.20999908447266,524.72,3212.5,7.063
2023-05-30,8.771,297500.0,43.21,201.86,46,2,1,0,14,4.0,0.1125,0.0,4205.52001953125,17.459999084472656,104.16999816894533,522.57,3224.2099609375,7.0792
2023-05-31,8.719,300000.0,43.21,193.53,46,2,1,0,14,4.0,0.0,0.16673260927200317,4179.830078125,17.940000534057617,104.31999969482422,513.18,3204.56005859375,7.11
2023-06-01,8.755,300500.0,46.5,195.54,46,2,1,0,14,6.0,0.08277777777777777,0.4764429529507955,4221.02001953125,15.649999618530272,103.55999755859376,518.09,3204.6298828125,7.0934
2023-06-02,9.064,300500.0,46.02,208.36,46,2,1,0,14,2.0,0.05,0.0,4282.3701171875,14.600000381469728,104.0199966430664,538.56,3230.070068359375,7.0827
2023-06-05,9.106,303000.0,46.02,206.17,49,2,1,0,14,2.0,0.15568181818181814,0.3168729543685913,4273.7900390625,14.729999542236328,104.0,541.83,3232.43994140625,7.105
2023-06-06,8.879,306500.0,46.02,213.11,49,2,1,0,14,4.0,0.0953125,0.4594276398420334,4283.85009765625,13.960000038146973,104.12999725341795,543.31,3195.340087890625,7.119
2023-06-07,8.739,310000.0,46.92,218.82,49,2,1,0,14,2.0,-0.05769230769230765,-0.4378586411476135,4267.52001953125,13.9399995803833,104.0999984741211,544.06,3197.760009765625,7.1287
2023-06-08,8.888,311500.0,47.31,219.62,49,2,1,0,14,3.0,0.045454545454545435,0.1822443207105001,4293.93017578125,13.649999618530272,103.33999633789062,545.03,3213.590087890625,7.1109
2023-06-09,8.967,313000.0,47.31,220.5,49,2,1,0,14,1.0,0.0,0.5467329621315002,4298.85986328125,13.829999923706056,103.55999755859376,548.12,3231.409912109375,7.1273
2023-06-12,8.832,313000.0,47.31,218.55,47,2,1,0,15,4.0,0.0625,0.16059182584285736,4338.93017578125,15.010000228881836,103.62999725341795,545.84,3228.830078125,7.1437
2023-06-13,8.82,313000.0,47.31,228.85,47,2,1,0,15,0.0,0.0,0.0,4369.009765625,14.609999656677246,103.33999633789062,552.49,3233.669921875,7.1585
2023-06-14,8.777,313000.0,46.72,226.8,47,2,1,0,15,3.0,0.0,0.2516072789827983,4372.58984375,13.880000114440918,103.01000213623048,555.09,3228.989990234375,7.148
2023-06-15,9.13,313000.0,46.72,230.91,47,2,1,0,15,4.0,0.0,0.0,4425.83984375,14.5,102.12000274658205,557.08,3252.97998046875,7.13
2023-06-16,9.166,314000.0,45.92,228.17,47,2,1,0,15,1.0,0.0,0.5947059988975525,4409.58984375,13.539999961853027,102.3000030517578,565.09,3273.330078125,7.125
2023-06-19,8.93,314000.0,45.92,228.17,48,2,1,0,14,5.0,0.04384615384615386,-0.027713692188262962,4409.58984375,13.539999961853027,102.3000030517578,554.75,3255.81005859375,7.125
2023-06-20,8.819,313500.0,47.05,232.22,48,2,1,0,14,12.0,-0.008397435897435883,0.20472616950670877,4388.7099609375,13.880000114440918,102.54000091552734,551.25,3240.360107421875,7.1811
2023-06-21,8.66,313000.0,47.05,230.38,48,2,1,0,14,5.0,0.04,0.03601609468460083,4365.68994140625,13.199999809265137,102.06999969482422,548.29,3197.89990234375,7.1779
2023-06-22,8.66,313000.0,47.05,226.0,48,2,1,0,14,3.0,0.0111111111111111,-0.032336254914601646,4381.89013671875,12.90999984741211,102.38999938964844,543.12,3197.89990234375,7.1777
2023-06-23,8.66,313000.0,47.05,220.18,48,2,1,0,14,0.0,0.0,0.0,4348.330078125,13.4399995803833,102.9000015258789,533.12,3197.89990234375,7.1777
2023-06-26,8.454,311500.0,47.05,225.22,48,2,1,0,15,3.0,0.020833333333333332,-0.2733514706293742,4328.81982421875,14.25,102.69000244140624,530.37,3150.6201171875,7.2364
2023-06-27,8.508,310000.0,47.05,227.07,48,2,1,0,15,5.0,0.05,0.3171988964080811,4378.41015625,13.739999771118164,102.48999786376952,534.85,3189.43994140625,7.2193
2023-06-28,8.38,307500.0,46.99,217.0,48,2,1,0,15,3.0,0.0,-0.19959898789723715,4376.85986328125,13.43000030517578,102.91000366210938,528.82,3189.3798828125,7.2436
2023-06-29,8.238,307000.0,46.9,218.98,48,2,1,0,15,11.0,0.15227272727272725,0.4090600880709561,4396.43994140625,13.539999961853027,103.33999633789062,530.04,3182.3798828125,7.2515
2023-06-30,8.407,307000.0,46.9,223.09,48,2,1,0,15,13.0,0.0564102564102564,0.29916371748997617,4450.3798828125,13.59000015258789,102.91000366210938,536.94,3202.06005859375,7.2513
2023-07-03,8.479,307000.0,45.5,229.26,45,2,1,0,14,3.0,0.0,0.31373963753382367,4455.58984375,13.56999969482422,102.98999786376952,546.22,3243.97998046875,7.24
2023-07-04,8.576,307500.0,45.5,229.26,45,2,1,0,14,3.0,0.13333333333333333,0.8179336388905843,4455.58984375,13.56999969482422,102.98999786376952,549.62,3245.35009765625,7.24
2023-07-05,8.554,307500.0,46.04,229.02,45,2,1,0,14,2.0,-0.0208333333333333,0.6954687833786011,4446.81982421875,14.18000030517578,103.37000274658205,556.0,3222.949951171875,7.2465
2023-07-06,8.4,307500.0,46.04,227.57,45,2,1,0,14,1.0,0.0,0.0,4411.58984375,15.4399995803833,103.16999816894533,541.28,3205.570068359375,7.25
2023-07-07,8.434,307500.0,45.15,237.52,45,2,1,0,14,0.0,0.0,0.0,4398.9501953125,14.829999923706056,102.2699966430664,540.62,3196.610107421875,7.2205
2023-07-10,8.596,307500.0,44.77,239.86,48,2,1,0,14,3.0,0.11287878787878787,0.6045031348864237,4409.52978515625,15.06999969482422,101.97000122070312,545.39,3203.699951171875,7.2315
2023-07-11,8.631,307500.0,44.06,239.09,48,2,1,0,14,0.0,0.0,0.0,4439.259765625,14.84000015258789,101.7300033569336,553.7,3221.3701171875,7.209
