Date,Target_Close,Cross_Lithium_Close,Albemarle_Close,Ganfeng_Lithium_Close,Trends_lithium,Trends_lithium_price,Trends_lithium_carbonate,Trends_lithium_hydroxide,Trends_lithium_battery,News_Article_Count,News_TextBlob_Polarity,News_FinBERT_Score,SP500,VIX,US_Dollar_Index,MVIS_Critical_Minerals
2023-05-04,40.75,179500.0,175.65,9.373,,,,,,3.0,-0.3,-0.3234177231788635,4061.219970703125,20.09000015258789,101.4000015258789,509.58
2023-05-05,40.75,180500.0,179.7,9.252,,,,,,1.0,-0.4333333333333333,-0.7104761004447937,4136.25,17.190000534057617,101.20999908447266,522.11
2023-05-08,40.75,190000.0,179.7,9.252,46.0,2.0,1.0,0.0,14.0,4.0,0.125,-0.2300088852643967,4138.1201171875,16.979999542236328,101.37000274658205,537.23
2023-05-09,40.75,195500.0,195.17,9.085,46.0,2.0,1.0,0.0,14.0,5.0,0.02363636363636362,0.28268723487854003,4119.169921875,17.709999084472656,101.63999938964844,537.78
2023-05-10,40.95,208500.0,194.51,9.345,46.0,2.0,1.0,0.0,14.0,6.0,0.05833333333333333,0.6744045515855154,4137.64013671875,16.940000534057617,101.4800033569336,544.74
2023-05-11,41.31,225000.0,198.52,9.465,46.0,2.0,1.0,0.0,14.0,10.0,0.051818181818181805,0.03797748684883116,4130.6201171875,16.93000030517578,102.05999755859376,551.22
2023-05-12,42.04,242000.0,195.79,9.285,46.0,2.0,1.0,0.0,14.0,1.0,0.0,0.7026454210281372,4124.080078125,17.030000686645508,102.68000030517578,548.71
2023-05-15,42.04,258000.0,203.75,10.098,56.0,3.0,1.0,0.0,14.0,4.0,0.03125,-0.22275318205356598,4136.27978515625,17.1200008392334,102.43000030517578,557.11
2023-05-16,42.04,265000.0,205.67,9.899,56.0,3.0,1.0,0.0,14.0,3.0,0.0,0.0,4109.89990234375,17.989999771118164,102.55999755859376,551.44
2023-05-17,42.04,274000.0,207.99,9.717,56.0,3.0,1.0,0.0,14.0,7.0,0.03571428571428571,0.4586715613092695,4158.77001953125,16.8700008392334,102.87999725341795,550.39
2023-05-18,43.19,290000.0,210.14,9.657,56.0,3.0,1.0,0.0,14.0,5.0,0.0325,0.638867461681366,4198.0498046875,16.049999237060547,103.58000183105467,554.81
