Target,Candidate,Method,Configured Modes,VMD Alpha,Returned Components,Development RMSE,Development MAE,Development Score
albemarle_equity,VMD-K7-A1500,VMD,7,1500.0,8,1.9232144891980392,1.2585302395496634,0.2551120278458098
albemarle_equity,VMD-K7-A3000,VMD,7,3000.0,8,2.3466596431775413,1.4474292914432263,0.30876786505279946
albemarle_equity,VMD-K7-A4500,VMD,7,4500.0,8,3.82612621208428,2.3777956411817436,0.5039405549078542
albemarle_equity,VMD-K8-A1500,VMD,8,1500.0,9,1.908786795414891,1.234616819829536,0.2527857614150154
albemarle_equity,VMD-K8-A3000,VMD,8,3000.0,9,2.2632520451408045,1.3339157906136587,0.2960243907699249
albemarle_equity,VMD-K8-A4500,VMD,8,4500.0,9,3.4555601282281487,2.164122281967921,0.45560681103602096
albemarle_equity,VMD-K9-A1500,VMD,9,1500.0,10,1.6123931563656695,1.1084496058150006,0.2154014925542988
albemarle_equity,VMD-K9-A3000,VMD,9,3000.0,10,2.3150531192526658,1.1945791346200934,0.2979585992973101
albemarle_equity,VMD-K9-A4500,VMD,9,4500.0,10,3.262884925008684,2.252710191129697,0.43616678650910806
albemarle_equity,VMD-K10-A1500,VMD,10,1500.0,11,1.9857826552736988,1.109147237431628,0.2579873546380398
albemarle_equity,VMD-K10-A3000,VMD,10,3000.0,11,2.61869748752645,1.255839885947752,0.33431962727381015
albemarle_equity,VMD-K10-A4500,VMD,10,4500.0,11,3.6887902589678387,2.264182163796957,0.48504645994970513
albemarle_equity,CEEMDAN-M7,CEEMDAN,7,,7,3.42417959437822,1.9273255593422276,0.4452808262200106
albemarle_equity,CEEMDAN-M9,CEEMDAN,9,,7,3.43822578608905,1.9454762668643129,0.44739936618166576
ganfeng_equity,VMD-K7-A1500,VMD,7,1500.0,8,0.08044768892942322,0.04301413473497627,0.2232251236315432
ganfeng_equity,VMD-K7-A3000,VMD,7,3000.0,8,0.06870983614028722,0.04273237303071185,0.19432301423744786
ganfeng_equity,VMD-K7-A4500,VMD,7,4500.0,8,0.09777930499385958,0.0662170724552576,0.27984412117422447
ganfeng_equity,VMD-K8-A1500,VMD,8,1500.0,9,0.08708547702657425,0.042052501570189055,0.23888342137344093
ganfeng_equity,VMD-K8-A3000,VMD,8,3000.0,9,0.10302643754243991,0.04748676427247039,0.2812259334824056
ganfeng_equity,VMD-K8-A4500,VMD,8,4500.0,9,0.09272518606205823,0.06290920778634455,0.2654495120812432
ganfeng_equity,VMD-K9-A1500,VMD,9,1500.0,10,0.07101307764538602,0.033362455640244995,0.19422697525906432
ganfeng_equity,VMD-K9-A3000,VMD,9,3000.0,10,0.10919321909243718,0.052520489098668174,0.2993999665499333
ganfeng_equity,VMD-K9-A4500,VMD,9,4500.0,10,0.09855311685211358,0.06635721775389175,0.28182386695455935
ganfeng_equity,VMD-K10-A1500,VMD,10,1500.0,11,0.05745953174758944,0.031111545065692737,0.15967582762950958
ganfeng_equity,VMD-K10-A3000,VMD,10,3000.0,11,0.09638839498014208,0.04569594237240171,0.2638827780253729
ganfeng_equity,VMD-K10-A4500,VMD,10,4500.0,11,0.0939596638817946,0.05935602617635569,0.26629683200386134
ganfeng_equity,CEEMDAN-M7,CEEMDAN,7,,6,0.8848345457491019,0.8555644900948909,2.689253127423985
ganfeng_equity,CEEMDAN-M9,CEEMDAN,9,,6,0.9002903984046273,0.8511012853466866,2.724351996388826
