Target,Model,Nominal Coverage (%),Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
albemarle_equity,ARIMA,80.0,57.009345794392516,7.6200000000000045,7.6200000000000045,22.990654205607484,24.07233644859813
albemarle_equity,ARIMA,90.0,68.22429906542055,11.599999999999994,11.599999999999994,21.775700934579444,29.80000000000003
albemarle_equity,ARIMA,95.0,91.58878504672897,18.840000000000007,18.840000000000007,3.4112149532710245,26.49233644859813
albemarle_equity,CEEMDAN-ARIMA,80.0,62.616822429906534,4.905403933565877,4.905403933565877,17.383177570093466,11.519672045177877
albemarle_equity,CEEMDAN-ARIMA,90.0,98.13084112149532,15.95222439035575,15.95222439035575,8.130841121495324,16.599006628914573
albemarle_equity,CEEMDAN-ARIMA,95.0,100.0,91.50843677687604,91.50843677687604,5.000000000000004,91.50843677687604
albemarle_equity,CEEMDAN-LSTM,80.0,67.28971962616822,12.01130493164065,12.01130493164065,12.710280373831784,22.56361793589365
albemarle_equity,CEEMDAN-LSTM,90.0,86.91588785046729,18.581008911132812,18.581008911132812,3.084112149532714,25.805551546756345
albemarle_equity,CEEMDAN-LSTM,95.0,100.0,44.96947265625,44.96947265625,5.000000000000004,44.96947265625
albemarle_equity,ELM,80.0,88.78504672897196,88.26139118890579,88.26139118890579,8.785046728971956,97.33843950611912
albemarle_equity,ELM,90.0,95.32710280373831,101.33135082817923,101.33135082817923,5.327102803738315,109.16639947823967
albemarle_equity,ELM,95.0,100.0,169.40090276343,169.40090276343,5.000000000000004,169.40090276343
albemarle_equity,ES,80.0,0.0,22.130405128334242,22.130405128334242,80.0,691.7386495800909
albemarle_equity,ES,90.0,0.9345794392523363,32.56524841384169,32.56524841384169,89.06542056074767,1267.6784855659876
albemarle_equity,ES,95.0,7.476635514018691,42.79267005659539,42.79267005659539,87.5233644859813,2315.971734888629
albemarle_equity,Fixed VMD-LASSO-ARIMA/LSTM,80.0,70.09345794392523,9.821261925475852,9.821261925475852,9.906542056074773,17.08580942868073
albemarle_equity,Fixed VMD-LASSO-ARIMA/LSTM,90.0,89.7196261682243,15.192163685950703,15.192163685950703,0.2803738317757043,18.058629574463293
albemarle_equity,Fixed VMD-LASSO-ARIMA/LSTM,95.0,100.0,64.8467063532171,64.8467063532171,5.000000000000004,64.8467063532171
albemarle_equity,LSTM,80.0,60.747663551401864,47.929039306640604,47.929039306640604,19.25233644859814,74.49734985351563
albemarle_equity,LSTM,90.0,69.1588785046729,52.46953186035159,52.46953186035159,20.84112149532711,90.27811751035883
albemarle_equity,LSTM,95.0,84.11214953271028,58.71765686035156,58.71765686035156,10.887850467289717,103.7534806182006
albemarle_equity,MLP,80.0,26.168224299065418,21.49668327758857,21.49668327758857,53.83177570093458,179.61207254680883
albemarle_equity,MLP,90.0,26.168224299065418,26.24798147386338,26.24798147386338,63.83177570093459,307.39908174074213
albemarle_equity,MLP,95.0,31.775700934579437,33.59411978538901,33.59411978538901,63.22429906542055,492.0442058201904
albemarle_equity,Proposed Adaptive Decomposition-Routing Ensemble,80.0,64.48598130841121,4.1525164233351886,4.1525164233351886,15.514018691588793,7.606019359120684
albemarle_equity,Proposed Adaptive Decomposition-Routing Ensemble,90.0,81.30841121495327,5.404536753387729,5.404536753387729,8.691588785046733,9.046647734697833
albemarle_equity,Proposed Adaptive Decomposition-Routing Ensemble,95.0,100.0,29.827283372399044,29.827283372399044,5.000000000000004,29.827283372399044
albemarle_equity,RF,80.0,44.85981308411215,9.48580000000004,9.48580000000004,35.14018691588785,33.70382803738312
albemarle_equity,RF,90.0,58.87850467289719,11.692000000000007,11.692000000000007,31.12149532710281,48.956429906542056
albemarle_equity,RF,95.0,71.02803738317756,16.091200000000015,16.091200000000015,23.971962616822427,60.37090093457942
albemarle_equity,Random Walk,80.0,57.009345794392516,7.6200000000000045,7.6200000000000045,22.990654205607484,24.07233644859813
albemarle_equity,Random Walk,90.0,68.22429906542055,11.599999999999994,11.599999999999994,21.775700934579444,29.80000000000003
albemarle_equity,Random Walk,95.0,91.58878504672897,18.840000000000007,18.840000000000007,3.4112149532710245,26.49233644859813
albemarle_equity,SVR,80.0,68.22429906542055,82.75353616710298,82.75353616710298,11.775700934579447,116.0373229816156
albemarle_equity,SVR,90.0,79.43925233644859,92.27908395213807,92.27908395213807,10.560747663551407,133.85539222085364
albemarle_equity,SVR,95.0,85.04672897196261,100.95563808062283,100.95563808062283,9.953271028037381,154.74352858983426
albemarle_equity,VMD-ARIMA,80.0,55.140186915887845,4.428927811463122,4.428927811463122,24.859813084112158,12.542671922616067
albemarle_equity,VMD-ARIMA,90.0,76.63551401869158,6.920297230310472,6.920297230310472,13.364485981308416,15.005652663618571
albemarle_equity,VMD-ARIMA,95.0,100.0,71.38727363113354,71.38727363113354,5.000000000000004,71.38727363113354
albemarle_equity,VMD-LSTM,80.0,64.48598130841121,9.368484497070312,9.368484497070312,15.514018691588793,20.840374299521763
albemarle_equity,VMD-LSTM,90.0,87.85046728971963,16.40592224121093,16.40592224121093,2.1495327102803774,23.37996786812757
albemarle_equity,VMD-LSTM,95.0,100.0,47.62712646484375,47.62712646484375,5.000000000000004,47.62712646484375
ganfeng_equity,ARIMA,80.0,74.76635514018692,0.677953095248796,0.677953095248796,5.233644859813092,1.2373746126698963
ganfeng_equity,ARIMA,90.0,85.98130841121495,1.0478510560920915,1.0478510560920915,4.0186915887850505,1.4879118474696744
ganfeng_equity,ARIMA,95.0,96.26168224299066,1.4616774739257856,1.4616774739257856,1.2616822429906582,1.6663162433800869
ganfeng_equity,CEEMDAN-ARIMA,80.0,46.728971962616825,0.422934434230001,0.422934434230001,33.27102803738318,1.2957309244001185
ganfeng_equity,CEEMDAN-ARIMA,90.0,100.0,1.504638765787844,1.504638765787844,9.999999999999998,1.504638765787844
ganfeng_equity,CEEMDAN-ARIMA,95.0,100.0,2.28355683348409,2.28355683348409,5.000000000000004,2.28355683348409
ganfeng_equity,CEEMDAN-LSTM,80.0,56.074766355140184,0.7293829345703104,0.7293829345703104,23.925233644859823,1.3966552128301635
ganfeng_equity,CEEMDAN-LSTM,90.0,75.70093457943925,0.9838734970092775,0.9838734970092775,14.299065420560753,1.4780671712572333
ganfeng_equity,CEEMDAN-LSTM,95.0,88.78504672897196,1.2064553222656256,1.2064553222656256,6.214953271028034,1.462702569979374
ganfeng_equity,ELM,80.0,28.037383177570092,11.446173066769191,11.446173066769191,51.96261682242991,16.145429214476266
ganfeng_equity,ELM,90.0,30.8411214953271,11.566526060508119,11.566526060508119,59.1588785046729,20.11943427546184
ganfeng_equity,ELM,95.0,67.28971962616822,12.806175643775557,12.806175643775557,27.710280373831775,16.814075950418047
ganfeng_equity,ES,80.0,0.9345794392523363,6.634043117394899,6.634043117394899,79.06542056074767,20.659074203407922
ganfeng_equity,ES,90.0,0.9345794392523363,6.6958843365993355,6.6958843365993355,89.06542056074767,34.13331386977768
ganfeng_equity,ES,95.0,28.971962616822427,8.414804946201558,8.414804946201558,66.02803738317758,33.465871869381886
ganfeng_equity,Fixed VMD-LASSO-ARIMA/LSTM,80.0,86.91588785046729,0.7801535245831025,0.7801535245831025,6.915887850467284,0.914584392962946
ganfeng_equity,Fixed VMD-LASSO-ARIMA/LSTM,90.0,97.19626168224299,1.1686581452688642,1.1686581452688642,7.196261682242988,1.2028887713941325
ganfeng_equity,Fixed VMD-LASSO-ARIMA/LSTM,95.0,100.0,2.0994697011325543,2.0994697011325543,5.000000000000004,2.0994697011325543
ganfeng_equity,LSTM,80.0,67.28971962616822,2.1214293518066394,2.1214293518066394,12.710280373831784,3.25777035444028
ganfeng_equity,LSTM,90.0,76.63551401869158,2.381520179748534,2.381520179748534,13.364485981308416,3.9225645718440845
ganfeng_equity,LSTM,95.0,95.32710280373831,3.454169456481936,3.454169456481936,0.3271028037383217,3.90515879500915
ganfeng_equity,MLP,80.0,54.20560747663551,4.238355460674639,4.238355460674639,25.794392523364497,6.126528227412169
ganfeng_equity,MLP,90.0,69.1588785046729,4.677658944478025,4.677658944478025,20.84112149532711,6.799177196581576
ganfeng_equity,MLP,95.0,94.39252336448598,5.954249429207133,5.954249429207133,0.6074766355140149,6.470494809987474
ganfeng_equity,Proposed Adaptive Decomposition-Routing Ensemble,80.0,82.2429906542056,0.4916388191200304,0.4916388191200304,2.242990654205601,0.6444612013058094
ganfeng_equity,Proposed Adaptive Decomposition-Routing Ensemble,90.0,91.58878504672897,0.5917441152346578,0.5917441152346578,1.5887850467289688,0.7792914669690458
ganfeng_equity,Proposed Adaptive Decomposition-Routing Ensemble,95.0,100.0,1.172814589438781,1.172814589438781,5.000000000000004,1.172814589438781
ganfeng_equity,RF,80.0,56.074766355140184,2.5107399999999984,2.5107399999999984,23.925233644859823,4.494309158878509
ganfeng_equity,RF,90.0,71.96261682242991,3.059660000000001,3.059660000000001,18.0373831775701,5.069430093457945
ganfeng_equity,RF,95.0,82.2429906542056,3.5019599999999977,3.5019599999999977,12.75700934579439,5.426498317757019
ganfeng_equity,Random Walk,80.0,70.09345794392523,0.5980000000000009,0.5980000000000009,9.906542056074773,1.2606168224299072
ganfeng_equity,Random Walk,90.0,93.45794392523365,1.2220000000000015,1.2220000000000015,3.457943925233642,1.431345794392524
ganfeng_equity,Random Walk,95.0,99.06542056074767,1.688000000000002,1.688000000000002,4.065420560747668,1.7425794392523382
ganfeng_equity,SVR,80.0,8.411214953271028,5.509942926147092,5.509942926147092,71.58878504672897,14.36374396127305
ganfeng_equity,SVR,90.0,8.411214953271028,5.524349499426493,5.524349499426493,81.58878504672897,23.10000351534371
ganfeng_equity,SVR,95.0,46.728971962616825,7.198392801930098,7.198392801930098,48.271028037383175,17.630592286638517
ganfeng_equity,VMD-ARIMA,80.0,85.98130841121495,0.35820217028322965,0.35820217028322965,5.981308411214947,0.42477952656274204
ganfeng_equity,VMD-ARIMA,90.0,100.0,1.6144397534990613,1.6144397534990613,9.999999999999998,1.6144397534990613
ganfeng_equity,VMD-ARIMA,95.0,100.0,2.6879300575283196,2.6879300575283196,5.000000000000004,2.6879300575283196
ganfeng_equity,VMD-LSTM,80.0,40.18691588785047,0.8887671508789055,0.8887671508789055,39.81308411214954,1.9231622532639567
ganfeng_equity,VMD-LSTM,90.0,52.336448598130836,1.011787322998046,1.011787322998046,37.663551401869164,2.418298634751939
ganfeng_equity,VMD-LSTM,95.0,78.50467289719626,1.3575117034912125,1.3575117034912125,16.495327102803735,2.124487856428196
