Target,Candidate,Method,Configured Modes,Returned Component,VMD Alpha,Selected Route,Development RMSE,Development MAE,Selection Score,ARIMA Order,Selected Feature Count,Selected Features
lithium_hydroxide,VMD-K7-A1500,VMD,7,1,1500.0,RF,0.037431118504354426,0.027937367840864837,0.3653742884637641,,6,target_1 | Cross_Lithium_Close | target_5 | target_4 | target_3 | target_2
lithium_hydroxide,VMD-K7-A1500,VMD,7,2,1500.0,ARIMA,0.030956567816215523,0.0043479207795178495,0.07041501803759155,"(2, 2, 1)",2,target_1 | SP500
lithium_hydroxide,VMD-K7-A1500,VMD,7,3,1500.0,RF,0.01089264096801862,0.00855134396063573,0.07489682244708837,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K7-A1500,VMD,7,4,1500.0,ARIMA,0.007270382993302843,0.0018810902114095788,0.1625947010014619,"(4, 0, 5)",10,target_1 | target_2 | target_3 | target_5 | VIX | News_Article_Count | News_TextBlob_Polarity | News_FinBERT_Score | Cross_Lithium_Close | Trends_lithium_carbonate
lithium_hydroxide,VMD-K7-A1500,VMD,7,5,1500.0,RF,0.0049386999111990584,0.004030852018836688,0.3077178909281333,,7,target_2 | target_1 | target_4 | target_5 | News_TextBlob_Polarity | News_Article_Count | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,6,1500.0,ARIMA,0.0025104385585312384,0.0017664647805010006,0.19834808199977907,"(4, 0, 4)",5,target_2 | target_1 | target_5 | target_4 | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,7,1500.0,ARIMA,0.0037306791917920963,0.0014921570595936326,0.27994815297172876,"(2, 0, 4)",6,target_1 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,8,1500.0,SVR,0.03377267419517906,0.02375024859226433,1.109192043191207,,3,target_5 | target_3 | target_1
lithium_hydroxide,VMD-K7-A3000,VMD,7,1,3000.0,ARIMA,0.8870241674823803,0.1113856675213684,2.3606551156286146,"(2, 2, 1)",2,target_1 | Cross_Lithium_Close
lithium_hydroxide,VMD-K7-A3000,VMD,7,2,3000.0,SVR,0.01594627051168275,0.013262616976880586,0.21397365087905953,,1,target_1
lithium_hydroxide,VMD-K7-A3000,VMD,7,3,3000.0,RF,0.011810749841629027,0.009112682324629667,0.07911709855782276,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K7-A3000,VMD,7,4,3000.0,ARIMA,0.007289606394016779,0.0015822239072907623,0.177458600512966,"(4, 0, 5)",10,target_1 | target_3 | target_2 | target_5 | News_TextBlob_Polarity | News_FinBERT_Score | News_Article_Count | Trends_lithium_carbonate | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K7-A3000,VMD,7,5,3000.0,ARIMA,0.0024246573457175225,0.0014922867655903671,0.15190006713550958,"(4, 0, 4)",8,target_2 | target_4 | target_5 | target_1 | VIX | News_TextBlob_Polarity | Cross_Lithium_Close | News_Article_Count
lithium_hydroxide,VMD-K7-A3000,VMD,7,6,3000.0,ARIMA,0.001507258042171343,0.0011325474218943552,0.1550061182773406,"(5, 0, 5)",5,target_2 | target_1 | target_5 | News_FinBERT_Score | VIX
lithium_hydroxide,VMD-K7-A3000,VMD,7,7,3000.0,ARIMA,0.0022439932098948724,0.0010412876359184567,0.1731397977828923,"(2, 0, 5)",8,target_1 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | Cross_Lithium_Close | VIX | News_TextBlob_Polarity
lithium_hydroxide,VMD-K7-A3000,VMD,7,8,3000.0,ARIMA,0.04400932529291254,0.03232093206474882,1.1015088966777093,"(5, 0, 2)",4,target_1 | target_3 | target_5 | Cross_Lithium_Close
lithium_hydroxide,VMD-K7-A4500,VMD,7,1,4500.0,ARIMA,0.9904089744675768,0.13259752184049106,2.0161909577771824,"(3, 1, 2)",5,target_1 | SP500 | Cross_Lithium_Close | Ganfeng_Lithium_Close | target_2
lithium_hydroxide,VMD-K7-A4500,VMD,7,2,4500.0,SVR,0.032843132745916576,0.029890700503844507,0.29756878204491277,,1,target_1
lithium_hydroxide,VMD-K7-A4500,VMD,7,3,4500.0,ARIMA,0.005218250493682637,0.0015453070699526685,0.3491553830920036,"(4, 0, 2)",9,target_1 | target_2 | target_4 | target_5 | Cross_Lithium_Close | Trends_lithium_hydroxide | VIX | News_TextBlob_Polarity | SP500
lithium_hydroxide,VMD-K7-A4500,VMD,7,4,4500.0,RF,0.002979610681069216,0.0024183455973921697,0.24848415442129798,,7,target_2 | target_1 | target_5 | Cross_Lithium_Close | News_Article_Count | News_TextBlob_Polarity | VIX
lithium_hydroxide,VMD-K7-A4500,VMD,7,5,4500.0,ARIMA,0.001773858593584157,0.0011463591883303,0.120368898100432,"(4, 0, 5)",8,target_2 | target_4 | target_3 | Cross_Lithium_Close | News_Article_Count | VIX | News_FinBERT_Score | News_TextBlob_Polarity
lithium_hydroxide,VMD-K7-A4500,VMD,7,6,4500.0,ARIMA,0.0012105551635748033,0.0008990114031487789,0.1382603869373459,"(4, 0, 4)",6,target_2 | target_1 | target_5 | Cross_Lithium_Close | News_FinBERT_Score | VIX
lithium_hydroxide,VMD-K7-A4500,VMD,7,7,4500.0,ARIMA,0.004148531269890927,0.0011062833765671514,0.2963886532429894,"(5, 0, 5)",10,target_1 | target_2 | target_3 | target_5 | Cross_Lithium_Close | News_FinBERT_Score | VIX | US_Dollar_Index | News_TextBlob_Polarity | News_Article_Count
lithium_hydroxide,VMD-K7-A4500,VMD,7,8,4500.0,SVR,0.048936720901618616,0.03664410158956551,0.7233046603565281,,5,target_1 | target_2 | target_5 | target_3 | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,1,1500.0,RF,0.031346555460121384,0.024123359932030596,0.32752783367118227,,6,target_1 | Cross_Lithium_Close | target_4 | target_5 | target_3 | target_2
lithium_hydroxide,VMD-K8-A1500,VMD,8,2,1500.0,ARIMA,0.02114978169605878,0.0026463544044947303,0.04879719543635942,"(1, 2, 1)",2,target_1 | SP500
lithium_hydroxide,VMD-K8-A1500,VMD,8,3,1500.0,RF,0.010754499123566684,0.008799724563952427,0.07453761701057283,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,4,1500.0,ARIMA,0.006649775097196706,0.001749807523425843,0.1532913725561314,"(5, 0, 4)",10,target_1 | target_3 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | VIX | News_TextBlob_Polarity | Trends_lithium_carbonate | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,5,1500.0,ARIMA,0.007853000142946273,0.0022831442393546585,0.46358125259985195,"(5, 0, 4)",6,target_1 | target_2 | target_4 | target_5 | VIX | News_TextBlob_Polarity
lithium_hydroxide,VMD-K8-A1500,VMD,8,6,1500.0,ARIMA,0.0035545547005180426,0.002463176792213228,0.20297770916495142,"(2, 0, 2)",6,target_2 | target_4 | target_1 | target_3 | Cross_Lithium_Close | VIX
lithium_hydroxide,VMD-K8-A1500,VMD,8,7,1500.0,ARIMA,0.0023428458902304003,0.001429243815891569,0.15326578879120456,"(2, 0, 1)",8,target_1 | target_2 | target_4 | target_5 | News_FinBERT_Score | VIX | Cross_Lithium_Close | News_Article_Count
lithium_hydroxide,VMD-K8-A1500,VMD,8,8,1500.0,ARIMA,0.0020520050293346957,0.000996634422360147,0.14384349932726148,"(4, 0, 1)",7,target_1 | target_2 | target_3 | News_FinBERT_Score | News_Article_Count | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,9,1500.0,ARIMA,0.02813963051570158,0.020965025070373525,1.068423520000544,"(2, 0, 3)",5,target_1 | target_5 | target_2 | target_4 | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,1,3000.0,ARIMA,0.8883147671469815,0.11792335859612132,2.320984735947629,"(2, 2, 2)",2,target_1 | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,2,3000.0,SVR,0.013220487921968479,0.010071017064702464,0.16434781285033315,,1,target_1
lithium_hydroxide,VMD-K8-A3000,VMD,8,3,3000.0,RF,0.011141950952657069,0.008346407635688924,0.07424847502599626,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,4,3000.0,ARIMA,0.007810346452860774,0.001634532960819397,0.18993411320094924,"(4, 0, 2)",10,target_1 | target_3 | target_2 | target_5 | News_TextBlob_Polarity | News_FinBERT_Score | News_Article_Count | Trends_lithium_carbonate | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,5,3000.0,ARIMA,0.0019445971068292713,0.0012975325841892988,0.12841652771379017,"(4, 0, 3)",9,target_2 | target_4 | target_5 | target_1 | VIX | News_TextBlob_Polarity | News_Article_Count | News_FinBERT_Score | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,6,3000.0,ARIMA,0.001875540156839484,0.0014647255337130198,0.18648129818341738,"(2, 0, 2)",8,target_2 | target_1 | target_4 | target_5 | target_3 | News_Article_Count | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,7,3000.0,RF,0.003446811283714298,0.002801665135651089,0.2542524069087481,,5,target_1 | target_2 | News_FinBERT_Score | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,8,3000.0,ARIMA,0.0027239781581621966,0.0007342821336172397,0.19429129271706486,"(2, 0, 4)",8,target_1 | target_2 | target_3 | target_5 | News_Article_Count | News_FinBERT_Score | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,9,3000.0,SVR,0.03997688452328935,0.0297209777379814,1.0710061122875945,,5,target_1 | target_3 | target_4 | Cross_Lithium_Close | target_2
lithium_hydroxide,VMD-K8-A4500,VMD,8,1,4500.0,ARIMA,0.5586865916027315,0.060753844302593424,0.8894151811849624,"(2, 2, 2)",4,target_1 | Cross_Lithium_Close | Ganfeng_Lithium_Close | Albemarle_Close
lithium_hydroxide,VMD-K8-A4500,VMD,8,2,4500.0,RF,0.14222081534827472,0.13718359816838968,0.5230235828336136,,1,target_1
lithium_hydroxide,VMD-K8-A4500,VMD,8,3,4500.0,RF,0.010644666439052972,0.008693902867763226,0.07041551637423026,,4,target_1 | target_5 | Ganfeng_Lithium_Close | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A4500,VMD,8,4,4500.0,RF,0.006641808179946572,0.0053803036132287355,0.5063149152091582,,10,target_1 | target_2 | target_4 | target_5 | News_TextBlob_Polarity | Trends_lithium_hydroxide | Cross_Lithium_Close | VIX | News_Article_Count | News_FinBERT_Score
