Target,Candidate,Method,Configured Modes,VMD Alpha,Returned Components,Development RMSE,Development MAE,Development Score
lithium_hydroxide,VMD-K7-A1500,VMD,7,1500.0,8,0.06489631798595968,0.044658525626562605,0.15547828270599343
lithium_hydroxide,VMD-K7-A3000,VMD,7,3000.0,8,0.9035221127954949,0.14723378263608108,1.9221556077329098
lithium_hydroxide,VMD-K7-A4500,VMD,7,4500.0,8,1.0028911905831719,0.17354456318907358,2.13872432590312
lithium_hydroxide,VMD-K8-A1500,VMD,8,1500.0,9,0.05284977059591988,0.038235558640687055,0.12757126225856574
lithium_hydroxide,VMD-K8-A3000,VMD,8,3000.0,9,0.9042566405186259,0.14742318584647837,1.9237538671740033
lithium_hydroxide,VMD-K8-A4500,VMD,8,4500.0,9,0.5944636824734308,0.20342493522820246,1.319116224297691
lithium_hydroxide,VMD-K9-A1500,VMD,9,1500.0,10,0.05275670250720224,0.037262116893757476,0.12688355943855112
lithium_hydroxide,VMD-K9-A3000,VMD,9,3000.0,10,0.7394474451275819,0.11412500435069163,1.5698464165364727
lithium_hydroxide,VMD-K9-A4500,VMD,9,4500.0,10,0.7665558858270183,0.24421463027089704,1.6917394745354604
lithium_hydroxide,VMD-K10-A1500,VMD,10,1500.0,11,0.06526828263342235,0.03635529945522224,0.15199541253397322
lithium_hydroxide,VMD-K10-A3000,VMD,10,3000.0,11,0.8655826689575762,0.13858723782139756,1.8401838849328196
lithium_hydroxide,VMD-K10-A4500,VMD,10,4500.0,11,0.6759764213227298,0.2195478384304045,1.4939779777558115
lithium_hydroxide,CEEMDAN-M7,CEEMDAN,7,,7,0.4590603309006237,0.41968841906740356,1.1528520387158498
lithium_hydroxide,CEEMDAN-M9,CEEMDAN,9,,7,0.45752700069812374,0.4190217560268887,1.1493770301209354
lithium_carbonate,VMD-K7-A1500,VMD,7,1500.0,8,808.8096287739858,511.19515623316977,0.16826964150252705
lithium_carbonate,VMD-K7-A3000,VMD,7,3000.0,8,5074.948389923083,810.4073576522777,0.9481566342926038
lithium_carbonate,VMD-K7-A4500,VMD,7,4500.0,8,7640.078844442635,1177.2110455104319,1.4254789119295541
lithium_carbonate,VMD-K8-A1500,VMD,8,1500.0,9,664.777271051568,517.3154865296365,0.14266789983977696
lithium_carbonate,VMD-K8-A3000,VMD,8,3000.0,9,5299.256065485476,1082.6947577112444,1.0006850944418415
lithium_carbonate,VMD-K8-A4500,VMD,8,4500.0,9,4791.3285136436425,746.7103476491974,0.8943409924465802
lithium_carbonate,VMD-K9-A1500,VMD,9,1500.0,10,540.8422399580579,449.96647114842904,0.1173769655825671
lithium_carbonate,VMD-K9-A3000,VMD,9,3000.0,10,5013.363833357889,813.3593409173207,0.9372250338831377
lithium_carbonate,VMD-K9-A4500,VMD,9,4500.0,10,4899.966655892727,748.1545613764927,0.9139236218913805
lithium_carbonate,VMD-K10-A1500,VMD,10,1500.0,11,505.7115749760436,401.63865056076673,0.10889481817471337
lithium_carbonate,VMD-K10-A3000,VMD,10,3000.0,11,6197.279929842356,1035.0732191915959,1.1598837905816002
lithium_carbonate,VMD-K10-A4500,VMD,10,4500.0,11,4800.455470806881,791.2940688215243,0.8979831885229205
lithium_carbonate,CEEMDAN-M7,CEEMDAN,7,,7,1881.603821639735,1070.6280303596805,0.38613292635883717
lithium_carbonate,CEEMDAN-M9,CEEMDAN,9,,7,1851.6686695156325,1035.1147070660359,0.379159755141608
