Target,Candidate,Method,Configured Modes,Returned Component,VMD Alpha,Selected Route,Development RMSE,Development MAE,Selection Score,ARIMA Order,Selected Feature Count,Selected Features
lithium_hydroxide,VMD-K7-A1500,VMD,7,1,1500.0,RF,0.036966703974988906,0.027909700226060295,0.36149698121115187,,6,target_1 | Cross_Lithium_Close | target_5 | target_4 | target_3 | target_2
lithium_hydroxide,VMD-K7-A1500,VMD,7,2,1500.0,ARIMA,0.030956568640973597,0.004347927609726591,0.07041502360228946,"(2, 2, 1)",2,target_1 | SP500
lithium_hydroxide,VMD-K7-A1500,VMD,7,3,1500.0,RF,0.010831419377852081,0.00846460834796653,0.07442029668106769,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K7-A1500,VMD,7,4,1500.0,ARIMA,0.007397265105197325,0.0019008605844372049,0.16536371693181806,"(4, 0, 5)",10,target_1 | target_2 | target_3 | target_5 | VIX | News_Article_Count | News_TextBlob_Polarity | News_FinBERT_Score | Cross_Lithium_Close | Trends_lithium_carbonate
lithium_hydroxide,VMD-K7-A1500,VMD,7,5,1500.0,RF,0.004956451474495727,0.004060256653919049,0.3090169188968155,,7,target_2 | target_1 | target_4 | target_5 | News_TextBlob_Polarity | News_Article_Count | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,6,1500.0,ARIMA,0.002511637596137419,0.001770522499991648,0.19849680452210233,"(4, 0, 4)",5,target_2 | target_1 | target_5 | target_4 | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,7,1500.0,ARIMA,0.003725836242694962,0.001494861037166434,0.279663890957849,"(2, 0, 5)",6,target_1 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,8,1500.0,SVR,0.033775262568154586,0.023751711270514703,1.1092745559330006,,3,target_5 | target_3 | target_1
lithium_hydroxide,VMD-K7-A3000,VMD,7,1,3000.0,ARIMA,0.8870243581423976,0.11138568694493407,2.3606556201213955,"(2, 2, 1)",2,target_1 | Cross_Lithium_Close
lithium_hydroxide,VMD-K7-A3000,VMD,7,2,3000.0,SVR,0.019242801517337843,0.016784816710132683,0.2603753095842393,,1,target_1
lithium_hydroxide,VMD-K7-A3000,VMD,7,3,3000.0,RF,0.011807544609728134,0.009078185573162265,0.07905066980802844,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K7-A3000,VMD,7,4,3000.0,ARIMA,0.007289417578977608,0.0015821819083255179,0.1774539981219824,"(4, 0, 5)",10,target_1 | target_3 | target_2 | target_5 | News_TextBlob_Polarity | News_FinBERT_Score | News_Article_Count | Trends_lithium_carbonate | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K7-A3000,VMD,7,5,3000.0,ARIMA,0.0024199007728913946,0.0014910842866449915,0.15162549162102396,"(4, 0, 4)",8,target_2 | target_4 | target_5 | target_1 | VIX | News_TextBlob_Polarity | Cross_Lithium_Close | News_Article_Count
lithium_hydroxide,VMD-K7-A3000,VMD,7,6,3000.0,ARIMA,0.0015086357193350812,0.0011331492541561408,0.15513841887224888,"(5, 0, 5)",5,target_2 | target_1 | target_5 | News_FinBERT_Score | VIX
lithium_hydroxide,VMD-K7-A3000,VMD,7,7,3000.0,ARIMA,0.002226973350597038,0.001009172750584551,0.17140802443193756,"(2, 0, 5)",8,target_1 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | Cross_Lithium_Close | VIX | News_TextBlob_Polarity
lithium_hydroxide,VMD-K7-A3000,VMD,7,8,3000.0,ARIMA,0.04400059876103375,0.03230501806868884,1.1012402304609827,"(5, 0, 2)",4,target_1 | target_3 | target_5 | Cross_Lithium_Close
lithium_hydroxide,VMD-K7-A4500,VMD,7,1,4500.0,ARIMA,0.9904089781194985,0.13259752166347924,2.0161909648835263,"(3, 1, 2)",5,target_1 | SP500 | Cross_Lithium_Close | Ganfeng_Lithium_Close | target_2
lithium_hydroxide,VMD-K7-A4500,VMD,7,2,4500.0,SVR,0.03357572297165191,0.03058945256979385,0.3042653533345609,,1,target_1
lithium_hydroxide,VMD-K7-A4500,VMD,7,3,4500.0,ARIMA,0.005209846354742059,0.00153358022364996,0.348449179386488,"(4, 0, 2)",9,target_1 | target_2 | target_4 | target_5 | Cross_Lithium_Close | Trends_lithium_hydroxide | VIX | News_TextBlob_Polarity | SP500
lithium_hydroxide,VMD-K7-A4500,VMD,7,4,4500.0,RF,0.002977500632822836,0.0024150056067962743,0.2482799811510739,,7,target_2 | target_1 | target_5 | Cross_Lithium_Close | News_Article_Count | News_TextBlob_Polarity | VIX
lithium_hydroxide,VMD-K7-A4500,VMD,7,5,4500.0,ARIMA,0.001780831159986985,0.001153470541481713,0.12088008613858928,"(4, 0, 5)",8,target_2 | target_4 | target_3 | Cross_Lithium_Close | News_Article_Count | VIX | News_FinBERT_Score | News_TextBlob_Polarity
lithium_hydroxide,VMD-K7-A4500,VMD,7,6,4500.0,ARIMA,0.001202831908353856,0.0008922204351718615,0.13735288087782968,"(4, 0, 4)",6,target_2 | target_1 | target_5 | Cross_Lithium_Close | News_FinBERT_Score | VIX
lithium_hydroxide,VMD-K7-A4500,VMD,7,7,4500.0,ARIMA,0.004320163283391452,0.0011321212033418846,0.3083170313108148,"(5, 0, 5)",10,target_1 | target_2 | target_3 | target_5 | Cross_Lithium_Close | News_FinBERT_Score | VIX | US_Dollar_Index | News_TextBlob_Polarity | News_Article_Count
lithium_hydroxide,VMD-K7-A4500,VMD,7,8,4500.0,SVR,0.04895132702891213,0.03666099045200381,0.7235390692455932,,5,target_1 | target_2 | target_5 | target_3 | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,1,1500.0,RF,0.03261422118238015,0.024318430289742784,0.3390633766280333,,6,target_1 | Cross_Lithium_Close | target_4 | target_5 | target_3 | target_2
lithium_hydroxide,VMD-K8-A1500,VMD,8,2,1500.0,ARIMA,0.021149781781806435,0.0026463536138426154,0.04879719518597784,"(1, 2, 1)",2,target_1 | SP500
lithium_hydroxide,VMD-K8-A1500,VMD,8,3,1500.0,RF,0.010663865857262358,0.008731037839927378,0.07391732544155888,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,4,1500.0,ARIMA,0.006612885865489881,0.0017478315228727876,0.15248280145521162,"(5, 0, 4)",10,target_1 | target_3 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | VIX | News_TextBlob_Polarity | Trends_lithium_carbonate | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,5,1500.0,RF,0.008394706392000208,0.006839837842907075,0.5560841099648801,,6,target_1 | target_2 | target_4 | target_5 | VIX | News_TextBlob_Polarity
lithium_hydroxide,VMD-K8-A1500,VMD,8,6,1500.0,ARIMA,0.0035545497659266617,0.0024631852692574055,0.20297757213821394,"(2, 0, 2)",6,target_2 | target_4 | target_1 | target_3 | Cross_Lithium_Close | VIX
lithium_hydroxide,VMD-K8-A1500,VMD,8,7,1500.0,ARIMA,0.002342845896714246,0.0014292438182787752,0.15326578919311404,"(2, 0, 1)",8,target_1 | target_2 | target_4 | target_5 | News_FinBERT_Score | VIX | Cross_Lithium_Close | News_Article_Count
lithium_hydroxide,VMD-K8-A1500,VMD,8,8,1500.0,ARIMA,0.0022866950054627137,0.0010385123873993209,0.15916817904454025,"(4, 0, 1)",7,target_1 | target_2 | target_3 | News_FinBERT_Score | News_Article_Count | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,9,1500.0,ARIMA,0.02813963148352065,0.020965026191315368,1.0684235599470826,"(2, 0, 3)",5,target_1 | target_5 | target_2 | target_4 | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,1,3000.0,ARIMA,0.8883147901374473,0.11792335585534289,2.3209847923547366,"(2, 2, 2)",2,target_1 | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,2,3000.0,SVR,0.011844373687920622,0.009180739371223177,0.14765343495252134,,1,target_1
lithium_hydroxide,VMD-K8-A3000,VMD,8,3,3000.0,RF,0.01107807099626812,0.008374954273826651,0.07392998945138513,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,4,3000.0,ARIMA,0.007858770003073919,0.0016419574877640708,0.19109603684107368,"(4, 0, 2)",10,target_1 | target_3 | target_2 | target_5 | News_TextBlob_Polarity | News_FinBERT_Score | News_Article_Count | Trends_lithium_carbonate | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,5,3000.0,ARIMA,0.0019466479221191138,0.001296985591930148,0.12852485737710073,"(4, 0, 3)",9,target_2 | target_4 | target_5 | target_1 | VIX | News_TextBlob_Polarity | News_Article_Count | News_FinBERT_Score | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,6,3000.0,ARIMA,0.001875540441683086,0.0014647258691102868,0.1864813288537493,"(2, 0, 2)",8,target_2 | target_1 | target_4 | target_5 | target_3 | News_Article_Count | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,7,3000.0,RF,0.0034317435286008603,0.00279001526662027,0.2531501006716111,,5,target_1 | target_2 | News_FinBERT_Score | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,8,3000.0,ARIMA,0.002726570461849904,0.0007347719317905534,0.19447270082768262,"(2, 0, 4)",8,target_1 | target_2 | target_3 | target_5 | News_Article_Count | News_FinBERT_Score | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,9,3000.0,SVR,0.039990066161456256,0.02973702810007227,1.0713945585915132,,5,target_1 | target_3 | target_4 | Cross_Lithium_Close | target_2
lithium_hydroxide,VMD-K8-A4500,VMD,8,1,4500.0,ARIMA,0.5586865916023516,0.0607538443025944,0.8894151811843727,"(2, 2, 2)",4,target_1 | Cross_Lithium_Close | Ganfeng_Lithium_Close | Albemarle_Close
lithium_hydroxide,VMD-K8-A4500,VMD,8,2,4500.0,RF,0.14222081534826592,0.13718359816838116,0.5230235828335879,,1,target_1
