Target,Method,Mode,Frequency,Average Period,Variance Ratio,Correlation,Approximate Entropy
lithium_hydroxide,VMD,1,0.211484593837535,4.728476821192053,1.0254551025984873,0.9695432288679973,0.01667839432063878
lithium_hydroxide,VMD,2,0.00980392156862745,102.0,0.008021905344918987,0.18893366631971636,0.1332232852914219
lithium_hydroxide,VMD,3,0.04201680672268908,23.8,0.0006615396343408366,0.028560279556832147,0.3716759680142663
lithium_hydroxide,VMD,4,0.1092436974789916,9.153846153846153,0.00013604060921204318,0.00523672145247127,0.3506623003349407
lithium_hydroxide,VMD,5,0.16946778711484595,5.900826446280992,4.7919580143316856e-05,0.014887518280163558,0.204862692246488
lithium_hydroxide,VMD,6,0.20448179271708683,4.890410958904109,6.299922314044744e-05,0.013469945887215428,0.1425535252529322
lithium_hydroxide,VMD,7,0.27170868347338933,3.6804123711340204,3.802622220519055e-05,-9.705008621410535e-05,0.3701550473274815
lithium_hydroxide,VMD,8,0.3165266106442577,3.15929203539823,5.168136827507227e-05,0.002761385529039327,0.4227043220600377
lithium_hydroxide,VMD,9,0.3543417366946779,2.822134387351779,2.928728653281233e-05,0.007385015212523342,0.45527919263021666
lithium_hydroxide,CEEMDAN,1,0.24649859943977592,4.056818181818182,0.00045877055007054386,-0.045839603918808945,0.7126421127956566
lithium_hydroxide,CEEMDAN,2,0.14565826330532214,6.865384615384615,0.0009672234050925742,-0.06013218771058389,0.411858683376757
lithium_hydroxide,CEEMDAN,3,0.05322128851540616,18.789473684210527,0.0013948484759681724,0.04337181509192669,0.3791648312562055
lithium_hydroxide,CEEMDAN,4,0.02100840336134454,47.6,0.007034309384363034,0.25398544571686316,0.12145522925774288
lithium_hydroxide,CEEMDAN,5,0.0070028011204481795,142.8,0.08090657329211313,0.49700851615729813,0.041079266812334536
lithium_hydroxide,CEEMDAN,6,0.0028011204481792717,357.0,0.10224320617243329,0.8251615985574474,0.020162738366664046
lithium_hydroxide,CEEMDAN,7,0.0,,0.45927729377859977,0.8477253757740829,0.00175919439879757
lithium_carbonate,VMD,1,0.09565217391304348,10.454545454545455,0.9841170914814783,0.9338450323553011,0.008928868961301628
lithium_carbonate,VMD,2,0.007246376811594203,138.0,0.020839942140433537,0.18585024034094744,0.18709652144377964
lithium_carbonate,VMD,3,0.017391304347826087,57.5,0.002238501549350909,0.0997677674687481,0.17714108592999223
lithium_carbonate,VMD,4,0.02608695652173913,38.333333333333336,0.0019269271207020832,0.07877289665972531,0.26337167212631063
lithium_carbonate,VMD,5,0.04492753623188406,22.258064516129032,0.0012201358539324033,0.04464497023033073,0.2653404696529742
lithium_carbonate,VMD,6,0.17246376811594202,5.798319327731092,1.4510761215185737e-05,-0.0444311526175409,0.2171478295299476
lithium_carbonate,VMD,7,0.21739130434782608,4.6,4.508686321488558e-06,-0.038453100570733645,0.2522527205025682
lithium_carbonate,VMD,8,0.26956521739130435,3.7096774193548385,2.9248646214087307e-06,-0.035838881852138876,0.32426623893386
lithium_carbonate,VMD,9,0.3333333333333333,3.0,1.315095829675766e-06,-0.010942890111118526,0.48206829212875624
lithium_carbonate,CEEMDAN,1,0.26521739130434785,3.7704918032786887,0.0001693678873098588,-0.07899997078962775,0.5831937183637432
lithium_carbonate,CEEMDAN,2,0.1826086956521739,5.476190476190476,0.0011631034810397072,-0.0748100060998713,0.21239183158183939
lithium_carbonate,CEEMDAN,3,0.050724637681159424,19.714285714285715,0.002422024739801448,0.2398838589093071,0.3107501331406053
lithium_carbonate,CEEMDAN,4,0.017391304347826087,57.5,0.017867055891847557,0.33371564842452844,0.161889985775989
lithium_carbonate,CEEMDAN,5,0.007246376811594203,138.0,0.11407012353969177,0.6896680190990482,0.05062064591878768
lithium_carbonate,CEEMDAN,6,0.002898550724637681,345.0,0.06417470058039089,0.7568945081271528,0.028562094286259665
lithium_carbonate,CEEMDAN,7,0.0,,0.3708501564510828,0.7966440175381484,0.002179462275909705
