Target,Model,Nominal Coverage (%),Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
lithium_carbonate,ARIMA,80.0,0.0,103778.28364958502,103778.28364958502,80.0,513693.1689507145
lithium_carbonate,ARIMA,90.0,0.0,115974.65584981891,115974.65584981891,90.0,813840.7044497392
lithium_carbonate,ARIMA,95.0,0.0,121772.83713658366,121772.83713658366,95.0,1401541.308601129
lithium_carbonate,CEEMDAN-ARIMA,80.0,4.901960784313726,561324.236208037,561324.236208037,75.09803921568627,6653110356.949534
lithium_carbonate,CEEMDAN-ARIMA,90.0,5.88235294117647,620763.6632450696,620763.6632450696,84.11764705882354,13305154846.017937
lithium_carbonate,CEEMDAN-ARIMA,95.0,5.88235294117647,634508.8788400316,634508.8788400316,89.11764705882352,26609443940.118202
lithium_carbonate,CEEMDAN-LSTM,80.0,11.76470588235294,12390.96875,12390.96875,68.23529411764706,410860.160692402
lithium_carbonate,CEEMDAN-LSTM,90.0,11.76470588235294,14698.203125,14698.203125,78.23529411764706,791278.6366421569
lithium_carbonate,CEEMDAN-LSTM,95.0,50.0,55150.265625,55150.265625,44.99999999999999,1034370.578125
lithium_carbonate,ELM,80.0,28.431372549019606,95554.78136754091,95554.78136754091,51.5686274509804,287522.50681408215
lithium_carbonate,ELM,90.0,58.82352941176471,131323.19106422976,131323.19106422976,31.176470588235293,326701.0234535544
lithium_carbonate,ELM,95.0,61.76470588235294,138438.64390966043,138438.64390966043,33.23529411764705,472635.75120019494
lithium_carbonate,ES,80.0,0.0,185994.12528460613,185994.12528460613,80.0,1464560.631054064
lithium_carbonate,ES,90.0,0.0,210276.07360017105,210276.07360017105,90.0,2524589.6019834387
lithium_carbonate,ES,95.0,0.0,222117.04775795343,222117.04775795343,95.0,4613924.621368839
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,80.0,32.35294117647059,31201.80264410844,31201.80264410844,47.64705882352941,277223.0815783101
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,90.0,49.01960784313725,37532.64062045381,37532.64062045381,40.98039215686275,492696.5323568592
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,95.0,50.98039215686274,40324.11444543183,40324.11444543183,44.01960784313725,922713.1288062703
lithium_carbonate,LSTM,80.0,86.27450980392157,125053.46875,125053.46875,6.2745098039215685,134338.0306372549
lithium_carbonate,LSTM,90.0,91.17647058823529,131563.9375,131563.9375,1.17647058823529,142523.13174019608
lithium_carbonate,LSTM,95.0,91.17647058823529,133027.1875,133027.1875,3.8235294117647034,152363.37009803922
lithium_carbonate,MLP,80.0,98.0392156862745,459001.7634967797,459001.7634967797,18.039215686274503,460357.0970552704
lithium_carbonate,MLP,90.0,100.0,511889.0825128165,511889.0825128165,9.999999999999998,511889.0825128165
lithium_carbonate,MLP,95.0,100.0,519693.02176780347,519693.02176780347,5.000000000000004,519693.02176780347
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,80.0,20.588235294117645,1975.4682229580358,1975.4682229580358,59.41176470588236,15477.203043835363
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,90.0,23.52941176470588,2276.772254173062,2276.772254173062,66.47058823529413,26921.39428105702
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,95.0,100.0,30608.801288895007,30608.801288895007,5.000000000000004,30608.801288895007
lithium_carbonate,RF,80.0,30.392156862745097,4086.000000000058,4086.000000000058,49.60784313725491,41367.264705882204
lithium_carbonate,RF,90.0,52.94117647058824,7107.600000000039,7107.600000000039,37.05882352941177,64845.9921568626
lithium_carbonate,RF,95.0,59.80392156862745,8056.0,8056.0,35.19607843137255,115405.49019607845
lithium_carbonate,Random Walk,80.0,58.82352941176471,2300.0,2300.0,21.176470588235297,19324.50980392157
lithium_carbonate,Random Walk,90.0,66.66666666666666,3200.0,3200.0,23.33333333333334,33876.470588235294
lithium_carbonate,Random Walk,95.0,66.66666666666666,3800.0,3800.0,28.333333333333332,61152.94117647059
lithium_carbonate,SVR,80.0,94.11764705882352,99549.78642554388,99549.78642554388,14.117647058823524,100561.43520011129
lithium_carbonate,SVR,90.0,99.01960784313727,100757.68430843085,100757.68430843085,9.019607843137257,102304.69931623223
lithium_carbonate,SVR,95.0,99.01960784313727,101553.06040860646,101553.06040860646,4.019607843137263,104491.13432613554
lithium_carbonate,VMD-ARIMA,80.0,32.35294117647059,28766.64431298979,28766.64431298979,47.64705882352941,273870.4331927018
lithium_carbonate,VMD-ARIMA,90.0,50.0,34484.8840692199,34484.8840692199,40.0,489949.81853000855
lithium_carbonate,VMD-ARIMA,95.0,50.98039215686274,36169.3813431624,36169.3813431624,44.01960784313725,930327.5171237338
lithium_carbonate,VMD-LSTM,80.0,21.568627450980394,11582.890625,11582.890625,58.43137254901961,364660.45955882355
lithium_carbonate,VMD-LSTM,90.0,23.52941176470588,14499.6875,14499.6875,66.47058823529413,698043.0912990196
lithium_carbonate,VMD-LSTM,95.0,25.49019607843137,19649.234375,19649.234375,69.50980392156862,1308998.4929534313
lithium_hydroxide,ARIMA,80.0,16.19047619047619,1.850626037158108,1.850626037158108,63.80952380952382,37.16775397192518
lithium_hydroxide,ARIMA,90.0,17.142857142857142,1.8915702849412241,1.8915702849412241,72.85714285714286,72.1858511350479
lithium_hydroxide,ARIMA,95.0,17.142857142857142,1.9248991743636275,1.9248991743636275,77.85714285714285,141.96115356414856
