Target,Mode,Selected Features,LASSO Alpha,Validation MSE,Model,ARIMA Order,Route
lithium_hydroxide,Undecomposed,target_1 | target_2 | Cross_Lithium_Close | Ganfeng_Lithium_Close,0.03039195382313198,0.15787642103317945,,,
lithium_hydroxide,1,target_1 | target_2,0.041753189365604,0.022034384389351448,VMD-ARIMA,"(5, 2, 1)",
lithium_hydroxide,2,target_1 | target_3 | target_4 | target_5 | target_2,0.0001,2.6883911076955984e-05,VMD-ARIMA,"(3, 0, 1)",
lithium_hydroxide,3,target_1 | target_2 | target_3 | target_5,0.0001,2.4376706178509893e-05,VMD-ARIMA,"(5, 0, 5)",
lithium_hydroxide,4,target_1 | target_2 | target_4 | target_5,0.0001,1.8248261409883756e-05,VMD-ARIMA,"(5, 0, 5)",
lithium_hydroxide,5,target_2 | target_1 | target_5 | target_4,0.0001,2.4785007357701275e-05,VMD-ARIMA,"(4, 0, 3)",
lithium_hydroxide,6,target_2 | target_4 | target_3 | target_5 | target_1,0.0001,2.6769692834343093e-05,VMD-ARIMA,"(4, 0, 3)",
lithium_hydroxide,7,target_2 | target_1 | target_5 | target_4,0.0001,1.7899321114437425e-05,VMD-ARIMA,"(4, 0, 5)",
lithium_hydroxide,8,target_1 | target_2 | target_3,0.0001,2.265782416458581e-05,VMD-ARIMA,"(3, 0, 4)",
lithium_hydroxide,9,target_1 | target_3 | target_5,0.0001,8.94765304446217e-06,VMD-ARIMA,"(3, 0, 5)",
lithium_hydroxide,1,target_1 | target_2,0.041753189365604,0.022034384389351448,VMD-LSTM,,
lithium_hydroxide,2,target_1 | target_3 | target_4 | target_5 | target_2,0.0001,2.6883911076955984e-05,VMD-LSTM,,
lithium_hydroxide,3,target_1 | target_2 | target_3 | target_5,0.0001,2.4376706178509893e-05,VMD-LSTM,,
lithium_hydroxide,4,target_1 | target_2 | target_4 | target_5,0.0001,1.8248261409883756e-05,VMD-LSTM,,
lithium_hydroxide,5,target_2 | target_1 | target_5 | target_4,0.0001,2.4785007357701275e-05,VMD-LSTM,,
lithium_hydroxide,6,target_2 | target_4 | target_3 | target_5 | target_1,0.0001,2.6769692834343093e-05,VMD-LSTM,,
lithium_hydroxide,7,target_2 | target_1 | target_5 | target_4,0.0001,1.7899321114437425e-05,VMD-LSTM,,
lithium_hydroxide,8,target_1 | target_2 | target_3,0.0001,2.265782416458581e-05,VMD-LSTM,,
lithium_hydroxide,9,target_1 | target_3 | target_5,0.0001,8.94765304446217e-06,VMD-LSTM,,
lithium_hydroxide,1,target_1,0.03039195382313198,0.04058781028728915,CEEMDAN-ARIMA,"(1, 0, 2)",
lithium_hydroxide,2,target_1 | target_2 | target_4 | target_5,0.004520353656360241,0.004396960455311719,CEEMDAN-ARIMA,"(3, 0, 3)",
lithium_hydroxide,3,target_1 | target_2 | target_4 | target_5,0.0001,0.00015036168371975145,CEEMDAN-ARIMA,"(4, 0, 5)",
lithium_hydroxide,4,target_1 | target_3 | target_2 | target_4 | target_5,0.0001,0.00012051816048991885,CEEMDAN-ARIMA,"(4, 0, 3)",
lithium_hydroxide,5,target_1 | target_3 | target_4 | target_5 | target_2,0.0001,0.002089082270980149,CEEMDAN-ARIMA,"(3, 2, 0)",
lithium_hydroxide,6,target_1,0.004520353656360241,0.002439157178030885,CEEMDAN-ARIMA,"(1, 2, 1)",
lithium_hydroxide,7,target_1,0.0009236708571873865,0.00032867752191581415,CEEMDAN-ARIMA,"(1, 2, 0)",
lithium_hydroxide,1,target_1,0.03039195382313198,0.04058781028728915,CEEMDAN-LSTM,,
lithium_hydroxide,2,target_1 | target_2 | target_4 | target_5,0.004520353656360241,0.004396960455311719,CEEMDAN-LSTM,,
lithium_hydroxide,3,target_1 | target_2 | target_4 | target_5,0.0001,0.00015036168371975145,CEEMDAN-LSTM,,
lithium_hydroxide,4,target_1 | target_3 | target_2 | target_4 | target_5,0.0001,0.00012051816048991885,CEEMDAN-LSTM,,
lithium_hydroxide,5,target_1 | target_3 | target_4 | target_5 | target_2,0.0001,0.002089082270980149,CEEMDAN-LSTM,,
lithium_hydroxide,6,target_1,0.004520353656360241,0.002439157178030885,CEEMDAN-LSTM,,
lithium_hydroxide,7,target_1,0.0009236708571873865,0.00032867752191581415,CEEMDAN-LSTM,,
lithium_hydroxide,1,target_1 | Cross_Lithium_Close | target_2 | Ganfeng_Lithium_Close,0.011721022975334805,0.026703895334795176,Fixed VMD-LASSO-ARIMA/LSTM,"(5, 2, 1)",ARIMA
lithium_hydroxide,2,target_1 | target_5 | Ganfeng_Lithium_Close | Trends_lithium_hydroxide,0.0009236708571873865,0.00013664021287399097,Fixed VMD-LASSO-ARIMA/LSTM,"(3, 0, 1)",ARIMA
lithium_hydroxide,3,target_1 | target_4 | Trends_lithium | News_FinBERT_Score,0.0009236708571873865,8.436507700882774e-05,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,4,target_1 | target_2 | target_4 | target_5 | News_TextBlob_Polarity | Cross_Lithium_Close | VIX | Trends_lithium_battery | News_FinBERT_Score | Trends_lithium_hydroxide,0.00018873918221350977,2.2397994642735812e-05,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,5,target_2 | target_1 | target_5 | target_4 | Cross_Lithium_Close | News_Article_Count | Trends_lithium_hydroxide | News_TextBlob_Polarity | SP500 | News_FinBERT_Score | VIX | Trends_lithium,0.00013738237958832623,3.156704691692265e-05,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,6,target_2 | target_4 | target_1 | target_5 | target_3 | Cross_Lithium_Close | Trends_lithium_hydroxide | News_Article_Count | News_TextBlob_Polarity | VIX,0.00013738237958832623,3.596291679802332e-05,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,7,target_2 | target_1 | target_5 | Trends_lithium_price | News_FinBERT_Score | Cross_Lithium_Close,0.00018873918221350977,1.956963974449872e-05,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,8,target_1 | target_2 | target_3 | Trends_lithium_price | News_FinBERT_Score | Cross_Lithium_Close | Trends_lithium_battery,0.0001,2.3899982082914763e-05,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,9,target_1 | target_3 | target_5 | News_Article_Count,0.0001,9.260185968015185e-06,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,Residual,Trends_lithium_price | Trends_lithium | US_Dollar_Index | News_FinBERT_Score | Cross_Lithium_Close | Trends_lithium_carbonate,0.0001,2.5744680851063553e-05,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,VMD-K7-A1500 / C1,target_1 | Cross_Lithium_Close | target_5 | target_4 | target_3 | target_2,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K7-A1500 / C2,target_1 | SP500,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(2, 2, 1)",ARIMA
lithium_hydroxide,VMD-K7-A1500 / C3,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K7-A1500 / C4,target_1 | target_2 | target_3 | target_5 | VIX | News_Article_Count | News_TextBlob_Polarity | News_FinBERT_Score | Cross_Lithium_Close | Trends_lithium_carbonate,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 5)",ARIMA
lithium_hydroxide,VMD-K7-A1500 / C5,target_2 | target_1 | target_4 | target_5 | News_TextBlob_Polarity | News_Article_Count | VIX,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K7-A1500 / C6,target_2 | target_1 | target_5 | target_4 | VIX,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 4)",ARIMA
