Company,Partition,Origin Date,Model Fit Origin Date,Date,Origin Price,Actual,Model,Forecast,Interval Width,Lower,Upper,Predicted Return,Threshold,Selected Model
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,Random Walk,221.04,12.149999999999975,208.89,233.19,0.0,0.0,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,Random Walk + Drift,221.09066,12.098102040816316,208.99255795918367,233.1887620408163,0.0002291892870068,0.0,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,LASSO,220.86102023646868,12.375843279404933,208.48517695706371,233.2368635158736,-0.0008097166283537,0.1,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,Elastic Net,220.86102023646868,12.375843279404933,208.48517695706371,233.2368635158736,-0.0008097166283537,0.1,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,Random Forest,218.0358782010581,12.228140753968203,205.8077374470899,230.2640189550263,-0.0135908514248185,0.0,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,Histogram Gradient Boosting,221.2341976437428,12.502897354096376,208.7313002896464,233.7370949978392,0.0008785633538852,0.1,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,ARIMA,220.8145182053792,12.575034506329558,208.2394836990496,233.38955271170872,-0.0010200949810931,0.25,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,XGBoost,221.18968200683597,11.895471191406273,209.2942108154297,233.0851531982422,0.0006771715835864,0.25,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,LightGBM,219.338723829722,13.392473598566824,205.94625023115515,232.7311974282888,-0.0076966891525426,0.1,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,LSTM,224.61880530564224,22.328636146034768,202.29016915960747,246.947441451677,0.0161907587117365,0.5,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,GRU,227.4635358540538,20.704361655448707,206.75917419860508,248.1678975095025,0.029060513273859,1.0,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,Selected ARX,221.1029725951517,12.363339548848105,208.7396330463036,233.4663121439998,0.0002848923052465,0.0,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,VMD-LSTM,228.28161586877775,19.481030102165107,208.80058576661267,247.76264597094288,0.032761562924257,0.1,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,VMD-GRU,222.31666454138352,24.330400152667263,197.98626438871625,246.6470646940508,0.0057757172520065,1.0,
Albemarle,test,2023-03-31,2023-03-31,2023-04-03,221.04,218.43,CEEMDAN-LSTM,219.846895145919,51.49067711230947,168.35621803360954,271.3375722582285,-0.0053976875410829,0.0,
