Company,Partition,Origin Date,Model Fit Origin Date,Date,Origin Price,Actual,Model,Forecast,Interval Width,Lower,Upper,Predicted Return,Threshold,Selected Model
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,Random Walk,31.573,1.0040000000000011,30.569,32.577,0.0,0.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,Random Walk + Drift,31.571188666666668,1.0025557046979865,30.56863296196868,32.573744371364654,-5.736969351447436e-05,0.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,LASSO,31.53904632592,1.002617225467013,30.536429100452985,32.54166355138701,-0.0010754022132835,0.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,Elastic Net,31.53904632592,1.002617225467013,30.536429100452985,32.54166355138701,-0.0010754022132835,0.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,Random Forest,31.66337496164022,0.953962735449732,30.709412226190487,32.61733769708995,0.0028624128730313,0.1,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,Histogram Gradient Boosting,31.86016434592668,1.1130961607777792,30.7470681851489,32.97326050670446,0.0090952505598669,0.25,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,ARIMA,31.62991570555825,1.0251507739575023,30.604764931600748,32.65506647951575,0.0018026701788949,0.1,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,XGBoost,31.767547607421875,1.0992702026367205,30.668277404785155,32.86681781005859,0.0061618347138971,0.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,LightGBM,31.757376121137856,1.2224269335080784,30.534949187629778,32.979803054645934,0.0058396769751957,0.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,LSTM,30.025049050210864,1.865423175123226,28.15962587508764,31.89047222533409,-0.0490276802897772,1.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,GRU,30.87194469396725,1.5955483934135335,29.27639630055372,32.46749308738079,-0.0222042664945602,1.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,Selected ARX,31.57444029578532,0.9963465675814548,30.578093728203864,32.57078686336678,4.56179579171624e-05,0.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,VMD-LSTM,30.514815744873285,2.543985989449105,27.97082975542418,33.05880173432239,-0.0335154801611096,0.1,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,VMD-GRU,30.38342979146576,2.223227925429512,28.16020186603625,32.60665771689527,-0.0376768190711759,0.0,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,CEEMDAN-LSTM,31.38778042043145,2.4098171253244445,28.97796329510701,33.7975975457559,-0.0058663915234075,0.5,
BHP Group,test,2023-03-31,2023-03-31,2023-04-03,31.573,31.869,VMD-LASSO-ARX/LSTM,30.70315241667552,1.9223555237225227,28.780796892953,32.625507940398045,-0.027550362123475,0.5,
