Company,Partition,Origin Date,Model Fit Origin Date,Date,Origin Price,Actual,Model,Forecast,Interval Width,Lower,Upper,Predicted Return,Threshold,Selected Model
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,Random Walk,40.91,1.3699999999999974,39.54,42.28,0.0,0.0,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,Random Walk + Drift,40.90775333333333,1.3686845637583858,39.53906876957495,42.27643789709172,-5.4917298134062816e-05,0.0,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,LASSO,40.85523854966598,1.335501990883273,39.519736558782704,42.19074054054925,-0.0013385834840875,0.0,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,Elastic Net,40.85523854966598,1.335501990883273,39.519736558782704,42.19074054054925,-0.0013385834840875,0.0,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,Random Forest,41.07686326719583,1.703884947089989,39.37297832010584,42.78074821428582,0.0040787892250265,0.25,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,Histogram Gradient Boosting,41.24415540649184,1.8599163328593773,39.38423907363246,43.10407173935121,0.0081680617573169,0.25,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,ARIMA,40.96852717385279,1.4314513756839204,39.53707579816887,42.39997854953671,0.0014306324579025,0.25,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,XGBoost,41.391719818115234,1.7294351196289028,39.66228469848633,43.12115493774414,0.0117751116625577,0.75,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,LightGBM,41.2019354813438,2.065819805514707,39.136115675829096,43.26775528685851,0.007136042076358,0.5,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,LSTM,38.83096198406083,3.566282163033293,35.264679821027535,42.39724414709412,-0.0508197999496252,0.1,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,GRU,39.89748888263574,2.726606787694486,37.170882094941256,42.62409567033023,-0.0247497217639759,0.5,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,Selected ARX,40.90376637247948,1.3500318845576231,39.55373448792186,42.253798257037104,-0.0001523741755198,0.0,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,VMD-LSTM,39.55412814667129,4.250525826255021,35.30360232041627,43.80465397292631,-0.0331427976858642,0.5,
Freeport-McMoRan,test,2023-03-31,2023-03-31,2023-04-03,40.91,41.2,VMD-GRU,39.64128953861074,3.553418751288852,36.08787078732189,43.1947082898996,-0.0310122332287766,0.0,
