Company,Partition,Origin Date,Model Fit Origin Date,Date,Origin Price,Actual,Model,Forecast,Interval Width,Lower,Upper,Predicted Return,Threshold,Selected Model
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,Random Walk,1.671,0.084,1.587,1.755,0.0,0.0,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,Random Walk + Drift,1.6713966666666666,0.0843939189189189,1.5870027477477475,1.7557905855855855,0.0002373828047077,0.0,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,LASSO,1.6691677731202756,0.0837933366741217,1.585374436446154,1.7529611097943971,-0.0010964852661426,0.0,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,Elastic Net,1.6691677731202756,0.0837933366741217,1.585374436446154,1.7529611097943971,-0.0010964852661426,0.0,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,Random Forest,1.6623170224867732,0.0982331190476188,1.5640839034391545,1.760550141534392,-0.0051962761898425,0.75,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,Histogram Gradient Boosting,1.7316591093527085,0.0927460051990629,1.638913104153645,1.8244051145517712,0.0363010827963544,0.25,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,ARIMA,1.671527150399753,0.0830557148334674,1.5884714355662857,1.7545828652332205,0.0003154700178055,0.1,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,XGBoost,1.6908612251281738,0.0703164329528809,1.620544792175293,1.7611776580810548,0.011885831913928,0.25,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,LightGBM,1.730569687079638,0.1113005841402652,1.6192691029393729,1.841870271219903,0.0356491245240202,0.1,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,LSTM,1.5655714361633666,0.1716677219848643,1.3939037141785022,1.737239158148231,-0.0630930962517255,0.25,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,GRU,1.553447301648426,0.1878624180875447,1.3655848835608813,1.7413097197359708,-0.0703487123588114,0.75,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,Selected ARX,1.6700626731240305,0.0801043077750938,1.5899583653489366,1.7501669808991245,-0.000560937687594,0.0,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,VMD-LSTM,1.5369714003106103,0.2342484839205267,1.3027229163900838,1.7712198842311373,-0.0802086174083719,1.0,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,VMD-GRU,1.5195708023893018,0.2079636608417103,1.3116071415475914,1.727534463231012,-0.0906219016222012,0.75,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,CEEMDAN-LSTM,1.6124628850242249,0.2752221115089646,1.3372407735152605,1.8876849965331892,-0.035031187896933,0.0,
Zijin Mining,test,2023-03-31,2023-03-31,2023-04-03,1.671,1.623,VMD-LASSO-ARX/LSTM,1.6419900261228937,0.1799767359513706,1.4620132901715228,1.821966762074264,-0.0173608461263354,0.25,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,Random Walk,1.623,0.084,1.539,1.707,0.0,0.0,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,Random Walk + Drift,1.6233966666666666,0.0843939189189189,1.5390027477477477,1.7077905855855855,0.000244403368248,0.0,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,LASSO,1.6236900029904051,0.0837933366741217,1.5398966663162834,1.7074833396645268,0.0004251404746796,0.0,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,Elastic Net,1.6236900029904051,0.0837933366741217,1.5398966663162834,1.7074833396645268,0.0004251404746796,0.0,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,Random Forest,1.655691555555555,0.0982331190476188,1.557458436507936,1.7539246746031738,0.0201426713219685,0.75,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,Histogram Gradient Boosting,1.6575499971191163,0.093324668093802,1.5642253290253143,1.7508746652129186,0.0212877369803552,0.25,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,ARIMA,1.6229851883999429,0.0830557148334674,1.5399294735664752,1.70604090323341,-9.12606288191042e-06,0.1,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,XGBoost,1.661862015724182,0.0703164329528809,1.5915455827713012,1.732178448677063,0.0239445568232791,0.25,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,LightGBM,1.6580339444337628,0.1113005841402652,1.5467333602934976,1.769334528574028,0.0215859177041052,0.1,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,LSTM,1.564505431043218,0.1716677219848643,1.3928377090583537,1.7361731530280824,-0.036041015993088,0.25,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,GRU,1.5500196069964831,0.1878624180875447,1.3621571889089386,1.737882025084028,-0.0449663542843602,0.75,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,Selected ARX,1.6236586425811923,0.0801043077750938,1.5435543348060985,1.703762950356286,0.0004058179797857,0.0,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,VMD-LSTM,1.5162485476572771,0.2342484839205267,1.2820000637367504,1.750497031577804,-0.0657741542469025,1.0,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,VMD-GRU,1.4903684121541958,0.2079636608417103,1.2824047513124854,1.6983320729959062,-0.0817200171569958,0.75,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,CEEMDAN-LSTM,1.5996986734129122,0.2752221115089646,1.3244765619039476,1.8749207849218767,-0.0143569479895796,0.0,
Zijin Mining,test,2023-04-03,2023-03-31,2023-04-04,1.623,1.636,VMD-LASSO-ARX/LSTM,1.4966557248553676,0.1799767359513706,1.316678988903997,1.6766324608067382,-0.0778461337921333,0.25,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,Random Walk,1.636,0.084,1.5519999999999998,1.72,0.0,0.0,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,Random Walk + Drift,1.6363966666666665,0.0843939189189189,1.5520027477477476,1.7207905855855854,0.0002424612876935,0.0,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,LASSO,1.6354614967236447,0.0837933366741217,1.551668160049523,1.7192548333977664,-0.0003291584818796,0.0,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,Elastic Net,1.6354614967236447,0.0837933366741217,1.551668160049523,1.7192548333977664,-0.0003291584818796,0.0,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,Random Forest,1.663056992063492,0.0982331190476188,1.5648238730158732,1.761290111111111,0.016538503706291,0.75,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,Histogram Gradient Boosting,1.6131654912197737,0.093324668093802,1.5198408231259717,1.7064901593135755,-0.0139575237042948,0.25,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,ARIMA,1.636963881241384,0.0830557148334674,1.5539081664079166,1.7200195960748514,0.0005891694629487,0.1,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,XGBoost,1.6458606719970703,0.0703164329528809,1.5755442390441894,1.7161771049499512,0.0060273056216811,0.25,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,LightGBM,1.6284508253936656,0.1113005841402652,1.5171502412534004,1.7397514095339308,-0.0046144099060723,0.1,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,LSTM,1.5657229267598858,0.1716677219848643,1.3940552047750214,1.73739064874475,-0.0429566462347885,0.25,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,GRU,1.5472443970041274,0.1878624180875447,1.3593819789165826,1.7351068150916722,-0.0542515910732716,0.75,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,Selected ARX,1.6369120493267806,0.0801043077750938,1.5568077415516868,1.7170163571018744,0.0005574873635578,0.0,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,VMD-LSTM,1.502931464064541,0.2342484839205267,1.2686829801440145,1.7371799479850678,-0.0813377359018697,1.0,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,VMD-GRU,1.4752667580093537,0.2079636608417103,1.2673030971676431,1.6832304188510638,-0.098247702928268,0.75,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,CEEMDAN-LSTM,1.5875219565407703,0.2752221115089646,1.3122998450318055,1.862744068049735,-0.0296320559041745,0.0,
Zijin Mining,test,2023-04-04,2023-03-31,2023-04-05,1.636,1.636,VMD-LASSO-ARX/LSTM,1.6971180661283132,0.1799767359513706,1.5171413301769423,1.877094802079684,0.0373582311297758,0.25,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,Random Walk,1.636,0.084,1.5519999999999998,1.72,0.0,0.0,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,Random Walk + Drift,1.6363966666666665,0.0843939189189189,1.5520027477477476,1.7207905855855854,0.0002424612876935,0.0,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,LASSO,1.636050366006626,0.0837933366741217,1.5522570293325042,1.7198437026807476,3.078606761980528e-05,0.0,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,Elastic Net,1.636050366006626,0.0837933366741217,1.5522570293325042,1.7198437026807476,3.078606761980528e-05,0.0,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,Random Forest,1.6502723174603169,0.0982331190476188,1.552039198412698,1.7485054365079358,0.0087239104280666,0.75,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,Histogram Gradient Boosting,1.5916655470740926,0.093324668093802,1.4983408789802906,1.6849902151678946,-0.0270992988544665,0.25,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,ARIMA,1.634853524169867,0.0830557148334674,1.5517978093363995,1.7179092390033344,-0.0007007798472695,0.1,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,XGBoost,1.616904854774475,0.0703164329528809,1.5465884218215942,1.687221287727356,-0.0116718491598562,0.25,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,LightGBM,1.6073976319933312,0.1113005841402652,1.496097047853066,1.7186982161335964,-0.0174831100285261,0.1,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,LSTM,1.566423692938621,0.1716677219848643,1.3947559709537567,1.7380914149234854,-0.0425283050497425,0.25,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,GRU,1.5454023690863274,0.1878624180875447,1.3575399509987829,1.7332647871738722,-0.0553775250083572,0.75,
Zijin Mining,test,2023-04-05,2023-03-31,2023-04-06,1.636,1.722,Selected ARX,1.63722467714577,0.0801043077750938,1.557120369370676,1.7173289849208635,0.0007485801624511,0.0,
