Date,Close,High,Low
2011-05-19,0.51,0.51,0.51
2011-05-20,0.506,0.506,0.506
2011-05-23,0.519,0.519,0.519
2011-05-24,0.548,0.548,0.548
2011-05-25,0.534,0.534,0.534
2011-05-26,0.522,0.522,0.522
2011-05-27,0.466,0.466,0.466
2011-05-31,0.448,0.448,0.448
2011-06-01,0.493,0.493,0.493
2011-06-02,0.494,0.494,0.494
2011-06-03,0.492,0.492,0.492
2011-06-06,0.492,0.492,0.492
2011-06-07,0.501,0.501,0.501
2011-06-08,0.521,0.521,0.521
2011-06-09,0.493,0.493,0.493
2011-06-10,0.487,0.487,0.487
2011-06-13,0.483,0.483,0.483
2011-06-14,0.511,0.511,0.511
2011-06-15,0.504,0.504,0.504
2011-06-16,0.512,0.512,0.512
2011-06-17,0.496,0.496,0.496
2011-06-20,0.495,0.495,0.495
2011-06-21,0.497,0.497,0.497
2011-06-22,0.491,0.491,0.491
2011-06-23,0.504,0.504,0.504
2011-06-24,0.513,0.513,0.513
2011-06-27,0.526,0.526,0.526
2011-06-28,0.522,0.522,0.522
2011-06-29,0.52,0.52,0.52
2011-06-30,0.536,0.536,0.536
2011-07-01,0.589,0.589,0.589
2011-07-04,0.648,0.648,0.648
2011-07-05,0.679,0.679,0.679
2011-07-06,0.665,0.665,0.665
2011-07-07,0.675,0.675,0.675
2011-07-08,0.646,0.646,0.646
2011-07-11,0.655,0.655,0.655
2011-07-12,0.666,0.666,0.666
2011-07-13,0.671,0.671,0.671
2011-07-14,0.68,0.68,0.68
2011-07-15,0.669,0.669,0.669
2011-07-18,0.669,0.669,0.669
2011-07-19,0.636,0.636,0.636
2011-07-20,0.632,0.632,0.632
2011-07-21,0.62,0.62,0.62
2011-07-22,0.612,0.612,0.612
2011-07-25,0.584,0.584,0.584
2011-07-26,0.594,0.594,0.594
2011-07-27,0.603,0.603,0.603
2011-07-28,0.586,0.586,0.586
2011-07-29,0.567,0.567,0.567
2011-08-01,0.591,0.591,0.591
2011-08-02,0.597,0.597,0.597
2011-08-03,0.587,0.587,0.587
2011-08-04,0.587,0.587,0.587
2011-08-05,0.565,0.565,0.565
2011-08-08,0.509,0.509,0.509
2011-08-09,0.498,0.498,0.498
2011-08-10,0.51,0.51,0.51
2011-08-11,0.518,0.518,0.518
2011-08-12,0.527,0.527,0.527
2011-08-15,0.58,0.58,0.58
2011-08-16,0.563,0.563,0.563
2011-08-17,0.574,0.574,0.574
2011-08-18,0.551,0.551,0.551
2011-08-19,0.534,0.534,0.534
2011-08-22,0.531,0.531,0.531
2011-08-23,0.553,0.553,0.553
2011-08-24,0.543,0.543,0.543
2011-08-25,0.553,0.553,0.553
2011-08-26,0.569,0.569,0.569
2011-08-30,0.546,0.546,0.546
2011-08-31,0.534,0.534,0.534
2011-09-01,0.532,0.532,0.532
2011-09-02,0.532,0.532,0.532
2011-09-05,0.507,0.507,0.507
2011-09-06,0.501,0.501,0.501
2011-09-07,0.551,0.551,0.551
2011-09-08,0.528,0.528,0.528
2011-09-09,0.538,0.538,0.538
2011-09-12,0.538,0.538,0.538
2011-09-13,0.522,0.522,0.522
2011-09-14,0.547,0.547,0.547
2011-09-15,0.548,0.548,0.548
2011-09-16,0.557,0.557,0.557
2011-09-19,0.531,0.531,0.531
2011-09-20,0.544,0.544,0.544
2011-09-21,0.562,0.562,0.562
2011-09-22,0.534,0.534,0.534
2011-09-23,0.526,0.526,0.526
2011-09-26,0.52,0.52,0.52
2011-09-27,0.509,0.509,0.509
2011-09-28,0.503,0.503,0.503
2011-09-29,0.478,0.478,0.478
2011-09-30,0.486,0.486,0.486
2011-10-03,0.486,0.486,0.486
2011-10-04,0.486,0.486,0.486
2011-10-05,0.486,0.486,0.486
2011-10-06,0.486,0.486,0.486
2011-10-07,0.486,0.486,0.486
2011-10-10,0.476,0.476,0.476
2011-10-11,0.473,0.473,0.473
2011-10-12,0.492,0.492,0.492
2011-10-13,0.506,0.506,0.506
2011-10-14,0.502,0.502,0.502
