Company,Model,Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
Albemarle,ARIMA,94.8,18.15129869832051,18.15129869832051,4.799999999999994,20.66751408669014
Albemarle,CEEMDAN-LSTM,94.93333333333334,52.3358662256667,52.3358662256667,4.933333333333334,57.49082284791236
Albemarle,Dynamic Selected,94.93333333333334,18.15212782509783,18.15212782509783,4.933333333333334,20.735271621471217
Albemarle,Elastic Net,94.66666666666667,17.821561975040137,17.821561975040137,4.666666666666663,20.453874779507377
Albemarle,GRU,96.13333333333334,30.222273870317135,30.222273870317135,6.133333333333335,32.64135240118019
Albemarle,Histogram Gradient Boosting,94.93333333333334,18.854269446775508,18.854269446775508,4.933333333333334,21.543522246635273
Albemarle,LASSO,94.66666666666667,17.821561975040137,17.821561975040137,4.666666666666663,20.453874779507377
Albemarle,LSTM,97.06666666666666,32.1772779769438,32.1772779769438,7.0666666666666655,34.38954158806819
Albemarle,LightGBM,96.0,20.367820655765208,20.367820655765208,5.999999999999995,22.95340628349822
Albemarle,Random Forest,94.26666666666667,18.58678614993101,18.58678614993101,4.266666666666663,21.339952079223917
Albemarle,Random Walk,94.53333333333333,17.812266666666666,17.812266666666666,4.533333333333333,20.461333333333332
Albemarle,Random Walk + Drift,94.53333333333333,17.8109321248279,17.8109321248279,4.533333333333333,20.46062543658521
Albemarle,Selected ARX,94.93333333333334,17.889608742801318,17.889608742801318,4.933333333333334,20.48323918944598
Albemarle,VMD-GRU,93.86666666666666,45.3502816645791,45.3502816645791,3.8666666666666627,54.01527457547225
Albemarle,VMD-LASSO-ARX/LSTM,95.73333333333333,45.827951183927354,45.827951183927354,5.733333333333334,51.47230307930255
Albemarle,VMD-LSTM,92.53333333333333,41.055936557392684,41.055936557392684,2.533333333333332,52.81988814763816
Albemarle,XGBoost,95.06666666666666,18.150240366617844,18.150240366617844,5.066666666666664,20.817996466064454
Anglo American,ARIMA,89.73333333333333,2.3924175723840126,2.3924175723840126,0.2666666666666706,3.5922396882522545
Anglo American,CEEMDAN-LSTM,93.46666666666667,6.935989193033838,6.935989193033838,3.4666666666666623,7.978301458262652
Anglo American,Dynamic Selected,89.86666666666666,2.449473584068145,2.449473584068145,0.13333333333334085,3.6674476066255237
Anglo American,Elastic Net,90.0,2.431744595458852,2.431744595458852,0.0,3.5472923697546364
Anglo American,GRU,92.0,3.8122349457284725,3.8122349457284725,2.0000000000000018,4.929846469252497
Anglo American,Histogram Gradient Boosting,90.13333333333333,2.557034735440778,2.557034735440778,0.13333333333332975,3.7399331425453917
Anglo American,LASSO,90.0,2.431744595458852,2.431744595458852,0.0,3.5472923697546364
Anglo American,LSTM,91.86666666666666,4.182342564891312,4.182342564891312,1.866666666666661,5.56615744951315
Anglo American,LightGBM,90.66666666666666,2.7323777388119908,2.7323777388119908,0.6666666666666599,3.765847979401979
Anglo American,Random Forest,90.13333333333333,2.6288730611063,2.6288730611063,0.13333333333332975,3.763283860208438
Anglo American,Random Walk,90.53333333333333,2.4290666666666643,2.4290666666666643,0.5333333333333301,3.552533333333333
Anglo American,Random Walk + Drift,90.26666666666667,2.4274601658272146,2.4274601658272146,0.2666666666666595,3.554185428723939
Anglo American,Selected ARX,90.26666666666667,2.42231495654783,2.42231495654783,0.2666666666666595,3.5542537566193326
Anglo American,VMD-GRU,91.86666666666666,4.546902998760491,4.546902998760491,1.866666666666661,5.6658323905022865
Anglo American,VMD-LASSO-ARX/LSTM,90.53333333333333,5.62916569747654,5.62916569747654,0.5333333333333301,7.807878762475596
Anglo American,VMD-LSTM,91.73333333333333,5.027816945093895,5.027816945093895,1.7333333333333312,6.5885278083223655
Anglo American,XGBoost,89.86666666666666,2.5877222635904937,2.5877222635904937,0.13333333333334085,3.679529026285807
BHP Group,ARIMA,91.33333333333333,1.601938755971725,1.601938755971725,1.3333333333333308,2.0872280442072775
BHP Group,CEEMDAN-LSTM,89.86666666666666,4.240633269213616,4.240633269213616,0.13333333333334085,5.453453873493282
BHP Group,Dynamic Selected,90.53333333333333,1.630223098015487,1.630223098015487,0.5333333333333301,2.1431388489264314
BHP Group,Elastic Net,91.2,1.6202221121263634,1.6202221121263634,1.200000000000001,2.1068546510688213
BHP Group,GRU,92.53333333333333,2.458915369570619,2.458915369570619,2.533333333333332,3.4209915774799224
BHP Group,Histogram Gradient Boosting,90.53333333333333,1.690542918901264,1.690542918901264,0.5333333333333301,3.0309963014002825
BHP Group,LASSO,91.2,1.6202221121263634,1.6202221121263634,1.200000000000001,2.1068546510688213
BHP Group,LSTM,92.53333333333333,2.7600049320521127,2.7600049320521127,2.533333333333332,4.146949739341647
BHP Group,LightGBM,91.73333333333333,1.8127795783164322,1.8127795783164322,1.7333333333333312,3.1175268698024157
BHP Group,Random Forest,89.60000000000001,1.611169910301751,1.611169910301751,0.40000000000000036,2.7753300704845243
BHP Group,Random Walk,91.46666666666667,1.6253146666666665,1.6253146666666665,1.4666666666666606,2.107394666666667
BHP Group,Random Walk + Drift,91.46666666666667,1.6262052301119165,1.6262052301119165,1.4666666666666606,2.1080488817103182
BHP Group,Selected ARX,91.33333333333333,1.6233792155396813,1.6233792155396813,1.3333333333333308,2.1158613692244215
BHP Group,VMD-GRU,94.0,3.4201804592554956,3.4201804592554956,3.9999999999999925,4.563932444168336
BHP Group,VMD-LASSO-ARX/LSTM,90.13333333333333,3.2714873341023916,3.2714873341023916,0.13333333333332975,4.3766612443857715
BHP Group,VMD-LSTM,93.73333333333333,3.726511293749361,3.726511293749361,3.733333333333333,5.240983655543338
BHP Group,XGBoost,90.4,1.701449277832031,1.701449277832031,0.40000000000000036,2.8962910515136717
Freeport-McMoRan,ARIMA,86.66666666666667,3.0653011567123603,3.0653011567123603,3.3333333333333326,5.093978324027889
Freeport-McMoRan,CEEMDAN-LSTM,86.66666666666667,7.392281299532223,7.392281299532223,3.3333333333333326,11.374278057194458
Freeport-McMoRan,Dynamic Selected,85.6,3.073732503967414,3.073732503967414,4.400000000000004,5.194609904488396
Freeport-McMoRan,Elastic Net,86.4,3.0444576004674078,3.0444576004674078,3.600000000000003,5.107933064254462
Freeport-McMoRan,GRU,83.86666666666667,4.9254207822070155,4.9254207822070155,6.133333333333335,11.259132367502938
Freeport-McMoRan,Histogram Gradient Boosting,83.46666666666667,3.2524944198657684,3.2524944198657684,6.533333333333335,9.531320245272358
Freeport-McMoRan,LASSO,86.4,3.0444576004674078,3.0444576004674078,3.600000000000003,5.107933064254462
Freeport-McMoRan,LSTM,85.86666666666667,5.797045433417009,5.797045433417009,4.133333333333333,11.260946361291087
Freeport-McMoRan,LightGBM,85.46666666666667,3.6420735238602053,3.6420735238602053,4.533333333333333,9.095521954211137
Freeport-McMoRan,Random Forest,84.0,3.275351740820676,3.275351740820676,6.000000000000005,8.21873532446663
Freeport-McMoRan,Random Walk,86.4,3.0646933333333326,3.0646933333333326,3.600000000000003,5.107893333333335
Freeport-McMoRan,Random Walk + Drift,86.4,3.0642768056411573,3.0642768056411573,3.600000000000003,5.108969809504123
Freeport-McMoRan,Selected ARX,86.26666666666667,3.04892455773147,3.04892455773147,3.733333333333333,5.114181554979885
Freeport-McMoRan,VMD-GRU,87.2,5.943789257854793,5.943789257854793,2.8000000000000025,10.078298954050938
Freeport-McMoRan,VMD-LASSO-ARX/LSTM,88.26666666666667,5.41886865302091,5.41886865302091,1.7333333333333312,8.025818338148714
Freeport-McMoRan,VMD-LSTM,87.73333333333333,6.426251098339841,6.426251098339841,2.2666666666666724,10.449145405812587
Freeport-McMoRan,XGBoost,84.8,3.2026683658854167,3.2026683658854167,5.200000000000005,8.600684936930339
Ganfeng Lithium,ARIMA,87.46666666666667,0.5179830398872888,0.5179830398872888,2.533333333333332,0.9835953274339184
Ganfeng Lithium,CEEMDAN-LSTM,90.66666666666666,1.6706703697535055,1.6706703697535055,0.6666666666666599,2.514075114033431
Ganfeng Lithium,Dynamic Selected,88.13333333333333,0.5433229450855882,0.5433229450855882,1.866666666666672,1.0037439055800774
Ganfeng Lithium,Elastic Net,87.6,0.5186289733337913,0.5186289733337913,2.400000000000002,0.9834757537910583
Ganfeng Lithium,GRU,93.73333333333333,1.1034675299603605,1.1034675299603605,3.733333333333333,1.405173212069667
Ganfeng Lithium,Histogram Gradient Boosting,91.06666666666666,0.7987900522675337,0.7987900522675337,1.0666666666666602,1.1447704592961199
Ganfeng Lithium,LASSO,87.6,0.5186289733337913,0.5186289733337913,2.400000000000002,0.9834757537910583
Ganfeng Lithium,LSTM,92.4,1.1249806262123339,1.1249806262123339,2.400000000000002,1.434398938901979
Ganfeng Lithium,LightGBM,92.13333333333334,0.9119290310030677,0.9119290310030677,2.1333333333333315,1.2269837249552742
Ganfeng Lithium,Random Forest,93.2,0.8504102937216603,0.8504102937216603,3.200000000000003,1.1224593809911807
Ganfeng Lithium,Random Walk,87.73333333333333,0.520493333333333,0.520493333333333,2.2666666666666724,0.9863333333333335
Ganfeng Lithium,Random Walk + Drift,87.73333333333333,0.5193364146941077,0.5193364146941077,2.2666666666666724,0.984814421843195
Ganfeng Lithium,Selected ARX,88.0,0.5345210102489595,0.5345210102489595,2.0000000000000018,0.963477361182817
Ganfeng Lithium,VMD-GRU,93.46666666666667,1.455531093895032,1.455531093895032,3.4666666666666623,1.801746532739861
Ganfeng Lithium,VMD-LASSO-ARX/LSTM,88.8,1.6561544355007973,1.6561544355007973,1.200000000000001,2.8164209714870156
Ganfeng Lithium,VMD-LSTM,87.6,0.9696712075313585,0.9696712075313585,2.400000000000002,1.6550584787045657
Ganfeng Lithium,XGBoost,90.4,0.7696619969380695,0.7696619969380695,0.40000000000000036,1.1424534953511556
