Date,Close,High,Low
2011-05-19,79.786,79.786,79.786
2011-05-20,78.76,78.76,78.76
2011-05-23,76.473,76.473,76.473
2011-05-24,76.849,76.849,76.849
2011-05-25,76.378,76.378,76.378
2011-05-26,78.661,78.661,78.661
2011-05-27,79.549,79.549,79.549
2011-05-31,80.127,80.127,80.127
2011-06-01,79.665,79.665,79.665
2011-06-02,78.773,78.773,78.773
2011-06-03,78.762,78.762,78.762
2011-06-06,78.335,78.335,78.335
2011-06-07,78.268,78.268,78.268
2011-06-08,77.892,77.892,77.892
2011-06-09,78.152,78.152,78.152
2011-06-10,77.814,77.814,77.814
2011-06-13,77.814,77.814,77.814
2011-06-14,78.925,78.925,78.925
2011-06-15,77.963,77.963,77.963
2011-06-16,76.27,76.27,76.27
2011-06-17,76.208,76.208,76.208
2011-06-20,75.371,75.371,75.371
2011-06-21,76.743,76.743,76.743
2011-06-22,77.747,77.747,77.747
2011-06-23,77.635,77.635,77.635
2011-06-24,77.749,77.749,77.749
2011-06-27,76.816,76.816,76.816
2011-06-28,78.019,78.019,78.019
2011-06-29,80.217,80.217,80.217
2011-06-30,81.967,81.967,81.967
2011-07-01,82.244,82.244,82.244
2011-07-04,82.24,82.24,82.24
2011-07-05,82.085,82.085,82.085
2011-07-06,82.4,82.4,82.4
2011-07-07,82.974,82.974,82.974
2011-07-08,83.59,83.59,83.59
2011-07-11,81.683,81.683,81.683
2011-07-12,79.555,79.555,79.555
2011-07-13,80.28,80.28,80.28
2011-07-14,79.967,79.967,79.967
2011-07-15,79.779,79.779,79.779
2011-07-18,79.767,79.767,79.767
2011-07-19,80.417,80.417,80.417
2011-07-20,81.753,81.753,81.753
2011-07-21,82.25,82.25,82.25
2011-07-22,82.418,82.418,82.418
2011-07-25,81.986,81.986,81.986
2011-07-26,83.726,83.726,83.726
2011-07-27,83.901,83.901,83.901
2011-07-28,82.339,82.339,82.339
2011-07-29,81.011,81.011,81.011
2011-08-01,82.415,82.415,82.415
2011-08-02,79.483,79.483,79.483
2011-08-03,76.979,76.979,76.979
2011-08-04,73.864,73.864,73.864
2011-08-05,69.274,69.274,69.274
2011-08-08,64.539,64.539,64.539
2011-08-09,66.63,66.63,66.63
2011-08-10,67.877,67.877,67.877
2011-08-11,67.147,67.147,67.147
