Date,Close,High,Low
2011-05-19,69.06,69.06,69.06
2011-05-20,68.55,68.55,68.55
2011-05-23,67.21,67.21,67.21
2011-05-24,67.91,67.91,67.91
2011-05-25,68.91,68.91,68.91
2011-05-26,69.23,69.23,69.23
2011-05-27,70.55,70.55,70.55
2011-05-31,70.84,70.84,70.84
2011-06-01,68.47,68.47,68.47
2011-06-02,67.75,67.75,67.75
2011-06-03,67.19,67.19,67.19
2011-06-06,65.86,65.86,65.86
2011-06-07,66.04,66.04,66.04
2011-06-08,65.45,65.45,65.45
2011-06-09,66.61,66.61,66.61
2011-06-10,65.52,65.52,65.52
2011-06-13,65.04,65.04,65.04
2011-06-14,66.17,66.17,66.17
2011-06-15,65.56,65.56,65.56
2011-06-16,64.85,64.85,64.85
2011-06-17,64.7,64.7,64.7
2011-06-20,65.68,65.68,65.68
2011-06-21,67.68,67.68,67.68
2011-06-22,67.28,67.28,67.28
2011-06-23,66.98,66.98,66.98
2011-06-24,66.14,66.14,66.14
2011-06-27,66.15,66.15,66.15
2011-06-28,67.32,67.32,67.32
2011-06-29,68.52,68.52,68.52
2011-06-30,69.2,69.2,69.2
2011-07-01,70.48,70.48,70.48
2011-07-04,70.48,70.48,70.48
2011-07-05,70.06,70.06,70.06
2011-07-06,70.2,70.2,70.2
2011-07-07,70.55,70.55,70.55
2011-07-08,70.56,70.56,70.56
2011-07-11,69.1,69.1,69.1
2011-07-12,68.66,68.66,68.66
2011-07-13,68.44,68.44,68.44
2011-07-14,67.92,67.92,67.92
2011-07-15,68.15,68.15,68.15
2011-07-18,67.39,67.39,67.39
2011-07-19,68.88,68.88,68.88
2011-07-20,68.11,68.11,68.11
2011-07-21,69.91,69.91,69.91
2011-07-22,66.89,66.89,66.89
2011-07-25,68.7,68.7,68.7
2011-07-26,68.34,68.34,68.34
2011-07-27,67.96,67.96,67.96
2011-07-28,67.42,67.42,67.42
2011-07-29,66.58,66.58,66.58
2011-08-01,66.53,66.53,66.53
2011-08-02,63.18,63.18,63.18
2011-08-03,63.33,63.33,63.33
2011-08-04,57.41,57.41,57.41
2011-08-05,56.28,56.28,56.28
2011-08-08,51.46,51.46,51.46
2011-08-09,56.03,56.03,56.03
2011-08-10,52.76,52.76,52.76
2011-08-11,57.0,57.0,57.0
2011-08-12,58.12,58.12,58.12
2011-08-15,59.45,59.45,59.45
2011-08-16,55.26,55.26,55.26
2011-08-17,53.99,53.99,53.99
2011-08-18,48.38,48.38,48.38
2011-08-19,46.31,46.31,46.31
2011-08-22,45.61,45.61,45.61
2011-08-23,47.09,47.09,47.09
2011-08-24,48.48,48.48,48.48
2011-08-25,47.61,47.61,47.61
2011-08-26,49.46,49.46,49.46
2011-08-30,50.84,50.84,50.84
2011-08-31,50.71,50.71,50.71
2011-09-01,49.94,49.94,49.94
2011-09-02,47.64,47.64,47.64
2011-09-05,47.64,47.64,47.64
2011-09-06,46.92,46.92,46.92
2011-09-07,48.84,48.84,48.84
2011-09-08,47.73,47.73,47.73
2011-09-09,45.85,45.85,45.85
2011-09-12,44.69,44.69,44.69
2011-09-13,45.61,45.61,45.61
2011-09-14,46.16,46.16,46.16
2011-09-15,46.83,46.83,46.83
2011-09-16,46.3,46.3,46.3
2011-09-19,45.86,45.86,45.86
2011-09-20,44.99,44.99,44.99
2011-09-21,43.43,43.43,43.43
2011-09-22,40.22,40.22,40.22
2011-09-23,40.92,40.92,40.92
2011-09-26,42.44,42.44,42.44
2011-09-27,44.01,44.01,44.01
2011-09-28,41.01,41.01,41.01
2011-09-29,42.34,42.34,42.34
2011-09-30,40.4,40.4,40.4
2011-10-03,39.0,39.0,39.0
2011-10-04,40.27,40.27,40.27
2011-10-05,42.49,42.49,42.49
2011-10-06,43.0,43.0,43.0
2011-10-07,43.4,43.4,43.4
2011-10-10,45.96,45.96,45.96
2011-10-11,46.14,46.14,46.14
2011-10-12,47.44,47.44,47.44
2011-10-13,47.5,47.5,47.5
2011-10-14,48.63,48.63,48.63
2011-10-17,47.43,47.43,47.43
2011-10-18,48.96,48.96,48.96
2011-10-19,44.83,44.83,44.83
2011-10-20,45.44,45.44,45.44
2011-10-21,46.53,46.53,46.53
2011-10-24,48.61,48.61,48.61
2011-10-25,50.96,50.96,50.96
2011-10-26,52.72,52.72,52.72
2011-10-27,55.26,55.26,55.26
2011-10-28,55.13,55.13,55.13
2011-10-31,53.29,53.29,53.29
2011-11-01,50.97,50.97,50.97
2011-11-02,52.92,52.92,52.92
2011-11-03,54.4,54.4,54.4
2011-11-04,54.37,54.37,54.37
2011-11-07,54.6,54.6,54.6
2011-11-08,54.53,54.53,54.53
2011-11-09,51.88,51.88,51.88
2011-11-10,52.5,52.5,52.5
2011-11-11,53.84,53.84,53.84
2011-11-14,53.29,53.29,53.29
2011-11-15,52.31,52.31,52.31
2011-11-16,52.16,52.16,52.16
2011-11-17,50.35,50.35,50.35
2011-11-18,50.3,50.3,50.3
2011-11-21,49.75,49.75,49.75
2011-11-22,49.05,49.05,49.05
2011-11-23,47.0,47.0,47.0
2011-11-24,47.0,47.0,47.0
2011-11-25,47.23,47.23,47.23
2011-11-28,49.63,49.63,49.63
2011-11-29,50.02,50.02,50.02
2011-11-30,54.53,54.53,54.53
2011-12-01,53.5,53.5,53.5
2011-12-02,53.29,53.29,53.29
2011-12-05,53.75,53.75,53.75
2011-12-06,53.74,53.74,53.74
2011-12-07,54.58,54.58,54.58
2011-12-08,53.08,53.08,53.08
2011-12-09,53.09,53.09,53.09
2011-12-12,50.91,50.91,50.91
