Date,Close,High,Low
2011-05-19,45.63,45.63,45.63
2011-05-20,45.48,45.48,45.48
2011-05-23,43.33,43.33,43.33
2011-05-24,44.14,44.14,44.14
2011-05-25,44.5,44.5,44.5
2011-05-26,45.84,45.84,45.84
2011-05-27,46.9,46.9,46.9
2011-05-31,47.33,47.33,47.33
2011-06-01,46.77,46.77,46.77
2011-06-02,45.87,45.87,45.87
2011-06-03,45.86,45.86,45.86
2011-06-06,46.34,46.34,46.34
2011-06-07,46.44,46.44,46.44
2011-06-08,45.53,45.53,45.53
2011-06-09,46.45,46.45,46.45
2011-06-10,44.56,44.56,44.56
2011-06-13,45.12,45.12,45.12
2011-06-14,45.14,45.14,45.14
2011-06-15,43.99,43.99,43.99
2011-06-16,43.14,43.14,43.14
2011-06-17,43.61,43.61,43.61
2011-06-20,43.33,43.33,43.33
2011-06-21,44.96,44.96,44.96
2011-06-22,44.49,44.49,44.49
2011-06-23,42.83,42.83,42.83
2011-06-24,43.26,43.26,43.26
2011-06-27,43.76,43.76,43.76
2011-06-28,44.92,44.92,44.92
2011-06-29,45.99,45.99,45.99
2011-06-30,47.05,47.05,47.05
2011-07-01,47.35,47.35,47.35
2011-07-04,47.58,47.58,47.58
2011-07-05,47.68,47.68,47.68
2011-07-06,47.33,47.33,47.33
2011-07-07,48.24,48.24,48.24
2011-07-08,47.69,47.69,47.69
2011-07-11,45.92,45.92,45.92
2011-07-12,45.21,45.21,45.21
2011-07-13,46.47,46.47,46.47
2011-07-14,46.08,46.08,46.08
2011-07-15,45.53,45.53,45.53
2011-07-18,44.24,44.24,44.24
2011-07-19,45.24,45.24,45.24
2011-07-20,45.62,45.62,45.62
2011-07-21,46.31,46.31,46.31
2011-07-22,46.82,46.82,46.82
2011-07-25,46.77,46.77,46.77
2011-07-26,47.72,47.72,47.72
2011-07-27,46.86,46.86,46.86
2011-07-28,46.61,46.61,46.61
2011-07-29,45.21,45.21,45.21
2011-08-01,44.42,44.42,44.42
2011-08-02,43.35,43.35,43.35
2011-08-03,43.37,43.37,43.37
2011-08-04,40.31,40.31,40.31
2011-08-05,39.24,39.24,39.24
2011-08-08,36.64,36.64,36.64
2011-08-09,37.48,37.48,37.48
2011-08-10,35.45,35.45,35.45
2011-08-11,36.8,36.8,36.8
2011-08-12,37.57,37.57,37.57
2011-08-15,38.1,38.1,38.1
2011-08-16,38.43,38.43,38.43
2011-08-17,38.81,38.81,38.81
2011-08-18,36.06,36.06,36.06
2011-08-19,34.99,34.99,34.99
2011-08-22,35.16,35.16,35.16
2011-08-23,34.99,34.99,34.99
2011-08-24,35.56,35.56,35.56
2011-08-25,35.59,35.59,35.59
2011-08-26,36.3,36.3,36.3
2011-08-30,38.44,38.44,38.44
2011-08-31,39.62,39.62,39.62
2011-09-01,39.63,39.63,39.63
2011-09-02,37.85,37.85,37.85
2011-09-05,36.24,36.24,36.24
2011-09-06,36.07,36.07,36.07
2011-09-07,37.59,37.59,37.59
2011-09-08,37.67,37.67,37.67
2011-09-09,36.25,36.25,36.25
2011-09-12,35.52,35.52,35.52
2011-09-13,36.1,36.1,36.1
2011-09-14,36.24,36.24,36.24
2011-09-15,37.46,37.46,37.46
2011-09-16,37.83,37.83,37.83
2011-09-19,35.87,35.87,35.87
2011-09-20,36.7,36.7,36.7
2011-09-21,35.4,35.4,35.4
2011-09-22,32.48,32.48,32.48
2011-09-23,33.09,33.09,33.09
2011-09-26,33.46,33.46,33.46
2011-09-27,36.02,36.02,36.02
2011-09-28,34.62,34.62,34.62
2011-09-29,34.0,34.0,34.0
2011-09-30,32.98,32.98,32.98
2011-10-03,32.43,32.43,32.43
2011-10-04,31.44,31.44,31.44
2011-10-05,32.77,32.77,32.77
2011-10-06,34.22,34.22,34.22
2011-10-07,34.42,34.42,34.42
2011-10-10,35.94,35.94,35.94
2011-10-11,35.39,35.39,35.39
2011-10-12,36.18,36.18,36.18
2011-10-13,34.5,34.5,34.5
2011-10-14,35.47,35.47,35.47
2011-10-17,34.44,34.44,34.44
2011-10-18,33.85,33.85,33.85
2011-10-19,34.01,34.01,34.01
2011-10-20,32.69,32.69,32.69
2011-10-21,33.63,33.63,33.63
2011-10-24,35.16,35.16,35.16
2011-10-25,34.93,34.93,34.93
2011-10-26,35.0,35.0,35.0
2011-10-27,37.71,37.71,37.71
2011-10-28,37.69,37.69,37.69
