Date,Close,High,Low
2011-05-19,37.007,37.007,37.007
2011-05-20,36.307,36.307,36.307
2011-05-23,35.175,35.175,35.175
2011-05-24,35.298,35.298,35.298
2011-05-25,34.991,34.991,34.991
2011-05-26,36.123,36.123,36.123
2011-05-27,36.501,36.501,36.501
2011-05-31,36.603,36.603,36.603
2011-06-01,36.509,36.509,36.509
2011-06-02,35.945,35.945,35.945
2011-06-03,35.828,35.828,35.828
2011-06-06,35.628,35.628,35.628
2011-06-07,35.591,35.591,35.591
2011-06-08,35.142,35.142,35.142
2011-06-09,35.307,35.307,35.307
2011-06-10,35.138,35.138,35.138
2011-06-13,35.138,35.138,35.138
2011-06-14,35.552,35.552,35.552
2011-06-15,35.045,35.045,35.045
2011-06-16,34.292,34.292,34.292
2011-06-17,34.479,34.479,34.479
2011-06-20,33.846,33.846,33.846
2011-06-21,34.399,34.399,34.399
2011-06-22,34.724,34.724,34.724
2011-06-23,34.24,34.24,34.24
2011-06-24,34.364,34.364,34.364
2011-06-27,34.093,34.093,34.093
2011-06-28,34.529,34.529,34.529
2011-06-29,35.632,35.632,35.632
2011-06-30,36.307,36.307,36.307
2011-07-01,36.475,36.475,36.475
2011-07-04,36.541,36.541,36.541
2011-07-05,36.571,36.571,36.571
2011-07-06,36.771,36.771,36.771
2011-07-07,37.024,37.024,37.024
2011-07-08,37.386,37.386,37.386
2011-07-11,36.503,36.503,36.503
2011-07-12,35.636,35.636,35.636
2011-07-13,36.315,36.315,36.315
2011-07-14,36.148,36.148,36.148
2011-07-15,35.298,35.298,35.298
2011-07-18,35.155,35.155,35.155
2011-07-19,35.369,35.369,35.369
2011-07-20,36.106,36.106,36.106
2011-07-21,36.536,36.536,36.536
2011-07-22,36.414,36.414,36.414
2011-07-25,36.107,36.107,36.107
2011-07-26,36.849,36.849,36.849
2011-07-27,36.662,36.662,36.662
2011-07-28,35.77,35.77,35.77
2011-07-29,35.203,35.203,35.203
2011-08-01,35.892,35.892,35.892
2011-08-02,34.642,34.642,34.642
2011-08-03,33.428,33.428,33.428
2011-08-04,32.429,32.429,32.429
2011-08-05,30.782,30.782,30.782
2011-08-08,28.887,28.887,28.887
2011-08-09,29.709,29.709,29.709
2011-08-10,30.236,30.236,30.236
2011-08-11,30.359,30.359,30.359
2011-08-12,30.601,30.601,30.601
2011-08-15,32.386,32.386,32.386
2011-08-16,31.932,31.932,31.932
2011-08-17,32.46,32.46,32.46
2011-08-18,31.407,31.407,31.407
2011-08-19,30.16,30.16,30.16
2011-08-22,30.178,30.178,30.178
2011-08-23,31.103,31.103,31.103
2011-08-24,30.955,30.955,30.955
2011-08-25,31.16,31.16,31.16
2011-08-26,31.585,31.585,31.585
2011-08-30,32.518,32.518,32.518
2011-08-31,32.893,32.893,32.893
2011-09-01,33.059,33.059,33.059
2011-09-02,32.129,32.129,32.129
2011-09-05,30.741,30.741,30.741
2011-09-06,29.938,29.938,29.938
2011-09-07,31.519,31.519,31.519
2011-09-08,31.212,31.212,31.212
2011-09-09,30.698,30.698,30.698
2011-09-12,29.186,29.186,29.186
2011-09-13,29.754,29.754,29.754
2011-09-14,29.295,29.295,29.295
2011-09-15,30.069,30.069,30.069
2011-09-16,30.632,30.632,30.632
2011-09-19,29.688,29.688,29.688
2011-09-20,29.227,29.227,29.227
2011-09-21,28.823,28.823,28.823
2011-09-22,26.801,26.801,26.801
2011-09-23,26.13,26.13,26.13
2011-09-26,25.853,25.853,25.853
2011-09-27,27.077,27.077,27.077
2011-09-28,26.858,26.858,26.858
2011-09-29,26.504,26.504,26.504
2011-09-30,26.161,26.161,26.161
2011-10-03,25.138,25.138,25.138
2011-10-04,25.072,25.072,25.072
2011-10-05,26.24,26.24,26.24
2011-10-06,27.353,27.353,27.353
2011-10-07,28.109,28.109,28.109
2011-10-10,28.653,28.653,28.653
2011-10-11,28.79,28.79,28.79
2011-10-12,29.111,29.111,29.111
2011-10-13,29.655,29.655,29.655
2011-10-14,29.485,29.485,29.485
2011-10-17,29.567,29.567,29.567
2011-10-18,28.881,28.881,28.881
2011-10-19,28.796,28.796,28.796
2011-10-20,28.074,28.074,28.074
2011-10-21,28.629,28.629,28.629
2011-10-24,29.839,29.839,29.839
2011-10-25,29.972,29.972,29.972
2011-10-26,29.709,29.709,29.709
2011-10-27,31.819,31.819,31.819
2011-10-28,32.015,32.015,32.015
2011-10-31,30.802,30.802,30.802
2011-11-01,29.382,29.382,29.382
2011-11-02,29.223,29.223,29.223
2011-11-03,29.407,29.407,29.407
2011-11-04,30.448,30.448,30.448
2011-11-07,30.242,30.242,30.242
2011-11-08,30.349,30.349,30.349
2011-11-09,30.086,30.086,30.086
2011-11-10,29.419,29.419,29.419
2011-11-11,30.041,30.041,30.041
2011-11-14,29.565,29.565,29.565
2011-11-15,29.028,29.028,29.028
2011-11-16,28.566,28.566,28.566
2011-11-17,28.63,28.63,28.63
2011-11-18,27.94,27.94,27.94
2011-11-21,27.36,27.36,27.36
2011-11-22,27.081,27.081,27.081
2011-11-23,25.849,25.849,25.849
2011-11-24,25.974,25.974,25.974
2011-11-25,25.557,25.557,25.557
2011-11-28,26.665,26.665,26.665
2011-11-29,27.132,27.132,27.132
2011-11-30,27.753,27.753,27.753
2011-12-01,28.754,28.754,28.754
2011-12-02,28.952,28.952,28.952
2011-12-05,29.598,29.598,29.598
2011-12-06,29.062,29.062,29.062
2011-12-07,29.453,29.453,29.453
2011-12-08,29.083,29.083,29.083
2011-12-09,28.33,28.33,28.33
2011-12-12,28.453,28.453,28.453
2011-12-13,27.723,27.723,27.723
2011-12-14,27.362,27.362,27.362
2011-12-15,26.885,26.885,26.885
2011-12-16,27.132,27.132,27.132
2011-12-19,26.246,26.246,26.246
2011-12-20,26.592,26.592,26.592
2011-12-21,27.414,27.414,27.414
2011-12-22,27.139,27.139,27.139
2011-12-23,27.585,27.585,27.585
2011-12-28,26.969,26.969,26.969
2011-12-29,27.056,27.056,27.056
2011-12-30,27.222,27.222,27.222
2012-01-03,27.91,27.91,27.91
2012-01-04,29.035,29.035,29.035
2012-01-05,28.388,28.388,28.388
2012-01-06,27.876,27.876,27.876
2012-01-09,27.869,27.869,27.869
2012-01-10,28.432,28.432,28.432
2012-01-11,28.849,28.849,28.849
2012-01-12,29.082,29.082,29.082
2012-01-13,29.187,29.187,29.187
2012-01-16,28.681,28.681,28.681
2012-01-17,29.465,29.465,29.465
2012-01-18,29.815,29.815,29.815
2012-01-19,30.074,30.074,30.074
2012-01-20,30.396,30.396,30.396
2012-01-23,30.337,30.337,30.337
2012-01-24,30.049,30.049,30.049
2012-01-25,30.671,30.671,30.671
2012-01-26,30.671,30.671,30.671
2012-01-27,31.025,31.025,31.025
2012-01-30,30.853,30.853,30.853
2012-01-31,30.77,30.77,30.77
2012-02-01,30.533,30.533,30.533
2012-02-02,31.167,31.167,31.167
2012-02-03,31.337,31.337,31.337
2012-02-06,31.703,31.703,31.703
2012-02-07,31.672,31.672,31.672
2012-02-08,31.505,31.505,31.505
2012-02-09,31.002,31.002,31.002
2012-02-10,29.93,29.93,29.93
2012-02-13,30.443,30.443,30.443
2012-02-14,29.876,29.876,29.876
2012-02-15,29.874,29.874,29.874
2012-02-16,29.368,29.368,29.368
2012-02-17,29.157,29.157,29.157
2012-02-20,29.953,29.953,29.953
2012-02-21,30.054,30.054,30.054
2012-02-22,29.953,29.953,29.953
2012-02-23,29.996,29.996,29.996
2012-02-24,30.236,30.236,30.236
2012-02-27,29.795,29.795,29.795
2012-02-28,29.8,29.8,29.8
2012-02-29,29.958,29.958,29.958
2012-03-01,29.697,29.697,29.697
2012-03-02,29.632,29.632,29.632
2012-03-05,29.199,29.199,29.199
2012-03-06,28.21,28.21,28.21
2012-03-07,27.87,27.87,27.87
2012-03-08,28.236,28.236,28.236
2012-03-09,28.378,28.378,28.378
2012-03-12,28.214,28.214,28.214
2012-03-13,28.678,28.678,28.678
2012-03-14,28.788,28.788,28.788
2012-03-15,28.639,28.639,28.639
2012-03-16,28.634,28.634,28.634
2012-03-19,29.01,29.01,29.01
2012-03-20,28.617,28.617,28.617
2012-03-21,28.058,28.058,28.058
2012-03-22,27.961,27.961,27.961
2012-03-23,27.826,27.826,27.826
2012-03-26,27.86,27.86,27.86
2012-03-27,27.837,27.837,27.837
2012-03-28,27.814,27.814,27.814
2012-03-29,27.464,27.464,27.464
2012-03-30,27.683,27.683,27.683
2012-04-02,28.273,28.273,28.273
2012-04-03,28.103,28.103,28.103
2012-04-04,27.569,27.569,27.569
2012-04-05,27.44,27.44,27.44
2012-04-10,27.154,27.154,27.154
2012-04-11,26.766,26.766,26.766
2012-04-12,27.361,27.361,27.361
2012-04-13,27.643,27.643,27.643
2012-04-16,27.469,27.469,27.469
2012-04-17,27.423,27.423,27.423
2012-04-18,28.116,28.116,28.116
2012-04-19,28.373,28.373,28.373
2012-04-20,28.494,28.494,28.494
2012-04-23,28.177,28.177,28.177
2012-04-24,27.986,27.986,27.986
2012-04-25,27.986,27.986,27.986
2012-04-26,28.175,28.175,28.175
2012-04-27,28.25,28.25,28.25
2012-04-30,28.66,28.66,28.66
2012-05-01,28.746,28.746,28.746
2012-05-02,28.972,28.972,28.972
2012-05-03,28.773,28.773,28.773
2012-05-04,28.359,28.359,28.359
2012-05-08,27.133,27.133,27.133
2012-05-09,26.652,26.652,26.652
2012-05-10,26.965,26.965,26.965
2012-05-11,26.632,26.632,26.632
2012-05-14,26.545,26.545,26.545
2012-05-15,26.022,26.022,26.022
2012-05-16,24.907,24.907,24.907
2012-05-17,25.068,25.068,25.068
2012-05-18,23.949,23.949,23.949
2012-05-21,24.598,24.598,24.598
2012-05-22,24.486,24.486,24.486
2012-05-23,24.08,24.08,24.08
2012-05-24,24.162,24.162,24.162
2012-05-25,23.848,23.848,23.848
2012-05-28,24.418,24.418,24.418
2012-05-29,24.649,24.649,24.649
2012-05-30,24.156,24.156,24.156
2012-05-31,24.053,24.053,24.053
2012-06-01,23.801,23.801,23.801
2012-06-06,23.87,23.87,23.87
2012-06-07,24.167,24.167,24.167
2012-06-08,24.462,24.462,24.462
2012-06-11,24.462,24.462,24.462
2012-06-12,24.446,24.446,24.446
2012-06-13,24.521,24.521,24.521
2012-06-14,24.648,24.648,24.648
2012-06-15,24.825,24.825,24.825
2012-06-18,25.549,25.549,25.549
2012-06-19,25.598,25.598,25.598
2012-06-20,25.697,25.697,25.697
2012-06-21,24.993,24.993,24.993
2012-06-22,24.526,24.526,24.526
2012-06-25,24.039,24.039,24.039
2012-06-26,23.834,23.834,23.834
2012-06-27,23.851,23.851,23.851
2012-06-28,23.859,23.859,23.859
2012-06-29,24.893,24.893,24.893
2012-07-02,25.143,25.143,25.143
2012-07-03,25.285,25.285,25.285
2012-07-04,25.79,25.79,25.79
2012-07-05,25.796,25.796,25.796
2012-07-06,25.337,25.337,25.337
2012-07-09,24.86,24.86,24.86
2012-07-10,24.602,24.602,24.602
2012-07-11,24.624,24.624,24.624
2012-07-12,23.826,23.826,23.826
2012-07-13,24.104,24.104,24.104
2012-07-16,24.376,24.376,24.376
2012-07-17,24.556,24.556,24.556
2012-07-18,24.189,24.189,24.189
2012-07-19,25.07,25.07,25.07
2012-07-20,25.159,25.159,25.159
2012-07-23,24.23,24.23,24.23
2012-07-24,24.45,24.45,24.45
2012-07-25,24.59,24.59,24.59
2012-07-26,24.901,24.901,24.901
2012-07-27,25.476,25.476,25.476
2012-07-30,25.683,25.683,25.683
2012-07-31,25.932,25.932,25.932
2012-08-01,25.642,25.642,25.642
2012-08-02,25.908,25.908,25.908
2012-08-03,25.587,25.587,25.587
2012-08-06,26.152,26.152,26.152
2012-08-07,26.251,26.251,26.251
2012-08-08,26.381,26.381,26.381
2012-08-09,26.834,26.834,26.834
2012-08-10,26.739,26.739,26.739
2012-08-13,26.745,26.745,26.745
2012-08-14,26.727,26.727,26.727
2012-08-15,26.497,26.497,26.497
2012-08-16,26.726,26.726,26.726
2012-08-17,26.587,26.587,26.587
2012-08-20,26.677,26.677,26.677
2012-08-21,26.974,26.974,26.974
2012-08-22,26.939,26.939,26.939
2012-08-23,26.963,26.963,26.963
2012-08-24,26.623,26.623,26.623
2012-08-28,26.554,26.554,26.554
2012-08-29,26.216,26.216,26.216
2012-08-30,25.446,25.446,25.446
2012-08-31,25.376,25.376,25.376
2012-09-03,24.885,24.885,24.885
2012-09-04,24.946,24.946,24.946
2012-09-05,24.473,24.473,24.473
2012-09-06,24.92,24.92,24.92
2012-09-07,25.683,25.683,25.683
2012-09-10,25.936,25.936,25.936
2012-09-11,26.273,26.273,26.273
2012-09-12,26.59,26.59,26.59
2012-09-13,26.726,26.726,26.726
2012-09-14,27.169,27.169,27.169
2012-09-17,27.664,27.664,27.664
2012-09-18,27.452,27.452,27.452
2012-09-19,27.723,27.723,27.723
2012-09-20,27.195,27.195,27.195
2012-09-21,27.257,27.257,27.257
2012-09-24,26.922,26.922,26.922
2012-09-25,26.708,26.708,26.708
2012-09-26,26.304,26.304,26.304
2012-09-27,26.656,26.656,26.656
2012-09-28,26.519,26.519,26.519
2012-10-01,26.53,26.53,26.53
2012-10-02,26.63,26.63,26.63
2012-10-03,26.408,26.408,26.408
2012-10-04,26.124,26.124,26.124
2012-10-05,26.239,26.239,26.239
2012-10-08,26.191,26.191,26.191
2012-10-09,26.406,26.406,26.406
2012-10-10,26.486,26.486,26.486
2012-10-11,26.397,26.397,26.397
2012-10-12,26.536,26.536,26.536
2012-10-15,26.433,26.433,26.433
2012-10-16,26.27,26.27,26.27
2012-10-17,26.856,26.856,26.856
2012-10-18,27.707,27.707,27.707
2012-10-19,27.962,27.962,27.962
2012-10-22,27.699,27.699,27.699
2012-10-23,27.62,27.62,27.62
2012-10-24,27.475,27.475,27.475
2012-10-25,27.499,27.499,27.499
2012-10-26,27.164,27.164,27.164
2012-10-29,27.03,27.03,27.03
2012-10-30,27.216,27.216,27.216
2012-10-31,27.48,27.48,27.48
2012-11-01,27.2,27.2,27.2
2012-11-02,27.504,27.504,27.504
2012-11-05,27.902,27.902,27.902
2012-11-06,28.08,28.08,28.08
2012-11-07,28.152,28.152,28.152
2012-11-08,27.892,27.892,27.892
2012-11-09,27.675,27.675,27.675
2012-11-12,27.66,27.66,27.66
2012-11-13,27.227,27.227,27.227
2012-11-14,27.065,27.065,27.065
2012-11-15,26.465,26.465,26.465
2012-11-16,26.339,26.339,26.339
2012-11-19,26.738,26.738,26.738
2012-11-20,26.976,26.976,26.976
2012-11-21,26.748,26.748,26.748
2012-11-22,27.067,27.067,27.067
2012-11-23,27.3,27.3,27.3
2012-11-26,27.513,27.513,27.513
2012-11-27,27.633,27.633,27.633
2012-11-28,27.547,27.547,27.547
2012-11-29,27.601,27.601,27.601
2012-11-30,27.733,27.733,27.733
2012-12-03,27.833,27.833,27.833
2012-12-04,27.739,27.739,27.739
2012-12-05,27.721,27.721,27.721
2012-12-06,27.906,27.906,27.906
2012-12-07,28.174,28.174,28.174
2012-12-10,28.341,28.341,28.341
2012-12-11,28.835,28.835,28.835
2012-12-12,29.186,29.186,29.186
2012-12-13,29.31,29.31,29.31
2012-12-14,29.462,29.462,29.462
2012-12-17,29.665,29.665,29.665
2012-12-18,29.856,29.856,29.856
2012-12-19,30.038,30.038,30.038
2012-12-20,30.025,30.025,30.025
2012-12-21,29.519,29.519,29.519
2012-12-24,29.531,29.531,29.531
2012-12-27,29.675,29.675,29.675
2012-12-28,29.998,29.998,29.998
2012-12-31,29.824,29.824,29.824
2013-01-02,30.741,30.741,30.741
2013-01-03,30.877,30.877,30.877
2013-01-04,30.724,30.724,30.724
2013-01-07,30.713,30.713,30.713
2013-01-08,30.459,30.459,30.459
2013-01-09,30.555,30.555,30.555
2013-01-10,30.657,30.657,30.657
2013-01-11,29.88,29.88,29.88
