Company,Date,Actual,Model,Forecast
Glencore,2023-04-03,5.54,Random Walk,4.84
Glencore,2023-04-03,5.54,Random Walk + Drift,4.8387199999999995
Glencore,2023-04-03,5.54,ARIMA,4.834149073463426
Glencore,2023-04-03,5.54,LASSO,4.82939268340885
Glencore,2023-04-03,5.54,Elastic Net,4.82939268340885
Glencore,2023-04-03,5.54,Random Forest,4.820907751322753
Glencore,2023-04-03,5.54,XGBoost,4.834392624949526
Glencore,2023-04-03,5.54,LightGBM,4.834392624949526
Glencore,2023-04-03,5.54,LSTM,4.717879867061194
Glencore,2023-04-03,5.54,GRU,4.763126651525787
Glencore,2023-04-04,5.67,Random Walk,4.73
Glencore,2023-04-04,5.67,Random Walk + Drift,4.728678598629094
Glencore,2023-04-04,5.67,ARIMA,4.731152796822221
Glencore,2023-04-04,5.67,LASSO,4.722779357116485
Glencore,2023-04-04,5.67,Elastic Net,4.722779357116485
Glencore,2023-04-04,5.67,Random Forest,4.736091141173641
Glencore,2023-04-04,5.67,XGBoost,4.740976773433282
Glencore,2023-04-04,5.67,LightGBM,4.740976773433282
Glencore,2023-04-04,5.67,LSTM,4.753391694715474
Glencore,2023-04-04,5.67,GRU,4.777437044800968
Glencore,2023-04-05,5.61,Random Walk,4.71
Glencore,2023-04-05,5.61,Random Walk + Drift,4.708671488389799
Glencore,2023-04-05,5.61,ARIMA,4.717549041120101
Glencore,2023-04-05,5.61,LASSO,4.703377953824752
Glencore,2023-04-05,5.61,Elastic Net,4.703377953824752
Glencore,2023-04-05,5.61,Random Forest,4.752535714285716
Glencore,2023-04-05,5.61,XGBoost,4.736249052852011
Glencore,2023-04-05,5.61,LightGBM,4.736249052852011
Glencore,2023-04-05,5.61,LSTM,4.778105139125057
Glencore,2023-04-05,5.61,GRU,4.766808752604852
Glencore,2023-04-06,5.61,Random Walk,4.67
Glencore,2023-04-06,5.61,Random Walk + Drift,4.668656773211568
Glencore,2023-04-06,5.61,ARIMA,4.6773254261627795
Glencore,2023-04-06,5.61,LASSO,4.665555310528174
Glencore,2023-04-06,5.61,Elastic Net,4.665555310528174
Glencore,2023-04-06,5.61,Random Forest,4.684084100529098
Glencore,2023-04-06,5.61,XGBoost,4.678968791822831
Glencore,2023-04-06,5.61,LightGBM,4.678968791822831
Glencore,2023-04-06,5.61,LSTM,4.730524682713889
Glencore,2023-04-06,5.61,GRU,4.707651986549017
Glencore,2023-04-11,5.78,Random Walk,4.82
Glencore,2023-04-11,5.78,Random Walk + Drift,4.818714340053252
Glencore,2023-04-11,5.78,ARIMA,4.824163228692015
Glencore,2023-04-11,5.78,LASSO,4.81520703314985
Glencore,2023-04-11,5.78,Elastic Net,4.81520703314985
Glencore,2023-04-11,5.78,Random Forest,4.823437962962963
Glencore,2023-04-11,5.78,XGBoost,4.835642489583593
Glencore,2023-04-11,5.78,LightGBM,4.835642489583593
Glencore,2023-04-11,5.78,LSTM,4.759104549534633
Glencore,2023-04-11,5.78,GRU,4.743507388706583
Glencore,2023-04-12,5.95,Random Walk,4.87
Glencore,2023-04-12,5.95,Random Walk + Drift,4.868733840304182
Glencore,2023-04-12,5.95,ARIMA,4.864899665970215
Glencore,2023-04-12,5.95,LASSO,4.862312230616865
Glencore,2023-04-12,5.95,Elastic Net,4.862312230616865
Glencore,2023-04-12,5.95,Random Forest,4.949945238095236
Glencore,2023-04-12,5.95,XGBoost,4.8973406149320615
Glencore,2023-04-12,5.95,LightGBM,4.8973406149320615
Glencore,2023-04-12,5.95,LSTM,4.7916285830690395
Glencore,2023-04-12,5.95,GRU,4.805451682339668
Glencore,2023-04-13,6.02,Random Walk,4.91
Glencore,2023-04-13,6.02,Random Walk + Drift,4.908749524895478
Glencore,2023-04-13,6.02,ARIMA,4.906943380478043
Glencore,2023-04-13,6.02,LASSO,4.901145549434182
Glencore,2023-04-13,6.02,Elastic Net,4.901145549434182
Glencore,2023-04-13,6.02,Random Forest,4.9673105291005335
Glencore,2023-04-13,6.02,XGBoost,4.935020283478643
Glencore,2023-04-13,6.02,LightGBM,4.935020283478643
Glencore,2023-04-13,6.02,LSTM,4.857862840924068
Glencore,2023-04-13,6.02,GRU,4.860708760579345
Glencore,2023-04-14,6.02,Random Walk,5.08
Glencore,2023-04-14,6.02,Random Walk + Drift,5.078814589665654
Glencore,2023-04-14,6.02,ARIMA,5.084797193512955
Glencore,2023-04-14,6.02,LASSO,5.067038380414132
Glencore,2023-04-14,6.02,Elastic Net,5.067038380414132
Glencore,2023-04-14,6.02,Random Forest,5.12989850529101
Glencore,2023-04-14,6.02,XGBoost,5.097837819561053
Glencore,2023-04-14,6.02,LightGBM,5.097837819561053
Glencore,2023-04-14,6.02,LSTM,4.950840617483913
Glencore,2023-04-14,6.02,GRU,4.994677451641717
Glencore,2023-04-17,5.96,Random Walk,5.19
Glencore,2023-04-17,5.96,Random Walk + Drift,5.188856817318649
Glencore,2023-04-17,5.96,ARIMA,5.1956486290326165
Glencore,2023-04-17,5.96,LASSO,5.177411718018778
Glencore,2023-04-17,5.96,Elastic Net,5.177411718018778
Glencore,2023-04-17,5.96,Random Forest,5.121757169312172
Glencore,2023-04-17,5.96,XGBoost,5.145746688166015
Glencore,2023-04-17,5.96,LightGBM,5.145746688166015
Glencore,2023-04-17,5.96,LSTM,5.0636459946487395
Glencore,2023-04-17,5.96,GRU,5.104664960649201
Glencore,2023-04-18,6.1,Random Walk,5.2
Glencore,2023-04-18,6.1,Random Walk + Drift,5.198861047835991
Glencore,2023-04-18,6.1,ARIMA,5.204923003063904
Glencore,2023-04-18,6.1,LASSO,5.188026858799065
Glencore,2023-04-18,6.1,Elastic Net,5.188026858799065
Glencore,2023-04-18,6.1,Random Forest,5.147584007936505
Glencore,2023-04-18,6.1,XGBoost,5.210906107957585
Glencore,2023-04-18,6.1,LightGBM,5.210906107957585
Glencore,2023-04-18,6.1,LSTM,5.126467922702084
Glencore,2023-04-18,6.1,GRU,5.2045978024625805
Glencore,2023-04-19,6.06,Random Walk,5.07
Glencore,2023-04-19,6.06,Random Walk + Drift,5.068812144212524
Glencore,2023-04-19,6.06,ARIMA,5.064633648049604
Glencore,2023-04-19,6.06,LASSO,5.061217468970718
Glencore,2023-04-19,6.06,Elastic Net,5.061217468970718
Glencore,2023-04-19,6.06,Random Forest,5.074831944444441
Glencore,2023-04-19,6.06,XGBoost,5.058533771894122
Glencore,2023-04-19,6.06,LightGBM,5.058533771894122
Glencore,2023-04-19,6.06,LSTM,5.157720134697582
Glencore,2023-04-19,6.06,GRU,5.174513359404511
Glencore,2023-04-20,6.16,Random Walk,5.05
Glencore,2023-04-20,6.16,Random Walk + Drift,5.048805007587253
Glencore,2023-04-20,6.16,ARIMA,5.043376530967128
Glencore,2023-04-20,6.16,LASSO,5.044361622513934
Glencore,2023-04-20,6.16,Elastic Net,5.044361622513934
Glencore,2023-04-20,6.16,Random Forest,5.074612777777775
Glencore,2023-04-20,6.16,XGBoost,5.052792887079329
Glencore,2023-04-20,6.16,LightGBM,5.052792887079329
Glencore,2023-04-20,6.16,LSTM,5.129312410510189
Glencore,2023-04-20,6.16,GRU,5.083109002436405
Glencore,2023-04-21,6.01,Random Walk,4.91
Glencore,2023-04-21,6.01,Random Walk + Drift,4.908752370117558
Glencore,2023-04-21,6.01,ARIMA,4.913623851129384
Glencore,2023-04-21,6.01,LASSO,4.909002473264618
Glencore,2023-04-21,6.01,Elastic Net,4.909002473264618
Glencore,2023-04-21,6.01,Random Forest,4.8936337301587285
Glencore,2023-04-21,6.01,XGBoost,4.913548266546162
Glencore,2023-04-21,6.01,LightGBM,4.913548266546162
Glencore,2023-04-21,6.01,LSTM,5.0346324917187495
Glencore,2023-04-21,6.01,GRU,5.014084647510259
Glencore,2023-04-24,5.98,Random Walk,4.87
Glencore,2023-04-24,5.98,Random Walk + Drift,4.8687376800606526
Glencore,2023-04-24,5.98,ARIMA,4.877052613858907
Glencore,2023-04-24,5.98,LASSO,4.869936335107532
Glencore,2023-04-24,5.98,Elastic Net,4.869936335107532
Glencore,2023-04-24,5.98,Random Forest,4.861933412698412
Glencore,2023-04-24,5.98,XGBoost,4.870544095034015
Glencore,2023-04-24,5.98,LightGBM,4.870544095034015
Glencore,2023-04-24,5.98,LSTM,4.969015968986168
Glencore,2023-04-24,5.98,GRU,4.903024109015682
Glencore,2023-04-25,5.74,Random Walk,4.95
Glencore,2023-04-25,5.74,Random Walk + Drift,4.948768472906404
Glencore,2023-04-25,5.74,ARIMA,4.9556491535662275
Glencore,2023-04-25,5.74,LASSO,4.946264423538914
Glencore,2023-04-25,5.74,Elastic Net,4.946264423538914
Glencore,2023-04-25,5.74,Random Forest,4.9699030952381
Glencore,2023-04-25,5.74,XGBoost,4.953162645614441
Glencore,2023-04-25,5.74,LightGBM,4.953162645614441
Glencore,2023-04-25,5.74,LSTM,4.931055593020777
Glencore,2023-04-25,5.74,GRU,4.866838300482263
Glencore,2023-04-26,5.92,Random Walk,4.92
Glencore,2023-04-26,5.92,Random Walk + Drift,4.918757575757576
Glencore,2023-04-26,5.92,ARIMA,4.913964053272612
Glencore,2023-04-26,5.92,LASSO,4.916566897652936
Glencore,2023-04-26,5.92,Elastic Net,4.916566897652936
Glencore,2023-04-26,5.92,Random Forest,4.858947407407406
Glencore,2023-04-26,5.92,XGBoost,4.906964502711196
Glencore,2023-04-26,5.92,LightGBM,4.906964502711196
Glencore,2023-04-26,5.92,LSTM,4.879839462949651
Glencore,2023-04-26,5.92,GRU,4.904610010376676
Glencore,2023-04-27,5.82,Random Walk,4.78
Glencore,2023-04-27,5.82,Random Walk + Drift,4.778705035971223
Glencore,2023-04-27,5.82,ARIMA,4.769280841679636
Glencore,2023-04-27,5.82,LASSO,4.777176669688451
Glencore,2023-04-27,5.82,Elastic Net,4.777176669688451
Glencore,2023-04-27,5.82,Random Forest,4.7968903318903315
Glencore,2023-04-27,5.82,XGBoost,4.782155376890121
Glencore,2023-04-27,5.82,LightGBM,4.782155376890121
Glencore,2023-04-27,5.82,LSTM,4.814636942093578
Glencore,2023-04-27,5.82,GRU,4.84729807129786
Glencore,2023-04-28,5.81,Random Walk,4.79
Glencore,2023-04-28,5.81,Random Walk + Drift,4.788709311127933
Glencore,2023-04-28,5.81,ARIMA,4.785437015935692
Glencore,2023-04-28,5.81,LASSO,4.786324065408019
Glencore,2023-04-28,5.81,Elastic Net,4.786324065408019
Glencore,2023-04-28,5.81,Random Forest,4.785919537037033
Glencore,2023-04-28,5.81,XGBoost,4.8152483996789295
Glencore,2023-04-28,5.81,LightGBM,4.8152483996789295
Glencore,2023-04-28,5.81,LSTM,4.8073936254726
Glencore,2023-04-28,5.81,GRU,4.808376804058399
Glencore,2023-05-02,5.66,Random Walk,4.83
Glencore,2023-05-02,5.66,Random Walk + Drift,4.828724933787363
Glencore,2023-05-02,5.66,ARIMA,4.839882013009786
Glencore,2023-05-02,5.66,LASSO,4.826788211056588
Glencore,2023-05-02,5.66,Elastic Net,4.826788211056588
Glencore,2023-05-02,5.66,Random Forest,4.816631653439151
Glencore,2023-05-02,5.66,XGBoost,4.826243276261057
Glencore,2023-05-02,5.66,LightGBM,4.826243276261057
Glencore,2023-05-02,5.66,LSTM,4.837191232941559
Glencore,2023-05-02,5.66,GRU,4.800830044261268
Glencore,2023-05-03,5.73,Random Walk,4.83
Glencore,2023-05-03,5.73,Random Walk + Drift,4.828725416036309
Glencore,2023-05-03,5.73,ARIMA,4.842838819039047
Glencore,2023-05-03,5.73,LASSO,4.826309352545361
Glencore,2023-05-03,5.73,Elastic Net,4.826309352545361
Glencore,2023-05-03,5.73,Random Forest,4.819090767195769
Glencore,2023-05-03,5.73,XGBoost,4.828277068312651
Glencore,2023-05-03,5.73,LightGBM,4.828277068312651
Glencore,2023-05-03,5.73,LSTM,4.823070115081622
Glencore,2023-05-03,5.73,GRU,4.789085497479244
Glencore,2023-05-04,5.38,Random Walk,4.66
Glencore,2023-05-04,5.38,Random Walk + Drift,4.658661625708885
Glencore,2023-05-04,5.38,ARIMA,4.661808051484109
Glencore,2023-05-04,5.38,LASSO,4.657554459751476
Glencore,2023-05-04,5.38,Elastic Net,4.657554459751476
Glencore,2023-05-04,5.38,Random Forest,4.6937882936507895
Glencore,2023-05-04,5.38,XGBoost,4.665772073556994
Glencore,2023-05-04,5.38,LightGBM,4.665772073556994
Glencore,2023-05-04,5.38,LSTM,4.743576144901151
Glencore,2023-05-04,5.38,GRU,4.731849260363301
Glencore,2023-05-05,5.53,Random Walk,4.7
Glencore,2023-05-05,5.53,Random Walk + Drift,4.698677248677249
Glencore,2023-05-05,5.53,ARIMA,4.696274702441292
Glencore,2023-05-05,5.53,LASSO,4.6968955289124255
Glencore,2023-05-05,5.53,Elastic Net,4.6968955289124255
Glencore,2023-05-05,5.53,Random Forest,4.701359545454549
Glencore,2023-05-05,5.53,XGBoost,4.698956075399933
Glencore,2023-05-05,5.53,LightGBM,4.698956075399933
Glencore,2023-05-05,5.53,LSTM,4.702844437184894
Glencore,2023-05-05,5.53,GRU,4.6745660309269095
Glencore,2023-05-09,5.55,Random Walk,4.62
Glencore,2023-05-09,5.55,Random Walk + Drift,4.618647525500567
Glencore,2023-05-09,5.55,ARIMA,4.610743608144237
Glencore,2023-05-09,5.55,LASSO,4.619174920316497
Glencore,2023-05-09,5.55,Elastic Net,4.619174920316497
Glencore,2023-05-09,5.55,Random Forest,4.6284235088985115
Glencore,2023-05-09,5.55,XGBoost,4.636016226378747
Glencore,2023-05-09,5.55,LightGBM,4.636016226378747
Glencore,2023-05-09,5.55,LSTM,4.680661489151827
Glencore,2023-05-09,5.55,GRU,4.62563328599772
Glencore,2023-05-10,5.54,Random Walk,4.61
Glencore,2023-05-10,5.54,Random Walk + Drift,4.608644259818732
Glencore,2023-05-10,5.54,ARIMA,4.6104521225547455
Glencore,2023-05-10,5.54,LASSO,4.609377932131392
Glencore,2023-05-10,5.54,Elastic Net,4.609377932131392
Glencore,2023-05-10,5.54,Random Forest,4.614484060846562
Glencore,2023-05-10,5.54,XGBoost,4.61270554726127
Glencore,2023-05-10,5.54,LightGBM,4.61270554726127
Glencore,2023-05-10,5.54,LSTM,4.632873759362636
Glencore,2023-05-10,5.54,GRU,4.617237633574417
Glencore,2023-05-11,5.27,Random Walk,4.72
Glencore,2023-05-11,5.27,Random Walk + Drift,4.718686296715742
Glencore,2023-05-11,5.27,ARIMA,4.732957106379844
Glencore,2023-05-11,5.27,LASSO,4.714402534548563
Glencore,2023-05-11,5.27,Elastic Net,4.714402534548563
Glencore,2023-05-11,5.27,Random Forest,4.702356402116402
Glencore,2023-05-11,5.27,XGBoost,4.717716178788515
Glencore,2023-05-11,5.27,LightGBM,4.717716178788515
Glencore,2023-05-11,5.27,LSTM,4.657814091630861
Glencore,2023-05-11,5.27,GRU,4.653542714374318
Glencore,2023-05-12,5.31,Random Walk,4.65
Glencore,2023-05-12,5.31,Random Walk + Drift,4.648660377358491
Glencore,2023-05-12,5.31,ARIMA,4.657676597632224
Glencore,2023-05-12,5.31,LASSO,4.646499545668419
Glencore,2023-05-12,5.31,Elastic Net,4.646499545668419
Glencore,2023-05-12,5.31,Random Forest,4.669510171957672
Glencore,2023-05-12,5.31,XGBoost,4.67686746759866
Glencore,2023-05-12,5.31,LightGBM,4.67686746759866
Glencore,2023-05-12,5.31,LSTM,4.637186202110746
Glencore,2023-05-12,5.31,GRU,4.671660249925463
Glencore,2023-05-15,5.4,Random Walk,4.6
Glencore,2023-05-15,5.4,Random Walk + Drift,4.598642021878536
Glencore,2023-05-15,5.4,ARIMA,4.593471745431144
Glencore,2023-05-15,5.4,LASSO,4.596244161792856
Glencore,2023-05-15,5.4,Elastic Net,4.596244161792856
Glencore,2023-05-15,5.4,Random Forest,4.597457367724863
Glencore,2023-05-15,5.4,XGBoost,4.631652902153567
Glencore,2023-05-15,5.4,LightGBM,4.631652902153567
Glencore,2023-05-15,5.4,LSTM,4.614430595184184
Glencore,2023-05-15,5.4,GRU,4.658656632746549
