Date,Close,High,Low
2011-05-19,0.481,0.481,0.481
2011-05-20,0.477,0.477,0.477
2011-05-23,0.468,0.468,0.468
2011-05-24,0.471,0.471,0.471
2011-05-25,0.476,0.476,0.476
2011-05-26,0.491,0.491,0.491
2011-05-27,0.494,0.494,0.494
2011-05-31,0.505,0.505,0.505
2011-06-01,0.503,0.503,0.503
2011-06-02,0.499,0.499,0.499
2011-06-03,0.49,0.49,0.49
2011-06-06,0.49,0.49,0.49
2011-06-07,0.487,0.487,0.487
2011-06-08,0.492,0.492,0.492
2011-06-09,0.489,0.489,0.489
2011-06-10,0.493,0.493,0.493
2011-06-13,0.498,0.498,0.498
2011-06-14,0.498,0.498,0.498
2011-06-15,0.494,0.494,0.494
2011-06-16,0.472,0.472,0.472
2011-06-17,0.469,0.469,0.469
2011-06-20,0.47,0.47,0.47
2011-06-21,0.478,0.478,0.478
2011-06-22,0.488,0.488,0.488
2011-06-23,0.486,0.486,0.486
2011-06-24,0.501,0.501,0.501
2011-06-27,0.502,0.502,0.502
2011-06-28,0.496,0.496,0.496
2011-06-29,0.496,0.496,0.496
2011-06-30,0.501,0.501,0.501
2011-07-01,0.501,0.501,0.501
2011-07-04,0.527,0.527,0.527
2011-07-05,0.524,0.524,0.524
2011-07-06,0.524,0.524,0.524
2011-07-07,0.528,0.528,0.528
2011-07-08,0.537,0.537,0.537
2011-07-11,0.535,0.535,0.535
2011-07-12,0.508,0.508,0.508
2011-07-13,0.534,0.534,0.534
2011-07-14,0.564,0.564,0.564
2011-07-15,0.561,0.561,0.561
2011-07-18,0.57,0.57,0.57
2011-07-19,0.582,0.582,0.582
2011-07-20,0.549,0.549,0.549
2011-07-21,0.554,0.554,0.554
2011-07-22,0.544,0.544,0.544
2011-07-25,0.557,0.557,0.557
2011-07-26,0.56,0.56,0.56
2011-07-27,0.561,0.561,0.561
2011-07-28,0.557,0.557,0.557
2011-07-29,0.54,0.54,0.54
2011-08-01,0.555,0.555,0.555
2011-08-02,0.546,0.546,0.546
