Target,Candidate,Method,Configured Modes,Returned Component,VMD Alpha,Selected Route,Development RMSE,Development MAE,Selection Score,ARIMA Order,Selected Feature Count,Selected Features
albemarle_equity,VMD-K7-A1500,VMD,7,1,1500.0,RF,1.0331980800915037,0.7920835575373562,0.22309385932348302,,3,target_1 | Lithium_Hydroxide_Close | target_2
albemarle_equity,VMD-K7-A1500,VMD,7,2,1500.0,ARIMA,0.7079493392954561,0.1113113831310984,0.12351938224816449,"(1, 1, 1)",5,target_1 | USD_CNY | SP500 | VIX | Trends_lithium_hydroxide
albemarle_equity,VMD-K7-A1500,VMD,7,3,1500.0,ARIMA,0.3020418770501544,0.05987043116250471,0.10568478394095004,"(5, 0, 4)",8,target_1 | target_3 | USD_CNY | VIX | News_TextBlob_Polarity | Trends_lithium_carbonate | Lithium_Hydroxide_Close | News_FinBERT_Score
albemarle_equity,VMD-K7-A1500,VMD,7,4,1500.0,ARIMA,0.07221944856838666,0.04122538478214643,0.06513714267404419,"(5, 0, 5)",11,target_1 | target_2 | target_4 | Trends_lithium_carbonate | target_5 | Ganfeng_Lithium_Close | USD_CNY | Shanghai_Composite | VIX | News_TextBlob_Polarity | News_FinBERT_Score
albemarle_equity,VMD-K7-A1500,VMD,7,5,1500.0,ARIMA,0.12792564279995666,0.06604597927149267,0.21091684565823332,"(4, 0, 3)",12,target_2 | target_1 | target_3 | target_4 | target_5 | MVIS_Critical_Minerals | Lithium_Hydroxide_Close | SP500 | US_Dollar_Index | News_Article_Count | Trends_lithium_hydroxide | USD_CNY
albemarle_equity,VMD-K7-A1500,VMD,7,6,1500.0,ARIMA,0.05758596054202988,0.042007349399822584,0.1533619256141396,"(5, 0, 2)",12,target_1 | target_2 | target_5 | target_4 | target_3 | MVIS_Critical_Minerals | Lithium_Hydroxide_Close | SP500 | VIX | News_TextBlob_Polarity | US_Dollar_Index | News_FinBERT_Score
albemarle_equity,VMD-K7-A1500,VMD,7,7,1500.0,ARIMA,0.05448043379615853,0.029966275965153485,0.1306409969344584,"(2, 0, 2)",11,target_1 | target_2 | MVIS_Critical_Minerals | target_5 | Lithium_Carbonate_Close | SP500 | VIX | US_Dollar_Index | News_TextBlob_Polarity | News_Article_Count | News_FinBERT_Score
albemarle_equity,VMD-K7-A1500,VMD,7,8,1500.0,ARIMA,1.0013076343226048,0.7723548572458098,1.1175307793563058,"(0, 0, 1)",4,target_1 | target_2 | target_5 | target_3
albemarle_equity,VMD-K7-A3000,VMD,7,1,3000.0,RF,0.5217555393373584,0.4305652006527104,0.17971567590065407,,3,target_1 | Lithium_Hydroxide_Close | target_2
albemarle_equity,VMD-K7-A3000,VMD,7,2,3000.0,ARIMA,1.3682063252675685,0.1624498960941286,0.2671935975395916,"(1, 2, 3)",5,target_1 | USD_CNY | SP500 | VIX | Trends_lithium_hydroxide
