Target,Model,Model Class,Scored Rows,RMSE,MAE,MASE,MAPE,Directional Accuracy,sMAPE
lithium_carbonate,ARIMA,Single,136,3612.196976201166,1827.0413272199653,0.9131824478885421,1.4348010805921236,69.62962962962963,1.4571861917460465
lithium_carbonate,CEEMDAN-ARIMA,Decomposition,136,3623.5468525904316,1436.9183246639748,0.7181931648635191,1.115690782576765,77.03703703703704,1.1552646760235934
lithium_carbonate,CEEMDAN-LSTM,Decomposition,136,3650.8522580759723,2402.991268382353,1.2010508005613385,2.066357189505511,78.51851851851852,2.066780224095398
lithium_carbonate,ELM,Single,136,41457.76667988726,34950.972660762425,17.469016324335154,36.014702456594996,58.51851851851851,28.294164534889255
lithium_carbonate,ES,Single,136,200226.2913796477,180239.9823161551,90.08662574113636,165.21934903799232,54.074074074074076,86.49981501337771
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Decomposition,136,3858.1490289873764,2053.9202351156864,1.0265799027790357,1.8004842658067102,77.03703703703704,1.8541272210305901
lithium_carbonate,LSTM,Single,136,11905.858987156053,9873.903435202206,4.93512389393668,9.966685983052656,55.55555555555556,9.45961547160508
lithium_carbonate,MLP,Single,136,45712.40016884518,37502.129447863124,18.744122456355125,40.06091926027196,48.148148148148145,30.610717002668896
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Decomposition,136,2881.468209734655,1959.1156033112052,0.9791951367901244,1.7215788876048619,74.07407407407408,1.729335736794429
lithium_carbonate,RF,Single,136,5380.321225484166,3231.2769607843147,1.615040317311671,2.5467694817632713,72.5925925925926,2.59438846585947
lithium_carbonate,Random Walk,Robustness,136,3497.383475753065,1991.1764705882354,0.9952196354291435,1.5285406511042794,74.81481481481481,1.537314951720337
lithium_carbonate,SVR,Single,136,24629.999227998967,18864.571161919175,9.428793435242827,21.87350437330402,56.2962962962963,18.247640197050817
lithium_carbonate,VMD-ARIMA,Decomposition,136,3151.905932769052,1569.3487647681816,0.7843838698397054,1.3496386041026343,78.51851851851852,1.3937366236144415
lithium_carbonate,VMD-LSTM,Decomposition,136,5587.167920054641,3861.826286764706,1.9301982551397079,3.3299800062067777,74.81481481481481,3.3427968280965827
lithium_hydroxide,ARIMA,Single,141,0.6437186196795486,0.2394948994047278,1.3159060406780876,1.7612830316079895,29.28571428571429,1.920132024131194
lithium_hydroxide,CEEMDAN-ARIMA,Decomposition,141,0.4466586473929143,0.1993887412182392,1.0955425341601304,1.5404328001735204,37.857142857142854,1.659566629565755
lithium_hydroxide,CEEMDAN-LSTM,Decomposition,141,0.8837668591370542,0.6088471051479906,3.345313764531019,5.395967088233598,36.42857142857142,5.327580468520045
lithium_hydroxide,ELM,Single,141,0.6541563608495137,0.25731045524788804,1.4137937101454634,1.7122792153933863,28.57142857142857,1.7871705447128092
lithium_hydroxide,ES,Single,141,4.894773821800147,3.371968303517483,18.52729837087339,21.474634943040112,35.0,26.450894133493353
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,Decomposition,141,0.5824885354684047,0.36227571431331446,1.9905259028094728,2.829531309187056,39.285714285714285,2.9321716735460948
lithium_hydroxide,LSTM,Single,141,0.8398353167204528,0.49671653720504,2.72921174286984,3.8141880327007827,32.857142857142854,3.7460138954344337
lithium_hydroxide,MLP,Single,141,0.6765921938815384,0.45886599502258096,2.5212417308794497,3.518117965891469,35.0,3.538348198182174
lithium_hydroxide,Proposed Adaptive Decomposition-Routing Ensemble,Decomposition,141,0.2736968632974272,0.1979318790983997,1.0875377972379794,1.490130675047416,44.285714285714285,1.5003759484425072
lithium_hydroxide,RF,Single,141,1.303349900274308,0.8864125599459663,4.870398680995034,6.006327516117123,37.142857142857146,5.762104498138427
lithium_hydroxide,Random Walk,Robustness,141,0.5496001125254101,0.181063829787234,0.9948562076166989,1.1922744558908598,41.42857142857143,1.2407706404087389
lithium_hydroxide,SVR,Single,141,0.7059681579606526,0.5847396864785734,3.21285542019429,4.945994209758515,38.57142857142858,4.834252746855138
lithium_hydroxide,VMD-ARIMA,Decomposition,141,0.4731412609949474,0.2450317378296828,1.3463282298260248,1.9151476044937648,44.285714285714285,2.027692435270174
lithium_hydroxide,VMD-LSTM,Decomposition,141,0.8868061258277363,0.4504448772998567,2.474971853282318,3.762585612764017,42.142857142857146,3.495113527407248
