Target,Model,Nominal Coverage (%),Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
lithium_carbonate,ARIMA,80.0,0.0,100064.2582437881,100064.2582437881,80.0,468694.9251735607
lithium_carbonate,ARIMA,90.0,0.9803921568627451,111686.2469504084,111686.2469504084,89.01960784313727,733093.0934164793
lithium_carbonate,ARIMA,95.0,0.9803921568627451,117197.23424621529,117197.23424621529,94.01960784313725,1250871.7670064943
lithium_carbonate,CEEMDAN-ARIMA,80.0,0.0,362573.8015322114,362573.8015322114,80.0,14713027.54783048
lithium_carbonate,CEEMDAN-ARIMA,90.0,0.0,521617.5616598585,521617.5616598585,90.0,27632087.452979915
lithium_carbonate,CEEMDAN-ARIMA,95.0,0.0,609493.1258204487,609493.1258204487,95.0,53072921.62524876
lithium_carbonate,CEEMDAN-LSTM,80.0,10.784313725490197,11935.890625,11935.890625,69.2156862745098,411386.8196997549
lithium_carbonate,CEEMDAN-LSTM,90.0,11.76470588235294,13997.625,13997.625,78.23529411764706,794706.4990808824
lithium_carbonate,CEEMDAN-LSTM,95.0,50.0,55433.75,55433.75,44.99999999999999,1029480.2757352941
lithium_carbonate,ELM,80.0,28.431372549019606,95554.78136754115,95554.78136754115,51.5686274509804,287522.5068140809
lithium_carbonate,ELM,90.0,58.82352941176471,131323.19106423008,131323.19106423008,31.176470588235293,326701.0234535521
lithium_carbonate,ELM,95.0,61.76470588235294,138438.64390966043,138438.64390966043,33.23529411764705,472635.75120019214
lithium_carbonate,ES,80.0,0.0,186034.91505074326,186034.91505074326,80.0,1465005.8021219112
lithium_carbonate,ES,90.0,0.0,210322.48954094067,210322.48954094067,90.0,2525388.518781303
lithium_carbonate,ES,95.0,0.0,222166.2767860392,222166.2767860392,95.0,4615422.590364791
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,80.0,32.35294117647059,31083.068211944974,31083.068211944974,47.64705882352941,277086.19445337047
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,90.0,49.01960784313725,37355.632079670184,37355.632079670184,40.98039215686275,492885.8772669004
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,95.0,50.98039215686274,40022.42849600073,40022.42849600073,44.01960784313725,924339.7482167006
lithium_carbonate,LSTM,80.0,85.29411764705883,128410.625,128410.625,5.294117647058815,138065.9650735294
lithium_carbonate,LSTM,90.0,90.19607843137256,134408.125,134408.125,0.19607843137254832,146286.79840686274
lithium_carbonate,LSTM,95.0,91.17647058823529,135784.375,135784.375,3.8235294117647034,157070.36764705883
lithium_carbonate,MLP,80.0,98.0392156862745,459001.7634967797,459001.7634967797,18.039215686274503,460357.0970552704
lithium_carbonate,MLP,90.0,100.0,511889.0825128165,511889.0825128165,9.999999999999998,511889.0825128165
lithium_carbonate,MLP,95.0,100.0,519693.02176780347,519693.02176780347,5.000000000000004,519693.02176780347
