Model,Scheme,Cumulative Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
ARIMA,Scheme 1,173.96,-8.84,5.0752,22.5000,55.29
ARIMA,Scheme 1',68.09,-5.45,3.8712,22.0000,15.57
ARIMA,Scheme 2,162.16,-9.12,4.8419,22.5000,55.29
ARIMA,Scheme 2',64.00,-5.69,3.6666,22.0000,15.57
ELM,Scheme 1,28.70,-38.35,1.3685,11.5000,45.21
ELM,Scheme 1',38.67,-32.84,2.0662,18.0000,32.20
ELM,Scheme 2,27.21,-39.12,1.2887,11.5000,45.21
ELM,Scheme 2',36.40,-33.48,1.9759,18.0000,32.20
ES,Scheme 1,26.39,-45.01,0.9999,1.0000,44.26
ES,Scheme 1',27.41,-44.20,1.0830,2.0000,43.31
ES,Scheme 2,26.27,-45.01,0.9951,1.0000,44.26
ES,Scheme 2',27.24,-44.23,1.0747,2.0000,43.31
LSTM,Scheme 1,48.42,-29.64,1.0130,14.5000,43.61
LSTM,Scheme 1',4.19,-13.18,0.5242,9.5000,15.17
LSTM,Scheme 2,43.91,-29.81,0.9009,14.5000,43.61
LSTM,Scheme 2',3.17,-13.48,0.3963,9.5000,15.17
MLP,Scheme 1,86.64,-25.03,3.2583,6.0000,49.97
MLP,Scheme 1',51.91,-8.41,2.5524,14.5000,26.18
MLP,Scheme 2,84.91,-25.03,3.2216,6.0000,49.97
MLP,Scheme 2',49.59,-8.69,2.4465,14.5000,26.18
RF,Scheme 1,74.35,-16.93,2.3810,8.0000,46.04
RF,Scheme 1',17.09,-15.92,1.0037,10.0000,19.79
RF,Scheme 2,71.78,-16.93,2.3151,8.0000,46.04
RF,Scheme 2',15.87,-16.00,0.9425,10.0000,19.79
SVR,Scheme 1,140.37,-13.62,4.0987,10.0000,53.35
SVR,Scheme 1',58.89,-0.46,4.4424,6.0000,13.17
SVR,Scheme 2,135.82,-13.80,4.0019,10.0000,53.35
SVR,Scheme 2',57.66,-0.52,4.3905,6.0000,13.17
