Target,Method,Mode,Frequency,Average Period,Variance Ratio,Correlation,Approximate Entropy
lithium_hydroxide,VMD,1,0.0056022408963585,178.5,0.3273311260167416,0.821157667841365,0.0053084391215045
lithium_hydroxide,VMD,2,0.0056022408963585,178.5,0.3651196949810894,0.8439479859243603,0.0220031739404316
lithium_hydroxide,VMD,3,0.0126050420168067,79.33333333333333,0.008851350823236,0.1657140855795922,0.2067265389406567
lithium_hydroxide,VMD,4,0.0490196078431372,20.4,0.0008185529262769,0.0556036870345084,0.4323191769205632
lithium_hydroxide,VMD,5,0.1358543417366946,7.360824742268041,0.0001671475922749,0.0233619159089181,0.3845309792825797
lithium_hydroxide,VMD,6,0.2535014005602241,3.9447513812154695,8.160794795448002e-05,0.014849649423846,0.2372252430323151
lithium_hydroxide,VMD,7,0.3403361344537815,2.938271604938272,4.2783463084956666e-05,0.0117651525666255,0.3480624239746728
lithium_hydroxide,VMD,8,0.3977591036414565,2.514084507042253,6.269891815494491e-05,0.0116515964571566,0.4196920473696175
lithium_hydroxide,VMD,9,0.4467787114845938,2.238244514106583,3.8501886944286695e-05,0.0103962110934108,0.544202007081124
lithium_hydroxide,CEEMDAN,1,0.3375350140056022,2.962655601659751,0.0005529733320349,-0.0045480291598416,0.7874853314377117
lithium_hydroxide,CEEMDAN,2,0.238095238095238,4.2,0.0008091865955759,-0.0290000037474884,0.5323776851957978
lithium_hydroxide,CEEMDAN,3,0.0812324929971988,12.310344827586206,0.0015449562152777,0.0682574554593768,0.3999144123298022
lithium_hydroxide,CEEMDAN,4,0.0322128851540616,31.043478260869566,0.0067756227222591,0.1861099526110571,0.2352918830808832
lithium_hydroxide,CEEMDAN,5,0.0098039215686274,102.0,0.0541864513327305,0.4401255679239314,0.0715769580707124
lithium_hydroxide,CEEMDAN,6,0.0042016806722689,238.0,0.0617225323228807,0.6934122069223435,0.0341749941605193
lithium_hydroxide,CEEMDAN,7,0.0,,0.6058866611686535,0.9098372118017058,0.007058116042617
lithium_carbonate,VMD,1,0.008695652173913,115.0,0.2779994787508216,0.80215806138894,0.0069956194829023
lithium_carbonate,VMD,2,0.0043478260869565,230.0,0.3842211188689343,0.8604188529735909,0.0264131718251869
lithium_carbonate,VMD,3,0.0101449275362318,98.57142857142856,0.0213215584578119,0.2181539254418215,0.2068357895539745
lithium_carbonate,VMD,4,0.0304347826086956,32.857142857142854,0.0040017209110908,0.0975507993917953,0.309549035278037
lithium_carbonate,VMD,5,0.0565217391304347,17.692307692307693,0.0017394567106752,0.0615648492236121,0.2927633850865225
lithium_carbonate,VMD,6,0.1072463768115942,9.324324324324325,0.0002177037225723,0.0281657341997209,0.3512317002226433
lithium_carbonate,VMD,7,0.3072463768115942,3.2547169811320757,1.2722159311387786e-05,0.0081201086377854,0.2335235064739054
lithium_carbonate,VMD,8,0.3927536231884058,2.5461254612546127,4.250215579922419e-06,0.0066600015579717,0.4691405670567743
lithium_carbonate,VMD,9,0.4753623188405797,2.1036585365853657,6.640017173971989e-06,0.0048030761872724,0.1982386811238123
lithium_carbonate,CEEMDAN,1,0.3275362318840579,3.0530973451327434,0.0001839792850062,-0.0178633844001818,0.8096183425159618
lithium_carbonate,CEEMDAN,2,0.2579710144927536,3.8764044943820224,0.001094132880067,0.0307594295796354,0.2441058738615515
lithium_carbonate,CEEMDAN,3,0.0710144927536231,14.081632653061224,0.002885562703295,0.2553393411478572,0.3549634747568588
lithium_carbonate,CEEMDAN,4,0.0217391304347826,46.0,0.0188205480796212,0.3988590663334808,0.2405894906401458
lithium_carbonate,CEEMDAN,5,0.0057971014492753,172.5,0.1555245576180053,0.75321360128495,0.0663808868123307
lithium_carbonate,CEEMDAN,6,0.0028985507246376,345.0,0.0064912596717504,0.6613386642956732,0.0281299094384954
lithium_carbonate,CEEMDAN,7,0.0014492753623188,690.0,0.408025935261373,0.9087246014782412,0.0094888329449835
