Panel,Mode,Route,Candidate weight,Selected indicators
lithium_hydroxide,VMD-K8-A1500 / C1,RF,0.2095,"target_1, Cross_Lithium_Close, target_4, target_5, target_3, target_2"
lithium_hydroxide,VMD-K8-A1500 / C2,ARIMA,0.2095,"target_1, SP500"
lithium_hydroxide,VMD-K8-A1500 / C3,RF,0.2095,"target_1, target_5, Cross_Lithium_Close, Ganfeng_Lithium_Close"
lithium_hydroxide,VMD-K8-A1500 / C4,ARIMA,0.2095,"target_1, target_3, target_2, target_5, News_FinBERT_Score, News_Article_Count, VIX, News_TextBlob_Polarity, …"
lithium_hydroxide,VMD-K8-A1500 / C5,ARIMA,0.2095,"target_1, target_2, target_4, target_5, VIX, News_TextBlob_Polarity"
lithium_hydroxide,VMD-K8-A1500 / C6,ARIMA,0.2095,"target_2, target_4, target_1, target_3, Cross_Lithium_Close, VIX"
lithium_hydroxide,VMD-K8-A1500 / C7,ARIMA,0.2095,"target_1, target_2, target_4, target_5, News_FinBERT_Score, VIX, Cross_Lithium_Close, News_Article_Count"
lithium_hydroxide,VMD-K8-A1500 / C8,ARIMA,0.2095,"target_1, target_2, target_3, News_FinBERT_Score, News_Article_Count, VIX, Cross_Lithium_Close"
lithium_hydroxide,VMD-K8-A1500 / C9,ARIMA,0.2095,"target_1, target_5, target_2, target_4, Cross_Lithium_Close"
lithium_hydroxide,VMD-K9-A1500 / C1,RF,0.7611,"target_1, Cross_Lithium_Close, target_4, target_5, target_3, target_2"
lithium_hydroxide,VMD-K9-A1500 / C2,ARIMA,0.7611,"target_1, SP500"
lithium_hydroxide,VMD-K9-A1500 / C3,RF,0.7611,"target_1, target_5, Cross_Lithium_Close, Ganfeng_Lithium_Close"
lithium_hydroxide,VMD-K9-A1500 / C4,ARIMA,0.7611,"target_1, target_3, target_2, target_5, News_FinBERT_Score, News_Article_Count, VIX, News_TextBlob_Polarity, …"
lithium_hydroxide,VMD-K9-A1500 / C5,RF,0.7611,"target_1, target_2, target_4, target_5, VIX, News_TextBlob_Polarity, Cross_Lithium_Close"
lithium_hydroxide,VMD-K9-A1500 / C6,ARIMA,0.7611,"target_2, target_4, target_5, target_1, VIX, Cross_Lithium_Close, News_Article_Count"
lithium_hydroxide,VMD-K9-A1500 / C7,ARIMA,0.7611,"target_2, target_1, target_5, News_FinBERT_Score"
lithium_hydroxide,VMD-K9-A1500 / C8,ARIMA,0.7611,"target_1, target_2, News_FinBERT_Score, Cross_Lithium_Close"
lithium_hydroxide,VMD-K9-A1500 / C9,RF,0.7611,"target_1, target_2, target_3, target_5, News_FinBERT_Score, Cross_Lithium_Close, News_TextBlob_Polarity, …"
lithium_hydroxide,VMD-K9-A1500 / C10,ARIMA,0.7611,"target_1, target_5, target_2, target_3, target_4, Cross_Lithium_Close"
lithium_hydroxide,CEEMDAN-M9 / C1,LSTM,0.0294,"target_1, target_2, News_FinBERT_Score, News_TextBlob_Polarity"
lithium_hydroxide,CEEMDAN-M9 / C2,SVR,0.0294,"target_1, target_3"
lithium_hydroxide,CEEMDAN-M9 / C3,ARIMA,0.0294,"target_1, target_2, target_4, target_5, News_Article_Count, US_Dollar_Index, VIX, News_TextBlob_Polarity, …"
