Model,Scheme,Cumulative Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
CEEMDAN-ARIMA,Scheme 1,332.30,-4.34,8.0045,37.5000,65.48
CEEMDAN-ARIMA,Scheme 1',284.56,-1.98,7.5317,32.0000,40.35
CEEMDAN-ARIMA,Scheme 2,304.19,-4.44,7.6570,37.5000,65.48
CEEMDAN-ARIMA,Scheme 2',269.81,-2.18,7.3112,32.0000,40.35
CEEMDAN-LSTM,Scheme 1,222.50,-6.63,6.2857,18.5000,49.09
CEEMDAN-LSTM,Scheme 1',90.07,-3.98,4.0305,20.0000,12.14
CEEMDAN-LSTM,Scheme 2,211.16,-6.73,6.0866,18.5000,49.09
CEEMDAN-LSTM,Scheme 2',86.32,-4.17,3.9278,20.0000,12.14
Proposed VMD-LASSO-ARIMA/LSTM,Scheme 1,292.81,-5.03,7.3150,18.5000,59.16
Proposed VMD-LASSO-ARIMA/LSTM,Scheme 1',203.26,-4.73,6.1325,26.0000,36.41
Proposed VMD-LASSO-ARIMA/LSTM,Scheme 2,279.87,-5.22,7.1346,18.5000,59.16
Proposed VMD-LASSO-ARIMA/LSTM,Scheme 2',194.24,-5.06,5.9622,26.0000,36.41
VMD-ARIMA,Scheme 1,218.58,-8.71,5.4567,19.5000,55.70
VMD-ARIMA,Scheme 1',127.14,-3.17,4.8670,17.0000,27.54
VMD-ARIMA,Scheme 2,206.06,-8.90,5.2996,19.5000,55.70
VMD-ARIMA,Scheme 2',121.97,-3.42,4.7688,17.0000,27.54
VMD-LSTM,Scheme 1,38.13,-31.43,0.2697,14.0000,37.23
VMD-LSTM,Scheme 1',56.59,-10.00,1.7830,13.5000,13.59
VMD-LSTM,Scheme 2,34.26,-31.70,0.1590,14.0000,37.23
VMD-LSTM,Scheme 2',54.32,-10.25,1.7066,13.5000,13.59
