Target,Model,Scheme,Transaction Cost,Cumulative Return (%),Average Daily Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
lithium_carbonate,ARIMA,Scheme 1,0.0,190.06973380216343,1.081425818005642,-7.121223887551451,6.709660538839023,24,70.58823529411765
lithium_carbonate,ARIMA,Scheme 1',0.0,120.99143207190497,0.80289202154995,-4.958677685950422,5.891484666491259,26,23.52941176470588
lithium_carbonate,ARIMA,Scheme 2,0.001,176.75373988325097,1.0353473866330931,-7.686659561798318,6.378364073094069,24,70.58823529411765
lithium_carbonate,ARIMA,Scheme 2',0.001,114.95977071853174,0.7754410411577931,-4.968404958677676,5.704977064707514,26,23.52941176470588
lithium_carbonate,CEEMDAN-ARIMA,Scheme 1,0.0,398.4925379620354,1.6119293088977324,-5.234159779614317,11.327180758421289,19,83.33333333333334
lithium_carbonate,CEEMDAN-ARIMA,Scheme 1',0.0,366.7865603000135,1.5456845058002888,-2.194357366771165,11.022431293789204,29,57.84313725490197
lithium_carbonate,CEEMDAN-ARIMA,Scheme 2,0.001,380.5439410343174,1.5756547990938108,-5.234159779614314,11.020874781590988,19,83.33333333333334
lithium_carbonate,CEEMDAN-ARIMA,Scheme 2',0.001,350.4396679188354,1.51039038815323,-2.394357366771158,10.73241233846971,29,57.84313725490197
lithium_carbonate,CEEMDAN-LSTM,Scheme 1,0.0,223.27062228385003,1.187538233190669,-7.020293680910735,7.508800608066044,17,68.62745098039215
lithium_carbonate,CEEMDAN-LSTM,Scheme 1',0.0,57.6259237177656,0.4586530563386807,-2.19435736677116,4.679479066109299,19,15.68627450980392
lithium_carbonate,CEEMDAN-LSTM,Scheme 2,0.001,212.68841101200988,1.1551852920141987,-7.215904966177187,7.230846896398805,17,68.62745098039215
lithium_carbonate,CEEMDAN-LSTM,Scheme 2',0.001,54.69475080470376,0.4400256053582885,-2.3920630094043904,4.518879328518222,19,15.68627450980392
lithium_carbonate,ELM,Scheme 1,0.0,105.97736035651906,0.7461610707741522,-25.89531680440772,4.425102528263771,3,64.70588235294117
lithium_carbonate,ELM,Scheme 1',0.0,116.26650882135282,0.7854561193837284,-20.66115702479338,5.356205217434873,14,53.92156862745098
lithium_carbonate,ELM,Scheme 2,0.001,104.95173065158995,0.7412591099898383,-25.895316804407717,4.394274836324857,3,64.70588235294117
