Target,Candidate,Method,Configured Modes,VMD Alpha,Returned Components,Development RMSE,Development MAE,Development Score
lithium_hydroxide,VMD-K7-A1500,VMD,7,1500.0,8,0.0651036880817339,0.0448949759959685,0.1560230073123983
lithium_hydroxide,VMD-K7-A3000,VMD,7,3000.0,8,0.9036581988029988,0.1459846341478259,1.9217954301789693
lithium_hydroxide,VMD-K7-A4500,VMD,7,4500.0,8,1.00293510299232,0.1733155099789693,2.138697034974048
lithium_hydroxide,VMD-K8-A1500,VMD,8,1500.0,9,0.0528067686385488,0.036452542100025,0.1265721824608967
lithium_hydroxide,VMD-K8-A3000,VMD,8,3000.0,9,0.904024275240464,0.1468886893521034,1.9230057381521075
lithium_hydroxide,VMD-K8-A4500,VMD,8,4500.0,9,0.5944252073549412,0.2032656889270797,1.3189561963095666
lithium_hydroxide,VMD-K9-A1500,VMD,9,1500.0,10,0.051368390852271,0.0363723161330466,0.1235909567623316
lithium_hydroxide,VMD-K9-A3000,VMD,9,3000.0,10,0.7333178397063864,0.1134081640659778,1.5569503929330823
lithium_hydroxide,VMD-K9-A4500,VMD,9,4500.0,10,0.7665083311118805,0.2440377142588736,1.6915518569078698
lithium_hydroxide,VMD-K10-A1500,VMD,10,1500.0,11,0.0608335736116031,0.035053638742317,0.1422651114793519
lithium_hydroxide,VMD-K10-A3000,VMD,10,3000.0,11,0.8655555577996233,0.1386121201089108,1.8401411819101317
lithium_hydroxide,VMD-K10-A4500,VMD,10,4500.0,11,0.6750921050712656,0.2192268222894871,1.492006273051598
lithium_hydroxide,CEEMDAN-M7,CEEMDAN,7,,7,0.4591225761943485,0.4197958095419253,1.1530341559931767
lithium_hydroxide,CEEMDAN-M9,CEEMDAN,9,,7,0.4575824542394084,0.4191060066783023,1.1495334390024126
lithium_carbonate,VMD-K7-A1500,VMD,7,1500.0,8,857.4754550720563,538.8930984637041,0.1782569122432947
lithium_carbonate,VMD-K7-A3000,VMD,7,3000.0,8,5076.155810683136,810.350885632746,0.9483710212477
lithium_carbonate,VMD-K7-A4500,VMD,7,4500.0,8,7652.127241396852,1177.5421709765603,1.427658380945816
lithium_carbonate,VMD-K8-A1500,VMD,8,1500.0,9,675.1292534396287,517.8597839639093,0.1445521681371919
lithium_carbonate,VMD-K8-A3000,VMD,8,3000.0,9,5313.836879327618,1086.8622851933071,1.0034918441536969
lithium_carbonate,VMD-K8-A4500,VMD,8,4500.0,9,4997.498873325136,854.7366576866316,0.93623320575657
lithium_carbonate,VMD-K9-A1500,VMD,9,1500.0,10,540.8651930801981,449.6718292255241,0.1173678555757719
lithium_carbonate,VMD-K9-A3000,VMD,9,3000.0,10,5091.516685646228,825.4761048043766,0.95181007610114
lithium_carbonate,VMD-K9-A4500,VMD,9,4500.0,10,4900.047204406677,747.8573005954332,0.9139247417599196
lithium_carbonate,VMD-K10-A1500,VMD,10,1500.0,11,503.0206505574509,399.7696010423604,0.1083274231457853
lithium_carbonate,VMD-K10-A3000,VMD,10,3000.0,11,5173.303916680666,832.6657178756705,0.9668267641656284
lithium_carbonate,VMD-K10-A4500,VMD,10,4500.0,11,4800.722486772288,793.6793859354281,0.8981382958142016
lithium_carbonate,CEEMDAN-M7,CEEMDAN,7,,7,1859.8047201426543,1071.8798632174926,0.382272758589037
lithium_carbonate,CEEMDAN-M9,CEEMDAN,9,,7,1831.562546956556,1040.9461877115525,0.3758094385249031
