Target,Candidate,Method,Configured Modes,Returned Component,VMD Alpha,Selected Route,Development RMSE,Development MAE,Selection Score,ARIMA Order,Selected Feature Count,Selected Features
lithium_hydroxide,VMD-K7-A1500,VMD,7,1,1500.0,RF,0.0374311185043544,0.0279373678408648,0.3653742884637641,,6,target_1 | Cross_Lithium_Close | target_5 | target_4 | target_3 | target_2
lithium_hydroxide,VMD-K7-A1500,VMD,7,2,1500.0,ARIMA,0.0309565678162155,0.0043479207795178,0.0704150180375915,"(2, 2, 1)",2,target_1 | SP500
lithium_hydroxide,VMD-K7-A1500,VMD,7,3,1500.0,RF,0.0108926409680186,0.0085513439606357,0.0748968224470883,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K7-A1500,VMD,7,4,1500.0,ARIMA,0.0072703829933028,0.0018810902114095,0.1625947010014619,"(4, 0, 5)",10,target_1 | target_2 | target_3 | target_5 | VIX | News_Article_Count | News_TextBlob_Polarity | News_FinBERT_Score | Cross_Lithium_Close | Trends_lithium_carbonate
lithium_hydroxide,VMD-K7-A1500,VMD,7,5,1500.0,RF,0.004938699911199,0.0040308520188366,0.3077178909281333,,7,target_2 | target_1 | target_4 | target_5 | News_TextBlob_Polarity | News_Article_Count | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,6,1500.0,ARIMA,0.0025104385585312,0.001766464780501,0.198348081999779,"(4, 0, 4)",5,target_2 | target_1 | target_5 | target_4 | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,7,1500.0,ARIMA,0.003730679191792,0.0014921570595936,0.2799481529717287,"(2, 0, 4)",6,target_1 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | VIX
lithium_hydroxide,VMD-K7-A1500,VMD,7,8,1500.0,SVR,0.033772674195179,0.0237502485922643,1.109192043191207,,3,target_5 | target_3 | target_1
lithium_hydroxide,VMD-K7-A3000,VMD,7,1,3000.0,ARIMA,0.8870241674823803,0.1113856675213684,2.360655115628614,"(2, 2, 1)",2,target_1 | Cross_Lithium_Close
lithium_hydroxide,VMD-K7-A3000,VMD,7,2,3000.0,SVR,0.0159462705116827,0.0132626169768805,0.2139736508790595,,1,target_1
lithium_hydroxide,VMD-K7-A3000,VMD,7,3,3000.0,RF,0.011810749841629,0.0091126823246296,0.0791170985578227,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K7-A3000,VMD,7,4,3000.0,ARIMA,0.0072896063940167,0.0015822239072907,0.177458600512966,"(4, 0, 5)",10,target_1 | target_3 | target_2 | target_5 | News_TextBlob_Polarity | News_FinBERT_Score | News_Article_Count | Trends_lithium_carbonate | VIX | Cross_Lithium_Close
