Target,Model,Nominal Coverage (%),Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
lithium_carbonate,ARIMA,80.0,58.82352941176471,1718.4076364165521,1718.4076364165521,21.176470588235297,17101.73952577211
lithium_carbonate,ARIMA,90.0,65.68627450980392,2625.364637127903,2625.364637127903,24.31372549019608,29848.816697948176
lithium_carbonate,ARIMA,95.0,100.0,40035.720805081204,40035.720805081204,5.000000000000004,40035.720805081204
lithium_carbonate,CEEMDAN-ARIMA,80.0,57.84313725490197,980.0108233130886,980.0108233130886,22.15686274509804,13387.21767446621
lithium_carbonate,CEEMDAN-ARIMA,90.0,62.745098039215684,1387.7543176227482,1387.7543176227482,27.254901960784316,24592.36813818529
lithium_carbonate,CEEMDAN-ARIMA,95.0,100.0,53328.42795937823,53328.42795937823,5.000000000000004,53328.42795937823
lithium_carbonate,CEEMDAN-LSTM,80.0,73.52941176470588,5338.015625,5338.015625,6.470588235294117,14169.054993872549
lithium_carbonate,CEEMDAN-LSTM,90.0,89.2156862745098,12876.953125,12876.953125,0.7843137254901933,17635.373774509804
lithium_carbonate,CEEMDAN-LSTM,95.0,100.0,24489.359375,24489.359375,5.000000000000004,24489.359375
lithium_carbonate,ELM,80.0,13.725490196078432,42753.71956584303,42753.71956584303,66.27450980392157,268905.87756392756
lithium_carbonate,ELM,90.0,19.607843137254903,58343.27674581554,58343.27674581554,70.3921568627451,380530.0685500764
lithium_carbonate,ELM,95.0,71.56862745098039,103802.35185803202,103802.35185803202,23.431372549019603,274046.17859368253
lithium_carbonate,ES,80.0,0.0,185915.6771573689,185915.6771573689,80.0,1463704.4644250171
lithium_carbonate,ES,90.0,0.0,210186.80504160415,210186.80504160415,90.0,2523053.100734548
lithium_carbonate,ES,95.0,0.0,222022.3689837219,222022.3689837219,95.0,4611043.681527256
lithium_carbonate,LSTM,80.0,39.21568627450981,18495.609375,18495.609375,40.7843137254902,48975.0150122549
lithium_carbonate,LSTM,90.0,54.90196078431373,21637.921875,21637.921875,35.09803921568627,65726.05606617648
lithium_carbonate,LSTM,95.0,63.725490196078425,22865.484375,22865.484375,31.274509803921568,100904.52542892157
lithium_carbonate,MLP,80.0,40.19607843137255,63715.49515563362,63715.49515563362,39.80392156862745,238436.42653634422
lithium_carbonate,MLP,90.0,53.92156862745098,82706.78804388092,82706.78804388092,36.078431372549026,331205.10192586586
lithium_carbonate,MLP,95.0,58.82352941176471,101670.66055608835,101670.66055608835,36.17647058823529,433312.86564813374
lithium_carbonate,Proposed VMD-LASSO-ARIMA/LSTM,80.0,52.94117647058824,2703.6971081410543,2703.6971081410543,27.058823529411768,14374.220051012317
lithium_carbonate,Proposed VMD-LASSO-ARIMA/LSTM,90.0,59.80392156862745,3424.696678978949,3424.696678978949,30.196078431372552,23738.98081821128
lithium_carbonate,Proposed VMD-LASSO-ARIMA/LSTM,95.0,100.0,55769.70361229019,55769.70361229019,5.000000000000004,55769.70361229019
lithium_carbonate,RF,80.0,53.92156862745098,3685.999999999942,3685.999999999942,26.078431372549026,28755.50653594779
lithium_carbonate,RF,90.0,61.76470588235294,5431.0,5431.0,28.235294117647058,48525.738562091516
lithium_carbonate,RF,95.0,68.62745098039215,7417.0,7417.0,26.37254901960784,79998.63398692812
lithium_carbonate,Random Walk,80.0,58.82352941176471,2300.0,2300.0,21.176470588235297,19324.50980392157
lithium_carbonate,Random Walk,90.0,66.66666666666666,3200.0,3200.0,23.33333333333334,33876.470588235294
lithium_carbonate,Random Walk,95.0,66.66666666666666,3800.0,3800.0,28.333333333333332,61152.94117647059
lithium_carbonate,SVR,80.0,52.94117647058824,39386.662659200316,39386.662659200316,27.058823529411768,119576.59859049728
lithium_carbonate,SVR,90.0,68.62745098039215,50836.16218461549,50836.16218461549,21.372549019607845,165766.66412643067
lithium_carbonate,SVR,95.0,68.62745098039215,67534.67127832668,67534.67127832668,26.37254901960784,192620.71614259284
lithium_carbonate,VMD-ARIMA,80.0,59.80392156862745,17458.353964066886,17458.353964066886,20.196078431372555,32168.900299801968
lithium_carbonate,VMD-ARIMA,90.0,67.64705882352942,20339.70811692276,20339.70811692276,22.352941176470587,39005.214793361476
lithium_carbonate,VMD-ARIMA,95.0,100.0,71123.0204229117,71123.0204229117,5.000000000000004,71123.0204229117
lithium_carbonate,VMD-LSTM,80.0,14.705882352941178,1769.703125,1769.703125,65.29411764705883,38863.60631127451
lithium_carbonate,VMD-LSTM,90.0,57.84313725490197,7121.515625,7121.515625,32.15686274509804,45761.67493872549
lithium_carbonate,VMD-LSTM,95.0,99.01960784313727,35031.046875,35031.046875,4.019607843137263,35952.96170343137
lithium_hydroxide,ARIMA,80.0,52.38095238095239,0.17872704677438378,0.17872704677438378,27.61904761904762,2.1439758040806924
lithium_hydroxide,ARIMA,90.0,58.0952380952381,0.28000004094678516,0.28000004094678516,31.9047619047619,3.7610617423382044
lithium_hydroxide,ARIMA,95.0,99.04761904761905,8.302363312836041,8.302363312836041,4.047619047619055,8.32365078170486
lithium_hydroxide,CEEMDAN-ARIMA,80.0,50.476190476190474,0.2053749299415381,0.2053749299415381,29.52380952380953,1.5887419375456078
lithium_hydroxide,CEEMDAN-ARIMA,90.0,60.952380952380956,0.3159156250994039,0.3159156250994039,29.047619047619044,2.599612770866111
lithium_hydroxide,CEEMDAN-ARIMA,95.0,100.0,8.17973557403824,8.17973557403824,5.000000000000004,8.17973557403824
lithium_hydroxide,CEEMDAN-LSTM,80.0,65.71428571428571,0.8299579620361328,0.8299579620361328,14.28571428571429,2.1739694286528084
lithium_hydroxide,CEEMDAN-LSTM,90.0,83.80952380952381,1.438356361389161,1.438356361389161,6.190476190476191,2.7354019582839237
lithium_hydroxide,CEEMDAN-LSTM,95.0,100.0,8.125132369995114,8.125132369995114,5.000000000000004,8.125132369995114
lithium_hydroxide,ELM,80.0,45.714285714285715,0.16284028820558305,0.16284028820558305,34.28571428571429,2.7870210351982494
lithium_hydroxide,ELM,90.0,54.285714285714285,0.2540229728131145,0.2540229728131145,35.71428571428572,5.0398867803597085
lithium_hydroxide,ELM,95.0,91.42857142857143,1.612281714027123,1.612281714027123,3.57142857142857,5.525423408332632
lithium_hydroxide,ES,80.0,18.095238095238095,1.8027889855109542,1.8027889855109542,61.904761904761905,36.049292304566634
lithium_hydroxide,ES,90.0,19.047619047619047,1.8647345912870605,1.8647345912870605,70.95238095238095,69.85316728418853
lithium_hydroxide,ES,95.0,20.0,1.9051669481261975,1.9051669481261975,75.0,137.22943088844954
lithium_hydroxide,LSTM,80.0,62.857142857142854,0.8028469085693359,0.8028469085693359,17.14285714285715,3.290196093604678
lithium_hydroxide,LSTM,90.0,74.28571428571429,1.2726219177246088,1.2726219177246088,15.714285714285714,4.776144932338176
lithium_hydroxide,LSTM,95.0,96.19047619047619,4.216511535644531,4.216511535644531,1.1904761904761973,5.158665408179875
lithium_hydroxide,MLP,80.0,47.61904761904761,0.7729078289946614,0.7729078289946614,32.38095238095239,3.1924079692824794
lithium_hydroxide,MLP,90.0,55.23809523809524,0.920224597064799,0.920224597064799,34.76190476190476,5.03340793511602
lithium_hydroxide,MLP,95.0,69.52380952380952,1.148863711515151,1.148863711515151,25.476190476190474,7.689031429950155
lithium_hydroxide,Proposed VMD-LASSO-ARIMA/LSTM,80.0,38.095238095238095,0.2402010716550791,0.2402010716550791,41.90476190476191,2.6397220338447624
lithium_hydroxide,Proposed VMD-LASSO-ARIMA/LSTM,90.0,48.57142857142857,0.42514942957118507,0.42514942957118507,41.42857142857143,4.183310087853882
lithium_hydroxide,Proposed VMD-LASSO-ARIMA/LSTM,95.0,100.0,8.524879622635634,8.524879622635634,5.000000000000004,8.524879622635634
lithium_hydroxide,RF,80.0,37.142857142857146,1.0549538095238162,1.0549538095238162,42.85714285714286,8.233698979591827
lithium_hydroxide,RF,90.0,47.61904761904761,1.3807000000000011,1.3807000000000011,42.38095238095239,13.826900000000004
lithium_hydroxide,RF,95.0,53.333333333333336,1.4711999999999994,1.4711999999999994,41.666666666666664,25.48750476190478
