Model,Strategy,Cost,Annualized Return,Sharpe,Sortino,Calmar,Max Drawdown (%),Turnover,Hit Rate (%),Final Equity
CEEMDAN-LSTM,Directional (no uncertainty),0.0,-0.16011909390880147,-0.33506652268672793,-0.43898106569432127,-0.23341650215557813,-61.19632993277253,0.2593333333333333,48.15,0.6580050815511809
CEEMDAN-LSTM,Directional (no uncertainty),0.001,-0.21395608156367804,-0.5158369621042276,-0.6821588842414581,-0.30523952181343456,-65.64496331980749,0.2593333333333333,48.15,0.5379026170814747
CEEMDAN-LSTM,Directional (no uncertainty),0.0025,-0.2884001852388847,-0.7841619248437272,-1.0351118881013164,-0.3891691492233736,-71.87610673914891,0.2593333333333333,48.15,0.39766036248610226
CEEMDAN-LSTM,Directional (no uncertainty),0.005,-0.3973402110458038,-1.2196442258557538,-1.586931193731196,-0.4860391935277032,-80.72705019630565,0.2593333333333333,48.15,0.2405167577398347
CEEMDAN-LSTM,Uncertainty-adjusted,0.0,-0.06672666014928397,-0.07589330691006688,-0.09646406026077402,-0.1088470177249383,-40.43817865309307,0.16999999999999996,25.2,0.8355816983556847
CEEMDAN-LSTM,Uncertainty-adjusted,0.001,-0.10428584406132327,-0.2385967939642417,-0.3253943074983675,-0.18485287916730891,-43.78355034863889,0.16999999999999996,25.2,0.7468452110368677
CEEMDAN-LSTM,Uncertainty-adjusted,0.0025,-0.15714949027645758,-0.48143591547395864,-0.659630967272829,-0.2739490813377245,-48.3808953830371,0.16999999999999996,25.2,0.6358787574907517
CEEMDAN-LSTM,Uncertainty-adjusted,0.005,-0.23679208596356305,-0.8796558964191625,-1.1867933266922328,-0.3664727349963733,-56.87458272956158,0.16999999999999996,25.2,0.49618643126932094
VMD-GRU,Directional (no uncertainty),0.0,-0.1325512964085906,-0.1922333766821582,-0.2535004639356574,-0.16768662110881935,-58.21509980299902,0.305,47.86666666666667,0.7252372371529034
VMD-GRU,Directional (no uncertainty),0.001,-0.19819098290343962,-0.4055133602759848,-0.5504127530548254,-0.27562465694935356,-62.973407520715874,0.305,47.86666666666667,0.5697634753172668
VMD-GRU,Directional (no uncertainty),0.0025,-0.2874043452617882,-0.7224456512639674,-0.9783038137567143,-0.3905340688169403,-69.7950231049039,0.305,47.86666666666667,0.3972026910712052
VMD-GRU,Directional (no uncertainty),0.005,-0.41444318802058466,-1.2365749731492257,-1.638644468047085,-0.500287623251338,-81.69647990919259,0.305,47.86666666666667,0.21856870725902375
VMD-GRU,Uncertainty-adjusted,0.0,-0.04488867246091524,-0.11357524654405068,-0.14209205784797216,-0.08252826346344853,-39.525805501812954,0.21049999999999996,28.68333333333333,0.90894517794697
VMD-GRU,Uncertainty-adjusted,0.001,-0.09469216019199092,-0.30300196035595006,-0.4069454849278378,-0.18238441590344226,-43.56030812292217,0.21049999999999996,28.68333333333333,0.7729284449112088
VMD-GRU,Uncertainty-adjusted,0.0025,-0.1627678975578097,-0.5840123492010967,-0.7874160595990043,-0.28676725782110785,-49.702966839612664,0.21049999999999996,28.68333333333333,0.6187057758280825
VMD-GRU,Uncertainty-adjusted,0.005,-0.26071401024528734,-1.0383185280723377,-1.3708059971936806,-0.38519850401690314,-60.773476385676545,0.21049999999999996,28.68333333333333,0.45147961615587673
VMD-LASSO-ARX/LSTM,Directional (no uncertainty),0.0,0.06220106684300049,0.38083906398767015,0.603050498565703,0.40957780224108703,-55.082533276788595,0.8363333333333334,49.63333333333333,1.4747380940104782
VMD-LASSO-ARX/LSTM,Directional (no uncertainty),0.001,-0.1338309302431125,-0.17351655165027868,-0.19877271809068922,-0.10561238305322662,-62.60022194915351,0.8363333333333334,49.63333333333333,0.8063711878151972
VMD-LASSO-ARX/LSTM,Directional (no uncertainty),0.0025,-0.35479453984800935,-0.998403314803342,-1.3050741716751681,-0.4283329324233034,-76.88846979425888,0.8363333333333334,49.63333333333333,0.35715218807995447
VMD-LASSO-ARX/LSTM,Directional (no uncertainty),0.005,-0.5927195918214393,-2.331086187620797,-2.8916202135376747,-0.6379986215195473,-90.9225652282979,0.8363333333333334,49.63333333333333,0.11410090402929556
VMD-LASSO-ARX/LSTM,Uncertainty-adjusted,0.0,0.06327578122831021,0.37512633813623025,0.5936719729305042,0.2789656915277058,-30.436447402056487,0.3645,15.6,1.247582542736772
VMD-LASSO-ARX/LSTM,Uncertainty-adjusted,0.001,-0.03268056118257926,-0.060842756987375526,-0.05507727917061971,-0.06108199246361225,-35.41406702065487,0.3645,15.6,0.9270745547106648
VMD-LASSO-ARX/LSTM,Uncertainty-adjusted,0.0025,-0.15285682730528233,-0.7113067849409652,-0.9451810275736603,-0.29384237495046683,-47.59813407118615,0.3645,15.6,0.6403370738312714
VMD-LASSO-ARX/LSTM,Uncertainty-adjusted,0.005,-0.3066727986162242,-1.763169911024483,-2.2054243260016593,-0.455132743969793,-63.10717804847676,0.3645,15.6,0.39132078622472516
VMD-LSTM,Directional (no uncertainty),0.0,-0.03737342865836636,0.06007111570265768,0.1072372567669393,0.005005860212365555,-53.66508807895161,0.3373333333333333,48.516666666666666,0.9988441265874443
VMD-LSTM,Directional (no uncertainty),0.001,-0.11599609889513322,-0.17320791004545225,-0.2238725335113535,-0.14610725511219882,-56.9953827712481,0.3373333333333333,48.516666666666666,0.7739738945683962
VMD-LSTM,Directional (no uncertainty),0.0025,-0.22215519937424844,-0.5203850753766116,-0.7019513493374722,-0.29883046752181147,-64.91187347759976,0.3373333333333333,48.516666666666666,0.5281712321168568
VMD-LSTM,Directional (no uncertainty),0.005,-0.3717328276421582,-1.0848449027547715,-1.4418646901719272,-0.4640864938957439,-77.19041812887215,0.3373333333333333,48.516666666666666,0.2797861948674907
VMD-LSTM,Uncertainty-adjusted,0.0,-0.017950526784160613,0.07149485297678868,0.12031733861227262,0.048322245159958574,-34.28060886723581,0.1608333333333333,16.983333333333334,0.9770616091940535
VMD-LSTM,Uncertainty-adjusted,0.001,-0.055696080752999234,-0.09822976521965868,-0.12237245549928309,-0.0557147457550211,-36.66635159357763,0.1608333333333333,16.983333333333334,0.8749026198077168
VMD-LSTM,Uncertainty-adjusted,0.0025,-0.10874907455897563,-0.35184472488891316,-0.47657527109805836,-0.1879994857660441,-40.04653482805583,0.1608333333333333,16.983333333333334,0.7471394131137371
VMD-LSTM,Uncertainty-adjusted,0.005,-0.18855586250826517,-0.7683832328440037,-1.0347106737478573,-0.34507882459566314,-47.50909155805752,0.1608333333333333,16.983333333333334,0.5857445539413615
