Model,RMSE,MAE,MASE,MAPE,Directional Accuracy,Within-Company RMSE Rank
Elastic Net,1.051122867027283,0.7642939861142685,1.00164393806448,1.786391152964186,48.69826435246996,3.375
LASSO,1.051122867027283,0.7642939861142685,1.00164393806448,1.786391152964186,48.69826435246996,3.375
Random Walk,1.0514735386299336,0.763758,0.9998421894750655,1.7842133594761782,48.381174899866494,2.625
Random Walk + Drift,1.0517185934051503,0.7640199294091131,1.0003597396104287,1.7852915334445716,48.38117489986649,3.375
Selected ARX,1.0529896829271805,0.7666689308751274,1.0058281637133066,1.7973062246778926,48.73164218958611,3.875
ARIMA,1.0545867824444937,0.7662671875297143,1.003884443780985,1.7933936865924007,48.89853137516689,4.375
Random Forest,1.304038781323568,0.8994362560651362,1.299465140204689,2.226973169030314,47.74699599465954,7.625
XGBoost,1.308782406617574,0.8895229535752931,1.327717130369121,2.2629001018381483,47.429906542056074,7.625
Histogram Gradient Boosting,1.4121685677012779,0.9345105884998245,1.4203954747669747,2.379430014096697,46.19492656875835,9.0
LightGBM,1.4583014750366308,0.9776162906849837,1.4617656385851827,2.4619921439063277,46.86248331108144,9.75
GRU,1.8477962393307346,1.2997768687840972,1.9723874874267602,3.3648713306414564,48.58144192256342,11.125
LSTM,1.9668405609322557,1.438012044373904,2.1201753565880983,3.634327075595303,48.38117489986649,11.875
