Model,Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
Elastic Net,89.06666666666666,3.8041283863040416,3.8041283863040416,3.166666666666668,4.89081603356809
LASSO,89.06666666666666,3.8041283863040416,3.8041283863040416,3.166666666666668,4.89081603356809
Random Walk,89.05,3.8019589999999996,3.8019589999999996,3.2833333333333354,4.891738999999999
Random Walk + Drift,88.95,3.8018073155456187,3.8018073155456187,3.183333333333334,4.892073444516385
Selected ARX,89.11666666666667,3.8136332592691073,3.8136332592691073,3.25,4.893984383566406
ARIMA,88.9,3.8219543578965998,3.8219543578965998,3.1666666666666665,4.9164441959153065
Dynamic Selected,88.83333333333333,3.8492211224543724,3.8492211224543724,3.2000000000000015,4.958890277840598
Random Forest,88.35000000000001,4.0556678394597245,4.0556678394597245,4.250000000000001,6.157363261504677
XGBoost,88.46666666666667,3.989869705184301,3.989869705184301,3.966666666666667,6.2231508146985375
Histogram Gradient Boosting,88.41666666666666,4.111965283026427,4.111965283026427,4.349999999999999,6.812853713237338
LightGBM,89.41666666666666,4.461955223386493,4.461955223386493,4.4833333333333325,7.013176081240468
GRU,88.61666666666666,6.256394279922903,6.256394279922903,5.283333333333334,8.912245508555575
LSTM,89.13333333333333,6.8448579387176105,6.8448579387176105,5.0,9.329415610578566
VMD-LASSO-ARX/LSTM,89.43333333333334,8.720264523833558,8.720264523833558,2.966666666666666,10.761976633138104
VMD-GRU,88.8,8.74152261098111,8.74152261098111,4.499999999999998,11.714080294173373
VMD-LSTM,88.46666666666667,8.396279560399462,8.396279560399462,3.533333333333334,11.949767253038653
CEEMDAN-LSTM,89.55,10.716001379264052,10.716001379264052,3.2166666666666672,12.794285587953325
