Benchmark,Companies,Proposed Better (5%),Proposed Worse (5%),Median DM Statistic,Median p-value
CEEMDAN-LSTM,8,5,0,-3.8102504199874696,0.0006662633642393145
VMD-GRU,8,4,2,-1.9615056647073355,4.610422881234921e-05
VMD-LSTM,8,4,2,-2.3975232487735916,0.0002380808637797
LSTM,8,3,3,1.126994935953259,2.6197369311531382e-05
GRU,8,3,5,5.292708833741097,8.170270038299066e-08
Histogram Gradient Boosting,8,1,5,5.392096044725827,8.234466737477852e-06
LightGBM,8,1,5,5.178992448259775,2.0548080819859926e-05
Random Forest,8,0,5,5.949539761559847,7.762552567402992e-08
XGBoost,8,0,5,5.598017363261497,1.6388673036438206e-06
ARIMA,8,0,8,10.82437079710587,0.0
Dynamic Selected,8,0,8,10.75731975158966,0.0
Elastic Net,8,0,8,10.801145126649226,0.0
LASSO,8,0,8,10.801145126649226,0.0
Random Walk,8,0,8,10.814668364439292,0.0
Random Walk + Drift,8,0,8,10.812165738300223,0.0
Selected ARX,8,0,8,10.825147212155402,0.0
