Model,Strategy,Cost,Annualized Return,Sharpe,Sortino,Calmar,Max Drawdown (%),Turnover,Hit Rate (%),Final Equity
ARIMA,Directional (no uncertainty),0.001,-0.2687682023719141,-0.6540482495177475,-0.8568529239224255,-0.2645226899541052,-69.16929360061701,1.0696666666666665,48.6,0.512531992861558
ARIMA,Uncertainty-adjusted,0.001,0.02797997431971704,0.2332018218836596,0.4001057528132062,0.3691198986009745,-15.738202123844832,0.2125,10.266666666666666,1.1008183472093005
Elastic Net,Directional (no uncertainty),0.001,-0.06263074631587953,-0.08910167242323225,-0.10620090824289868,-0.07970111821851383,-58.77079237338601,0.1953333333333333,48.86666666666667,0.9370149963333172
Elastic Net,Uncertainty-adjusted,0.001,-0.10284650265499148,-0.17291978499218283,-0.23339925580478688,-0.12834201667057654,-47.606782313604356,0.13116666666666665,37.38333333333333,0.7612325646124397
GRU,Directional (no uncertainty),0.001,-0.19868266131388748,-0.43562964902964246,-0.6003461999420182,-0.30087171962557036,-65.27518506248076,0.43666666666666665,47.75,0.5254831673996216
GRU,Uncertainty-adjusted,0.001,-0.015147183327992262,0.02842104760942546,0.22035264455166137,0.11598124905012146,-22.07191151188573,0.06383333333333331,5.45,0.9768942166745924
Histogram Gradient Boosting,Directional (no uncertainty),0.001,-0.20416306892801042,-0.45875400015326445,-0.6262131986304407,-0.3010846891623885,-66.65029375985979,0.7516666666666667,48.483333333333334,0.53398133689527
Histogram Gradient Boosting,Uncertainty-adjusted,0.001,-0.08037008306555056,-0.18070881030629227,-0.10837422277705853,0.02890240966560389,-31.604547673013602,0.1958333333333333,10.033333333333333,0.811234715227759
LASSO,Directional (no uncertainty),0.001,-0.06263074631587953,-0.08910167242323225,-0.10620090824289868,-0.07970111821851383,-58.77079237338601,0.1953333333333333,48.86666666666667,0.9370149963333172
LASSO,Uncertainty-adjusted,0.001,-0.10284650265499148,-0.17291978499218283,-0.23339925580478688,-0.12834201667057654,-47.606782313604356,0.13116666666666665,37.38333333333333,0.7612325646124397
LSTM,Directional (no uncertainty),0.001,-0.23705811978575475,-0.6200996163071268,-0.8289626712118996,-0.327901466611546,-66.01395815400818,0.373,47.43333333333334,0.4880099247928275
LSTM,Uncertainty-adjusted,0.001,-0.06670023895892715,-0.17471603546723677,-0.19583343922575966,-0.020122680669329165,-30.93252737125043,0.12716666666666665,12.100000000000001,0.8708470747898999
LightGBM,Directional (no uncertainty),0.001,-0.18712598045168385,-0.4464777924095025,-0.5942055866637131,-0.26094166873338237,-62.332628828184326,0.7303333333333333,48.36666666666666,0.590097924615214
LightGBM,Uncertainty-adjusted,0.001,-0.03944630874726163,-0.10005989172886334,-0.10287144536275575,-0.05277088473996527,-29.573094117321837,0.2835,16.833333333333336,0.9086219798402256
Random Forest,Directional (no uncertainty),0.001,-0.16239150872012925,-0.3710682698146361,-0.4900559420112034,-0.23175207582043458,-62.97425316189198,0.7466666666666666,48.28333333333333,0.6467317559574153
Random Forest,Uncertainty-adjusted,0.001,-0.045251931464767976,-0.14432411960383043,-0.17359661724658643,-0.09179662737449679,-35.46913002289551,0.3868333333333333,21.566666666666666,0.888195899942743
Random Walk,Directional (no uncertainty),0.001,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
Random Walk,Uncertainty-adjusted,0.001,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
Random Walk + Drift,Directional (no uncertainty),0.001,-0.12863080197163668,-0.2615067705455558,-0.3371717287887844,-0.08923440488657597,-63.86486743612781,0.007333333333333287,47.63333333333333,0.8017800554984946
Random Walk + Drift,Uncertainty-adjusted,0.001,-0.10421655667685119,-0.20137271203913176,-0.2648124232006972,-0.0646602803463171,-48.22085157512234,0.0043333333333333,36.18333333333333,0.8608329574482814
Selected ARX,Directional (no uncertainty),0.001,0.005072115450719741,0.20087952286716554,0.30577274657882775,0.11224214412574979,-49.40641920509924,0.1456666666666666,49.016666666666666,1.1047940683008306
Selected ARX,Uncertainty-adjusted,0.001,0.00782870124899969,0.25522121645788265,0.42197050311513634,0.21487290833724135,-45.09806710120696,0.11849999999999997,43.733333333333334,1.114805417855346
XGBoost,Directional (no uncertainty),0.001,-0.246955012757485,-0.6588882299830834,-0.8631332143366904,-0.3265426468362936,-66.05143737604466,0.7386666666666667,48.15,0.4994172884945336
XGBoost,Uncertainty-adjusted,0.001,-0.06255290853073353,-0.06703319182419872,-0.032098858551959764,-0.02305128863416111,-30.811391425279737,0.31016666666666665,18.1,0.8720090743246534
