Company,Model,Purpose,Use Exogenous,Low ARIMA Modes,LSTM Sequence Style,Origin Date,Model Fit Origin Date,Date,Origin Price,Actual,Forecast,Error,Scheduled Refit
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-11,2024-07-11,2024-07-12,6.18,6.21,6.161651800928184,-0.048348199071815756,True
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-11,2024-07-11,2024-07-12,6.18,6.21,6.16745422202989,-0.042545777970110166,True
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-11,2024-07-11,2024-07-12,6.18,6.21,6.112687373222031,-0.0973126267779687,True
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-11,2024-07-11,2024-07-12,6.18,6.21,6.15693269430398,-0.05306730569602003,True
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-12,2024-07-11,2024-07-15,6.21,6.11,6.231958502386417,0.12195850238641626,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-12,2024-07-11,2024-07-15,6.21,6.11,6.238642929316658,0.12864292931665755,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-12,2024-07-11,2024-07-15,6.21,6.11,6.1060865528341735,-0.003913447165826867,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-12,2024-07-11,2024-07-15,6.21,6.11,6.227640587513949,0.11764058751394835,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-15,2024-07-11,2024-07-16,6.11,5.95,5.937183882682994,-0.012816117317005826,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-15,2024-07-11,2024-07-16,6.11,5.95,5.94177015674183,-0.00822984325817,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-15,2024-07-11,2024-07-16,6.11,5.95,6.110953021566485,0.16095302156648472,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-15,2024-07-11,2024-07-16,6.11,5.95,5.926416601270591,-0.023583398729408955,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-16,2024-07-11,2024-07-17,5.95,5.96,5.775137256802762,-0.18486274319723783,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-16,2024-07-11,2024-07-17,5.95,5.96,5.7781006797542505,-0.1818993202457495,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-16,2024-07-11,2024-07-17,5.95,5.96,6.033574494580188,0.07357449458018817,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-16,2024-07-11,2024-07-17,5.95,5.96,5.779247083328091,-0.18075291667190907,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-17,2024-07-11,2024-07-18,5.96,5.84,5.996120227719213,0.15612022771921286,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-17,2024-07-11,2024-07-18,5.96,5.84,6.0043250499209995,0.1643250499209996,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-17,2024-07-11,2024-07-18,5.96,5.84,5.987571020784842,0.1475710207848424,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-17,2024-07-11,2024-07-18,5.96,5.84,5.973279917446343,0.13327991744634282,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-18,2024-07-11,2024-07-19,5.84,5.71,5.5864931776895626,-0.12350682231043741,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-18,2024-07-11,2024-07-19,5.84,5.71,5.584668950739291,-0.12533104926070937,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-18,2024-07-11,2024-07-19,5.84,5.71,5.8980378460542955,0.18803784605429552,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-18,2024-07-11,2024-07-19,5.84,5.71,5.56611910677986,-0.14388089322013986,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-19,2024-07-11,2024-07-22,5.71,5.73,5.620176653793188,-0.10982334620681211,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-19,2024-07-11,2024-07-22,5.71,5.73,5.621237372694336,-0.10876262730566477,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-19,2024-07-11,2024-07-22,5.71,5.73,5.785878412287143,0.055878412287142964,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-19,2024-07-11,2024-07-22,5.71,5.73,5.596073133452131,-0.13392686654786967,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-22,2024-07-11,2024-07-23,5.73,5.59,5.74010073471975,0.15010073471975005,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-22,2024-07-11,2024-07-23,5.73,5.59,5.737733095610826,0.14773309561082648,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-22,2024-07-11,2024-07-23,5.73,5.59,5.6620632006673075,0.07206320066730765,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-22,2024-07-11,2024-07-23,5.73,5.59,5.710819378031571,0.12081937803157139,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-23,2024-07-11,2024-07-24,5.59,5.59,5.34570414120265,-0.24429585879734983,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-23,2024-07-11,2024-07-24,5.59,5.59,5.341036458708244,-0.24896354129175613,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-23,2024-07-11,2024-07-24,5.59,5.59,5.542895769591266,-0.047104230408733905,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-23,2024-07-11,2024-07-24,5.59,5.59,5.315532942197319,-0.27446705780268044,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-24,2024-07-11,2024-07-25,5.59,5.56,5.691569400031717,0.1315694000317178,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-24,2024-07-11,2024-07-25,5.59,5.56,5.688956166025168,0.12895616602516835,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-24,2024-07-11,2024-07-25,5.59,5.56,5.4368168772447545,-0.12318312275524512,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-24,2024-07-11,2024-07-25,5.59,5.56,5.658267539872692,0.09826753987269221,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-25,2024-07-11,2024-07-26,5.56,5.58,5.408940955642391,-0.17105904435760877,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-25,2024-07-11,2024-07-26,5.56,5.58,5.402600885110793,-0.1773991148892069,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-25,2024-07-11,2024-07-26,5.56,5.58,5.356130648610822,-0.22386935138917785,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-25,2024-07-11,2024-07-26,5.56,5.58,5.373366718754866,-0.20663328124513392,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-26,2024-07-11,2024-07-29,5.58,5.5,5.681830661180205,0.1818306611802054,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-26,2024-07-11,2024-07-29,5.58,5.5,5.673571739383656,0.17357173938365644,False
