Company,Model,Cost (bps),Uncertainty Filter,Threshold,Sharpe,Annualized Return,Max Drawdown (%),Turnover,Hit Rate (%)
Glencore,ARIMA,0.0,False,0.1,0.621395984481582,0.17635300697324174,-39.43375312250802,1.26,46.400000000000006
Glencore,ARIMA,0.0,True,0.1,1.4120309616940288,0.17394253767976253,-3.4280025506935674,0.096,2.8000000000000003
Glencore,ARIMA,10.0,False,0.1,-0.23694249954799967,-0.14402272281933992,-48.87400833833422,1.26,46.400000000000006
Glencore,ARIMA,10.0,True,0.1,1.2199100334235844,0.14604467235016005,-4.105352852659818,0.096,2.8000000000000003
Glencore,Paper-Style Causal VMD-ARIMA/LSTM,0.0,False,0.25,-0.02846587844076087,-0.0759116051501354,-33.94611127750815,0.972,47.199999999999996
Glencore,Paper-Style Causal VMD-ARIMA/LSTM,0.0,True,0.25,0.6735522208439874,0.1709926355970095,-22.859180295662078,0.88,30.8
Glencore,Paper-Style Causal VMD-ARIMA/LSTM,10.0,False,0.25,-0.6931173967877082,-0.2764945296099631,-42.120961683407785,0.972,47.199999999999996
Glencore,Paper-Style Causal VMD-ARIMA/LSTM,10.0,True,0.25,-0.0616224263551244,-0.06170457458814438,-29.849725885368134,0.88,30.8
Glencore,Random Walk,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0
Glencore,Random Walk,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
Glencore,Random Walk,10.0,False,0.0,0.0,0.0,0.0,0.0,0.0
Glencore,Random Walk,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0
